cycle,fuel_assembly_type,no_of_fuel_assemblies,fuel_rod_enrichment_wo,no_fuel_rod_per_assembly,no_gd_shim_rods,gd2o3_weight_percent
1,A0,81,1.60,236,-,-
1,B0,28,3.28,236,-,-
1,B1,48,3.28/2.78,172/52,12,8
1,B2,4,3.28/2.78,124/100,12,8
1,C0,20,3.78/3.28,172/52,-,-
1,C1,60,3.78/3.28,120/100,16,8
2,D0,20,4.50/4.00,184/52,-,-
2,D2,60,4.50/4.00,172/52,12,8
3,E0,16,4.70/4.20,184/52,-,-
3,E1,20,4.70/4.20,176/52,8,8
3,E2,56,4.70/4.20,172/52,12,8
4,F0,16,4.60/4.10,184/52,-,-
4,F2,8,4.60/4.10,172/52,12,8
4,F3,68,4.60/4.10,168/52,16,8
5,G0,16,4.70/4.20,184/52,-,-
5,G2,8,4.70/4.20,172/52,12,8
5,G3,68,4.70/4.20,168/52,16,8
6,H0,16,4.70/4.20,184/52,-,-
6,H2,8,4.70/4.20,172/52,12,8
6,H3,68,4.70/4.20,168/52,16,8
7,I0,16,4.70/4.20,184/52,-,-
7,I2,8,4.70/4.20,172/52,12,8
7,I3,68,4.70/4.20,168/52,16,8
8,J0,16,4.70/4.20,184/52,-,-
8,J2,8,4.70/4.20,172/52,12,8
8,J3,68,4.70/4.20,168/52,16,8
