position,prev_position,type
1,12,I2
2,3,I0
3,,J0
4,25,I3
5,8,I3
6,,J0
7,30,I3
8,,J3
9,16,I3
10,,J3
11,50,I3
12,,J2
13,14,I3
14,,J3
15,32,I3
16,,J3
17,11,H3
18,44,I3
19,,J2
20,60,I3
21,,J3
22,5,H3
23,1,H2
24,31,H0
25,,J3
26,,J0
27,36,I3
28,,J3
29,2,H0
30,,J3
31,6,I0
32,,J3
33,4,H3
34,19,I2
35,38,I3
36,,J3
37,18,H3
38,,J3
39,59,H3
40,21,I3
41,1,H3
42,,J3
43,52,I0
44,,J3
45,56,I3
46,34,H2
47,26,I0
48,28,I3
49,42,I3
50,,J3
51,43,H0
52,,J0
53,54,I3
54,,J3
55,47,H0
56,,J3
57,35,H3
58,,J3
59,10,I3
60,58,I3
61,25,I3
62,23,J3
63,11,H3
64,,J3
65,4,H3
66,,J3
67,43,H0
68,58,I3
69,48,H3
