target,lo,hi,n_lineage,acc_lineage,n_random,acc_random,delta_rho,attn,med_abs_delta
cyclen,0.0,1.0,48,0.6458333333333334,27721,0.5601168789004726,,,
cyclen,1.0,2.0,22,0.8181818181818182,25838,0.6590293366359625,,,
cyclen,2.0,5.0,45,0.9777777777777776,63011,0.7890527050832394,,,
cyclen,5.0,10.0,20,1.0,62810,0.8858939659289922,,,
cyclen,10.0,20.0,32,1.0,47793,0.9339233779005294,,,
cyclen,20.0,1000000000.0,35,1.0,20171,0.9876059689653462,,,
cyclen,,,202,0.8910891089108911,247344,0.8185886862022123,0.9663907694550132,0.9526760487201584,3.663000000000011
F_r,0.0,0.005,36,0.4444444444444444,4713,0.5068958200721408,,,
F_r,0.005,0.01,20,0.8,4584,0.5357766143106457,,,
F_r,0.01,0.02,30,0.5333333333333333,9000,0.5616666666666666,,,
F_r,0.02,0.05,47,0.574468085106383,24985,0.6191314788873324,,,
F_r,0.05,0.1,29,0.6551724137931034,35839,0.7302101063087698,,,
F_r,0.1,1000000000.0,40,0.875,168189,0.9315531931339148,,,
F_r,,,202,0.6386138613861386,247310,0.8419230924750314,0.3519364574688954,1.0075901629290216,0.0273499999999999
F_q,0.0,0.01,48,0.625,6524,0.5119558553034947,,,
F_q,0.01,0.02,21,0.4761904761904761,6302,0.5422088225960012,,,
F_q,0.02,0.05,53,0.5660377358490566,17817,0.5885951619240052,,,
F_q,0.05,0.1,30,0.5333333333333333,26685,0.6687277496721005,,,
F_q,0.1,0.2,23,0.8260869565217391,44450,0.7954555680539932,,,
F_q,0.2,1000000000.0,27,1.0,145547,0.9541385256996022,,,
F_q,,,202,0.6534653465346535,247325,0.8463317497220256,0.4643125578972592,0.7241174669113504,0.03605
CBC_max,0.0,5.0,64,0.546875,10878,0.535208678065821,,,
CBC_max,5.0,10.0,39,0.5384615384615384,10420,0.5865642994241843,,,
CBC_max,10.0,25.0,58,0.8275862068965517,26901,0.6840266161109252,,,
CBC_max,50.0,1000000000.0,26,1.0,103670,0.9517700395485676,,,
CBC_max,,,202,0.7079207920792079,187750,0.8413688415446072,0.6639700545759782,0.9223904598705536,9.454999999999927
max_asm_BU,0.0,0.25,65,0.4,21338,0.518183522354485,,,
max_asm_BU,0.25,0.5,37,0.5405405405405406,19085,0.5679329316216924,,,
max_asm_BU,0.5,1.0,31,0.6774193548387096,33188,0.6270338676630107,,,
max_asm_BU,1.0,2.0,27,0.5185185185185185,54431,0.7342874464918888,,,
max_asm_BU,2.0,1000000000.0,42,0.9047619047619048,119256,0.8023579526396994,,,
max_asm_BU,,,202,0.5891089108910891,247298,0.7212351090587065,0.4855696294679892,0.5587246822267905,0.4819999999999993
