lo,hi,n,acc,se,fold,target,unit
0.0,1.0,8945,0.5474566797093349,0.0052627748012117,C new_unseen,cyclen,EFPD
1.0,2.0,8134,0.6070813867715761,0.0054153019337857,C new_unseen,cyclen,EFPD
2.0,5.0,19562,0.7049381453839075,0.0032608093862288,C new_unseen,cyclen,EFPD
5.0,10.0,22364,0.8125558934001074,0.0026096831153033,C new_unseen,cyclen,EFPD
10.0,20.0,20224,0.9067444620253164,0.0020447783748469,C new_unseen,cyclen,EFPD
20.0,50.0,9062,0.9857647318472744,0.0012443926445375,C new_unseen,cyclen,EFPD
50.0,inf,69,1.0,0.0,C new_unseen,cyclen,EFPD
0.0,0.005,1788,0.5050335570469798,0.0118239950385153,C new_unseen,F_r,
0.005,0.01,1757,0.5361411496869665,0.0118972507094992,C new_unseen,F_r,
0.01,0.02,3298,0.5463917525773195,0.0086689642731105,C new_unseen,F_r,
0.02,0.05,8711,0.6000459189530478,0.005248839615719,C new_unseen,F_r,
0.05,0.1,11439,0.7289972899728997,0.0041558105748209,C new_unseen,F_r,
0.1,inf,61356,0.937772996935915,0.0009752361354126,C new_unseen,F_r,
0.0,0.01,2524,0.5126782884310618,0.0099491428845537,C new_unseen,F_q,
0.01,0.02,2321,0.5338216286083585,0.0103546773974929,C new_unseen,F_q,
0.02,0.05,6350,0.574488188976378,0.0062045387210197,C new_unseen,F_q,
0.05,0.1,8965,0.6462911321807028,0.0050496575361152,C new_unseen,F_q,
0.1,0.2,13715,0.7943857090776522,0.0034509959811891,C new_unseen,F_q,
0.2,inf,54475,0.9520513997246444,0.0009154182056192,C new_unseen,F_q,
0.0,5.0,4444,0.5479297929792979,0.0074658347980342,C new_unseen,CBC_max,ppm
5.0,10.0,4317,0.6177901320361362,0.0073957190879657,C new_unseen,CBC_max,ppm
10.0,25.0,11423,0.744287840322157,0.0040818408118263,C new_unseen,CBC_max,ppm
25.0,50.0,14359,0.8786823594957867,0.0027246820685334,C new_unseen,CBC_max,ppm
50.0,100.0,17073,0.94968663972354,0.0016729266737435,C new_unseen,CBC_max,ppm
