pair,type1,type2,enrichment_segment,feed,split_bucket,split_lo,split_mean,split_min,split_max,n_cores,n_feasible,n_distinct_splits,realized_enrichment_mean,bu_k1_mix_mean,F_r_min,best_cid,best_split,best_n_type1,best_n_type2,best_EFPD,best_B_c,best_B_d,best_discharge_GWd,best_CBC_max,best_cbc_margin,best_F_q,best_AO_min,best_AO_max,best_pinmax_rodavg_GWd,best_pinmax_node_GWd,best_pinmax_known,best_rodavg_ge68,best_rodavg_ge75,best_node_ge68,best_node_ge75,best_F_r_campaign,best_CBC_max_campaign,best_metrics_source,best_eq_ok,best_ncyc,best_feasible_at_metrics,F_r_p10,F_r_median,EFPD_mean,EFPD_max,B_d_mean,CBC_max_max,cbc_margin_min,n_pinmax_known,pinmax_rodavg_min,pinmax_rodavg_mean,pinmax_node_min,pinmax_node_mean,frac_rodavg_ge62,frac_rodavg_ge68,frac_rodavg_ge75,frac_node_ge62,frac_node_ge68,frac_node_ge75,n_campaign_verified,F_r_campaign_min,EFPD_max_F_r,EFPD_max_B_d,EFPD_max_split,pkey,n_store_rows,n_store_valid,store_f_r_min,store_cyclen_max,n_store_rows_pair_all_feeds,store_gap_f_r,unexplored,novel_type
E1_E2,E1,E2,5.0,101,55-60,0.55,0.579511,0.554455,0.594059,49,49,2,5.044,39.44419,1.5295,f6859af36877,0.594059,60,41,565.1,22.059897,52.637971,52.8,1261.4,138.6,1.8732,-0.0392,0.02,71.97,78.03,True,True,False,True,True,1.5295,1261.4,equilibrium_ncyc12,True,8,True,1.53608,1.5446,563.983673,565.7,52.533987,1263.1,136.9,49,70.93,72.231633,77.36,78.33,1.0,1.0,0.040816,1.0,1.0,1.0,0,1.5295,1.5429,52.69386,0.594059,E1_E2,232,146,1.7536,561.18,3496,0.2241,False,False
E1_E2,E1,E2,5.0,101,60-65,0.6,0.643564,0.643564,0.643564,1,1,1,5.044,39.46473,1.5397,c2705245f352,0.643564,65,36,562.5,21.9584,52.395786,52.54,1249.8,150.2,1.9146,-0.0379,0.0176,71.67,78.24,True,True,False,True,True,1.5397,1249.8,equilibrium_ncyc12,True,7,True,1.5397,1.5397,562.5,562.5,52.395786,1249.8,150.2,1,71.67,71.67,78.24,78.24,1.0,1.0,0.0,1.0,1.0,1.0,0,1.5397,1.5397,52.395786,0.643564,E1_E2,232,146,1.7536,561.18,3496,0.2139,False,False
E5_E6,E5,E6,5.0,101,55-60,0.55,0.554455,0.554455,0.554455,6,6,1,5.002,39.04362,1.5314,ae185f5d99a8,0.554455,56,45,553.5,21.607065,51.557453,51.83,1186.7,213.3,1.9268,-0.0366,0.0022,73.16,78.97,True,True,False,True,True,1.5405,1188.2,equilibrium_ncyc12,True,9,True,1.5322,1.54075,552.866667,553.6,51.49846,1191.2,208.8,6,73.08,73.343333,78.89,79.168333,1.0,1.0,0.0,1.0,1.0,1.0,0,1.5405,1.533,51.566768,0.554455,E5_E6,0,0,,,0,,True,True
E1_E2,E1,E2,5.0,105,50-55,0.5,0.521693,0.504762,0.542857,36,36,3,5.044556,39.421238,1.5235,95d721a8966e,0.533333,56,49,583.2,22.766469,52.254467,52.44,1256.5,143.5,1.8844,-0.0448,0.0201,73.35,78.99,True,True,False,True,True,1.5235,1256.5,equilibrium_ncyc12,True,8,True,1.5316,1.5373,582.888889,585.4,52.226592,1311.9,88.1,36,69.22,71.154444,74.75,77.004722,1.0,1.0,0.0,1.0,1.0,0.972222,0,1.5235,1.5413,52.451586,0.533333,E1_E2,24,15,1.8554,566.88,3496,0.3319,True,False
E1_E2,E1,E2,5.0,105,55-60,0.55,0.571701,0.571429,0.580952,35,35,2,5.044029,39.440202,1.5273,8194d47b25a8,0.571429,60,45,585.3,22.848447,52.442626,52.62,1305.4,94.6,1.8548,-0.0393,0.0177,70.88,76.54,True,True,False,True,True,1.5273,1305.4,equilibrium_ncyc12,True,8,True,1.52962,1.5331,584.434286,586.1,52.365058,1319.0,81.0,35,69.92,71.286,76.02,77.094857,1.0,1.0,0.028571,1.0,1.0,1.0,0,1.5273,1.5448,52.514306,0.571429,E1_E2,24,15,1.8554,566.88,3496,0.3281,True,False
E1_E2,E1,E2,5.0,105,60-65,0.6,0.609524,0.609524,0.609524,8,8,1,5.044,39.453814,1.5363,241f3361bafe,0.609524,64,41,585.8,22.867966,52.487426,52.65,1326.0,74.0,1.8674,-0.0381,0.0166,70.71,76.19,True,True,False,True,True,1.5363,1326.0,equilibrium_ncyc12,True,8,True,1.53651,1.53855,584.7375,585.8,52.392226,1326.0,74.0,8,69.88,71.98,76.0,77.72,1.0,1.0,0.0,1.0,1.0,1.0,0,1.5363,1.5363,52.487426,0.609524,E1_E2,24,15,1.8554,566.88,3496,0.3191,True,False
E5_E6,E5,E6,5.0,105,50-55,0.5,0.527891,0.504762,0.542857,7,7,3,5.001143,39.024231,1.5273,1068d6c30129,0.533333,56,49,571.8,22.321445,51.233032,51.45,1207.0,193.0,1.9196,-0.0345,-0.0009,73.12,78.8,True,True,False,True,True,1.5283,1208.6,equilibrium_ncyc12,True,8,True,1.52784,1.5345,570.528571,572.2,51.119112,1217.6,182.4,7,72.49,73.221429,78.13,79.012857,1.0,1.0,0.0,1.0,1.0,1.0,0,1.5283,1.5391,51.268872,0.533333,E5_E6,0,0,,,0,,True,True
E5_E6,E5,E6,5.0,105,55-60,0.55,0.578571,0.571429,0.580952,4,4,2,5.00075,39.008533,1.5301,74c2ff18b67d,0.571429,60,45,572.4,22.344868,51.286792,51.49,1221.4,178.6,1.9207,-0.035,-0.0002,73.07,78.76,True,True,False,True,True,1.5263,1222.8,equilibrium_ncyc12,True,8,True,1.53274,1.5427,569.525,572.4,51.029193,1221.4,178.6,4,72.52,73.3375,78.2,79.115,1.0,1.0,0.25,1.0,1.0,1.0,0,1.5263,1.5301,51.286792,0.571429,E5_E6,0,0,,,0,,True,True
E5_E6,E6,E5,5.0,105,60-65,0.6,0.619048,0.619048,0.619048,1,0,1,4.999,38.981061,1.5536,88354a999d6c,0.619048,65,40,568.5,22.192623,50.937353,51.16,1167.7,232.3,1.9517,-0.0338,-0.0004,73.05,78.84,True,True,False,True,True,1.5456,1167.7,equilibrium_ncyc12,True,9,False,1.5536,1.5536,568.5,568.5,50.937353,1167.7,232.3,1,73.05,73.05,78.84,78.84,1.0,1.0,0.0,1.0,1.0,1.0,0,1.5456,1.5536,50.937353,0.619048,E5_E6,0,0,,,0,,True,True
E1_E2,E2,E1,5.0,109,55-60,0.55,0.560467,0.559633,0.59633,44,43,2,5.045,39.399303,1.5366,d67905e3b6f5,0.559633,61,48,601.3,23.473042,51.89911,52.12,1256.0,144.0,1.895,-0.0479,0.0148,71.68,78.43,True,True,False,True,True,1.5366,1256.0,equilibrium_ncyc12,True,7,True,1.54118,1.5464,600.986364,601.5,51.87204,1284.6,115.4,44,67.97,70.568864,73.36,76.395682,1.0,0.977273,0.0,1.0,1.0,0.886364,0,1.5366,1.5435,51.916372,0.559633,E1_E2,292,177,1.7692,595.202,3496,0.2326,False,False
