cell,zone,enrichment_segment,feed,n_batch,extrapolated,n_cores,n_pairs,n_feasible_db,e_real_mean,e_real_sd,bu_k1_mix_mean,EFPD_db_mean,EFPD_db_sd,EFPD_db_min,EFPD_db_max,B_c_db_mean,B_d_massbal_mean,B_d_reported_mean,massbal_dev_pct_mean,massbal_dev_pct_sd,F_r_db_min,CBC_max_db_max,lrmA_efpd,lrmA_bias,lrmA_rms,lrmB_efpd,lrmB_bias,lrmB_rms,lrmC_efpd,lrmC_bias,lrmC_rms,e_for_backbone,backbone_mean_efpd,backbone_ceil_efpd,backbone_mean_B_d,backbone_ceil_B_d,ceil_cyclen,ceil_B_cycle,ceil_B_d,min_pred_f_r,n_feasible,in_distribution,n_store_pair_feed,library_id,per_fa_tU,d_surrogate_minus_lrmceil_efpd,d_surrogate_minus_lrmceil_pct,d_surrogate_minus_lrmmean_efpd,d_surrogate_minus_dbmax_efpd,d_surrogate_minus_lrmceil_B_d,lrmA_a,lrmA_b,lrmB_a,lrmB_b,lrmB_alpha,lrmCeil_a,lrmCeil_b,lrmCeil_alpha,spr_gwd_per_efpd
e5.0_f101,db_only,5.0,101,2.386139,False,56.0,2.0,56.0,5.0395,0.013108,39.401638,562.766071,3.615486,551.2,565.7,21.968787,52.42057,52.598571,-0.338753,0.068462,1.5295,1263.1,563.524232,0.75816,2.330088,560.704007,-2.062064,3.02168,561.238425,-1.527646,2.550812,5.0395,560.704007,565.368374,52.228493,52.662969,,,,,,,,,,,,,,,-0.858023,7.560831,-14.854288,126.132069,0.903213,3.369285,122.239281,0.912776,0.039037
e5.0_f105,db_and_mesh,5.0,105,2.295238,False,91.0,2.0,90.0,5.038538,0.014788,39.377879,581.949451,4.893474,568.2,586.1,22.717651,52.142418,52.331648,-0.361885,0.044048,1.5235,1326.0,578.956251,-2.9932,4.42987,578.026445,-3.923006,5.105082,578.21238,-3.73707,4.795533,5.038538,578.026445,583.034264,51.790919,52.239617,575.557987,22.468147,51.569746,1.739887,0.0,False,15.0,ga80,0.42337,-7.476277,-1.282305,-2.468457,-10.542013,-0.669871,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e5.0_f109,db_and_mesh,5.0,109,2.211009,False,60.0,2.0,57.0,5.032883,0.020279,39.291941,597.035,6.721426,583.7,601.5,23.306548,51.530992,51.751,-0.425281,0.025956,1.529,1284.6,593.460805,-3.574195,5.577508,599.631769,2.596769,4.984955,599.674601,2.639601,4.932955,5.032883,599.631769,602.16646,51.755123,51.973896,590.964764,23.069583,51.00706,1.595146,0.0,False,177.0,ga80,0.42337,-11.201696,-1.860233,-8.667005,-10.535236,-0.966835,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e5.0_f113,db_and_mesh,5.0,113,2.132743,False,161.0,2.0,151.0,5.043037,0.009147,39.377588,613.254658,2.951503,595.1,617.1,23.939717,51.057273,51.174099,-0.208556,1.457583,1.5295,1302.2,609.542869,-3.711789,4.401816,613.206776,-0.047882,2.364033,613.280964,0.026305,2.188958,5.043037,613.206776,616.482195,51.053287,51.325986,609.397442,23.789143,50.736136,1.599209,0.0,False,134.0,ga80,0.42337,-7.084753,-1.149223,-3.809334,-7.702558,-0.58985,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
e5.0_f117,db_and_mesh,5.0,117,2.059829,False,163.0,2.0,160.0,5.04162,0.011752,39.372439,624.534356,4.389921,610.2,629.5,24.380045,50.218725,50.454969,-0.46832,0.064776,1.5129,1306.1,623.888523,-0.645832,3.26416,623.450526,-1.08383,3.378048,623.572994,-0.961362,3.296039,5.04162,623.450526,628.433206,50.131574,50.532231,629.685161,24.581117,50.6329,1.528236,3.0,False,501.0,ga80,0.42337,1.251955,0.199219,6.234635,0.185161,0.10067,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e5.0_f121,db_and_mesh,5.0,121,1.991736,False,97.0,4.0,96.0,5.040206,0.010219,39.374989,633.627835,2.256183,626.1,637.2,24.735028,49.265635,49.493299,-0.46004,0.037394,1.4971,1285.3,637.905553,4.277718,4.733066,633.101766,-0.526069,2.091541,633.463751,-0.164084,1.73654,5.040206,633.101766,636.726548,49.224732,49.506565,642.111828,25.066219,49.92528,1.494876,388.0,True,1097.0,ga80,0.42337,5.385279,0.845776,9.010062,4.911828,0.418715,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
e5.1_f101,db_only,5.1,101,2.386139,False,441.0,4.0,436.0,5.108819,0.01896,39.950682,568.186395,1.971431,562.7,573.2,22.180381,52.925463,53.179229,-0.477194,0.070294,1.5005,1301.4,571.454108,3.267713,4.432973,568.601067,0.414672,3.01742,568.519694,0.3333,2.768106,5.108819,568.601067,573.102744,52.964088,53.383411,,,,,,,,,,,,,,,-0.858023,7.560831,-14.854288,126.132069,0.903213,3.369285,122.239281,0.912776,0.039037
e5.1_f105,db_and_mesh,5.1,105,2.295238,False,93.0,4.0,88.0,5.086505,0.012985,39.76609,584.950538,1.698505,578.7,587.6,22.834805,52.411314,52.616344,-0.389662,0.043079,1.5323,1305.8,584.594917,-0.355621,2.37184,583.660957,-1.28958,2.675543,583.519422,-1.431116,2.836743,5.086505,583.660957,588.554555,52.295769,52.734233,586.239805,22.885134,52.526832,1.672576,0.0,False,21.0,ga80,0.42337,-2.31475,-0.393294,2.578848,-1.360195,-0.207401,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e5.1_f109,db_and_mesh,5.1,109,2.211009,False,130.0,2.0,89.0,5.118831,0.011059,40.028854,609.429231,1.253241,606.7,612.2,23.790384,52.600756,52.804462,-0.373787,1.158509,1.5321,1314.5,603.829229,-5.600001,5.696642,610.11714,0.687909,1.256908,610.143763,0.714532,1.197106,5.118831,610.11714,612.393752,52.660131,52.856629,599.656871,23.408898,51.757289,1.655317,0.0,False,223.0,ga80,0.42337,-12.736881,-2.079852,-10.460269,-12.543129,-1.099339,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e5.1_f113,db_and_mesh,5.1,113,2.132743,False,182.0,2.0,152.0,5.109797,0.014589,39.962176,621.071429,1.08172,617.3,623.1,24.244862,51.708068,51.906429,-0.378642,0.614222,1.5261,1327.7,617.79772,-3.273709,4.121986,621.518471,0.447043,2.555597,621.757307,0.685878,2.285922,5.109797,621.518471,624.598789,51.745287,52.001743,618.389081,24.140151,51.484746,1.597801,0.0,False,44.0,ga80,0.42337,-6.209708,-0.994191,-3.12939,-4.710919,-0.516997,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
