cell,n,n_node_peak,n_map_cov,n_maps_key,n_cyclen
5-5.25_f101,60,0,0,0,60
5-5.25_f109,60,0,0,0,60
5-5.25_f117,66,0,0,0,66
5-5.25_f125,59,0,0,0,59
5-5.25_f133,32,0,0,0,32
5-5.25_f141,30,0,0,0,30
5.25-5.5_f101,30,0,0,0,30
5.25-5.5_f109,33,0,0,0,33
5.25-5.5_f117,33,0,0,0,33
5.25-5.5_f125,30,0,0,0,30
5.25-5.5_f133,30,0,0,0,30
5.25-5.5_f141,30,0,0,0,30
5.5-5.75_f101,60,0,0,0,60
5.5-5.75_f109,60,0,0,0,60
5.5-5.75_f117,30,0,0,0,30
5.5-5.75_f125,60,0,0,0,60
5.5-5.75_f133,30,0,0,0,30
5.5-5.75_f141,30,0,0,0,30
5.75-6_f101,63,0,0,0,63
5.75-6_f109,46,0,0,0,46
5.75-6_f117,30,0,0,0,30
5.75-6_f125,50,0,0,0,50
5.75-6_f133,60,0,0,0,60
5.75-6_f141,30,0,0,0,30
6-6.25_f101,63,0,0,0,63
6-6.25_f109,60,0,0,0,60
6-6.25_f117,30,0,0,0,30
6-6.25_f125,30,0,0,0,30
6-6.25_f133,30,0,0,0,30
6-6.25_f141,56,0,0,0,56
6.25-6.5_f101,30,0,0,0,30
6.25-6.5_f109,33,0,0,0,33
6.25-6.5_f117,30,0,0,0,30
6.25-6.5_f125,30,0,0,0,30
6.25-6.5_f133,30,0,0,0,30
6.25-6.5_f141,30,0,0,0,30
