case_pair,feed,slot,row,col,orbit_class,multiplicity,radius,periphery,diagonal_slot,p_orig,p_tp_detransposed,d
J1_J2,121,0,0,0,center,1,0.0,False,True,1.1252000331878662,1.1196999549865723,0.005500078201293945
J1_J2,121,1,0,1,horizontal_axis,2,1.0,False,False,1.0550999641418457,1.0527000427246094,0.002399921417236328
J1_J2,121,2,0,2,horizontal_axis,2,2.0,False,False,1.239799976348877,1.239300012588501,0.0004999637603759766
J1_J2,121,3,0,3,horizontal_axis,2,3.0,False,False,1.2238999605178833,1.2239999771118164,-0.00010001659393310547
J1_J2,121,4,0,4,horizontal_axis,2,4.0,False,False,1.3014999628067017,1.3025000095367432,-0.001000046730041504
J1_J2,121,5,0,5,horizontal_axis,2,5.0,False,False,1.3264000415802002,1.3257999420166016,0.0006000995635986328
J1_J2,121,6,0,6,horizontal_axis,2,6.0,False,False,1.2379000186920166,1.239799976348877,-0.0018999576568603516
J1_J2,121,7,0,7,horizontal_axis,2,7.0,False,False,1.044600009918213,1.0505000352859497,-0.005900025367736816
J1_J2,121,8,0,8,horizontal_axis,2,8.0,True,False,0.5819000005722046,0.5837000012397766,-0.0018000006675720215
J1_J2,121,9,1,0,vertical_axis,2,1.0,False,False,1.0550999641418457,1.0527000427246094,0.002399921417236328
J1_J2,121,10,1,1,interior,4,1.4142135623730951,False,True,1.1495000123977661,1.1476999521255493,0.0018000602722167969
J1_J2,121,11,1,2,interior,4,2.23606797749979,False,False,1.0645999908447266,1.0641000270843506,0.0004999637603759766
J1_J2,121,12,1,3,interior,4,3.1622776601683795,False,False,1.1057000160217285,1.107200026512146,-0.0015000104904174805
J1_J2,121,13,1,4,interior,4,4.123105625617661,False,False,1.3245999813079834,1.330899953842163,-0.0062999725341796875
J1_J2,121,14,1,5,interior,4,5.0990195135927845,False,False,1.430899977684021,1.4453999996185303,-0.014500021934509277
J1_J2,121,15,1,6,interior,4,6.082762530298219,False,False,1.3660999536514282,1.3819999694824219,-0.015900015830993652
J1_J2,121,16,1,7,interior,4,7.0710678118654755,False,False,0.9793999791145325,0.9876000285148621,-0.00820004940032959
J1_J2,121,17,1,8,interior,4,8.06225774829855,True,False,0.513700008392334,0.5157999992370605,-0.0020999908447265625
J1_J2,121,18,2,0,vertical_axis,2,2.0,False,False,1.239799976348877,1.239300012588501,0.0004999637603759766
J1_J2,121,19,2,1,interior,4,2.23606797749979,False,False,1.1648000478744507,1.163699984550476,0.0011000633239746094
J1_J2,121,20,2,2,interior,4,2.8284271247461903,False,True,1.0155999660491943,1.0148999691009521,0.0006999969482421875
J1_J2,121,21,2,3,interior,4,3.605551275463989,False,False,1.0592000484466553,1.059999942779541,-0.0007998943328857422
J1_J2,121,22,2,4,interior,4,4.47213595499958,False,False,1.2906999588012695,1.294600009918213,-0.0039000511169433594
J1_J2,121,23,2,5,interior,4,5.385164807134504,False,False,1.4168000221252441,1.424299955368042,-0.0074999332427978516
J1_J2,121,24,2,6,interior,4,6.324555320336759,False,False,1.2661999464035034,1.2740000486373901,-0.007800102233886719
J1_J2,121,25,2,7,interior,4,7.280109889280518,False,False,0.9819999933242798,0.9872000217437744,-0.005200028419494629
J1_J2,121,26,2,8,interior,4,8.246211251235321,True,False,0.428600013256073,0.42910000681877136,-0.0004999935626983643
J1_J2,121,27,3,0,vertical_axis,2,3.0,False,False,1.2238999605178833,1.2239999771118164,-0.00010001659393310547
J1_J2,121,28,3,1,interior,4,3.1622776601683795,False,False,1.0779000520706177,1.076300024986267,0.001600027084350586
J1_J2,121,29,3,2,interior,4,3.605551275463989,False,False,1.0771000385284424,1.075700044631958,0.001399993896484375
J1_J2,121,30,3,3,interior,4,4.242640687119285,False,True,1.1811000108718872,1.1806000471115112,0.0004999637603759766
J1_J2,121,31,3,4,interior,4,5.0,False,False,1.1497999429702759,1.1505000591278076,-0.0007001161575317383
J1_J2,121,32,3,5,interior,4,5.830951894845301,False,False,1.1729999780654907,1.1761000156402588,-0.0031000375747680664
J1_J2,121,33,3,6,interior,4,6.708203932499369,False,False,1.1325000524520874,1.1360000371932983,-0.0034999847412109375
J1_J2,121,34,3,7,interior,4,7.615773105863909,False,False,0.835099995136261,0.8377000093460083,-0.0026000142097473145
J1_J2,121,35,3,8,interior,4,8.54400374531753,True,False,0.31130000948905945,0.31200000643730164,-0.0006999969482421875
J1_J2,121,36,4,0,vertical_axis,2,4.0,False,False,1.3014999628067017,1.3025000095367432,-0.001000046730041504
J1_J2,121,37,4,1,interior,4,4.123105625617661,False,False,1.1405999660491943,1.13919997215271,0.001399993896484375
J1_J2,121,38,4,2,interior,4,4.47213595499958,False,False,1.2075999975204468,1.204200029373169,0.003399968147277832
J1_J2,121,39,4,3,interior,4,5.0,False,False,1.118399977684021,1.1166000366210938,0.001799941062927246
J1_J2,121,40,4,4,interior,4,5.656854249492381,False,True,1.3046000003814697,1.3035999536514282,0.001000046730041504
J1_J2,121,41,4,5,interior,4,6.4031242374328485,False,False,1.2532000541687012,1.253499984741211,-0.0002999305725097656
