digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
09eafc7be846b74a,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\09eafc7be846b74a__MAS_RST.APRQ_11_0705.0-0205ea1735-zb6f20lt,final,1.7619,1.4712,29,1,,733.981
0d897f24ec38f209,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\0d897f24ec38f209__MAS_RST.APRQ_11_0705.0-52dd9d17c8-n9z1k57f,final,1.7429,1.5362,29,1,,730.418
137da9109f4c0e09,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\137da9109f4c0e09__MAS_RST.APRQ_11_0705.0-079b0ad648-w2qq9lft,final,1.6674,1.4638,29,1,,730.494
2112f7e23fd876b7,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\2112f7e23fd876b7__MAS_RST.APRQ_11_0705.0-6b0597b191-dw3nkh_2,final,1.8459,1.6437,29,1,,729.887
31179a70eb35ba50,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\31179a70eb35ba50__MAS_RST.APRQ_11_0705.0-591cc4cfa5-bf3wcj66,final,1.7364,1.5411,29,1,,729.096
3da1dece3047e707,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\3da1dece3047e707__MAS_RST.APRQ_11_0705.0-9269fc87a8-zc1i2hh0,final,1.804,1.5886,29,1,,731.161
53bccde5aac1f7a2,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\53bccde5aac1f7a2__MAS_RST.APRQ_11_0705.0-ad97c7cc7a-ccnzs63d,final,1.6977,1.4899,29,1,,730.842
54f2d897dd0b9f56,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\54f2d897dd0b9f56__MAS_RST.APRQ_11_0705.0-555688de7e-bpkdk3kg,final,1.6988,1.4909,29,1,,732.071
55bd2b42566a2de1,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\55bd2b42566a2de1__MAS_RST.APRQ_11_0705.0-5d16c8c4f3-pwac8t67,final,1.6803,1.4873,29,1,,730.592
57251de3b786a98f,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\57251de3b786a98f__MAS_RST.APRQ_11_0705.0-a0121fccfc-96bszfxj,final,1.6412,1.4516,29,1,,730.611
576be0d288edb642,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\576be0d288edb642__MAS_RST.APRQ_11_0705.0-d216761a1a-wem46_56,final,1.6721,1.4667,29,1,,730.903
657f6195f58b115d,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\657f6195f58b115d__MAS_RST.APRQ_11_0705.0-3e2f525f10-_5oeq1dn,final,1.6762,1.4812,29,1,,730.01
6a8484708c5ed2ac,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\6a8484708c5ed2ac__MAS_RST.APRQ_11_0705.0-eb27414f79-dm_1ulon,final,1.7124,1.4721,29,1,,736.096
97d8ac072ec1c97c,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\97d8ac072ec1c97c__MAS_RST.APRQ_11_0705.0-8bd30c079f-g8p2xqa1,final,1.7904,1.5719,29,1,,733.912
bfbb7f0a3f6e8932,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\bfbb7f0a3f6e8932__MAS_RST.APRQ_11_0705.0-e2b46c6319-q95_ip4e,final,1.6944,1.4772,29,1,,729.598
d64f9d677052f818,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\d64f9d677052f818__MAS_RST.APRQ_11_0705.0-a39135fe5a-4lzpjg0u,final,1.7682,1.5627,29,1,,729.598
daa68b17b83a081e,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\daa68b17b83a081e__MAS_RST.APRQ_11_0705.0-a3a1b99172-4ngpzh74,final,1.8367,1.611,29,1,,728.757
e754055d1af91f9d,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\e754055d1af91f9d__MAS_RST.APRQ_11_0705.0-f7d706e31d-33mds1g2,final,1.7739,1.579,29,1,,730.331
f2d05900c9f4b5ef,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\f2d05900c9f4b5ef__MAS_RST.APRQ_11_0705.0-4eef563076-a98u1z7w,final,1.6987,1.4939,29,1,,730.982
fe55bd850a47a38f,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\fe55bd850a47a38f__MAS_RST.APRQ_11_0705.0-2169f05cc2-zq42pg5l,final,1.7484,1.5547,29,1,,729.826
ff3582bb546c5de6,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_00\ff3582bb546c5de6__MAS_RST.APRQ_11_0705.0-0126535cf4-wab0vjgn,final,1.77,1.5645,29,1,,731.341
0127fc849222f51c,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_01\0127fc849222f51c__MAS_RST.APRQ_11_0705.0-910ad5cdca-85c12z29,final,1.7715,1.5556,29,1,,730.002
1208ea77bf92e627,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_01\1208ea77bf92e627__MAS_RST.APRQ_11_0705.0-4ed242bb67-3iowjcwd,final,1.729,1.5355,29,1,,731.305
214fce08176443cf,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_01\214fce08176443cf__MAS_RST.APRQ_11_0705.0-9f27aabfec-plen8hz1,final,1.7649,1.5361,29,1,,730.122
2de055c1caadd59f,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_01\2de055c1caadd59f__MAS_RST.APRQ_11_0705.0-c7d3c0e1e6-i1tutzow,final,1.722,1.5334,29,1,,730.417
31c49cd1254dba3a,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_01\31c49cd1254dba3a__MAS_RST.APRQ_11_0705.0-41ccbf3ade-l5zi6hr0,final,1.7162,1.5231,29,1,,730.607
3cdd9af5bc6a87df,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_01\3cdd9af5bc6a87df__MAS_RST.APRQ_11_0705.0-02994469e2-yzpbkqko,final,1.7447,1.5582,29,1,,735.575
428e301ffabc4d33,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1_hgd569_fix\intervention_HGD569_f125\master_work\worker_01\428e301ffabc4d33__MAS_RST.APRQ_11_0705.0-429a8a3a04-_byojhgb,final,1.7382,1.5217,29,1,,731.34
