digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
0bfecc4715f58937,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\0bfecc4715f58937__MAS_RST.APRQ_11_0615.8-69f8c2545d-h_1keace,final,1.6659,1.4559,25,1,,592.065
1f72f2411de5c32e,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\1f72f2411de5c32e__MAS_RST.APRQ_11_0615.8-25e1e3400e-p7f8cgwa,final,1.7002,1.4822,25,1,,592.721
268102ee89091c6c,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\268102ee89091c6c__MAS_RST.APRQ_11_0615.8-eb7f72b599-a72bc90d,final,1.6563,1.4567,25,1,,591.998
3a45af9ce0ec477b,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\3a45af9ce0ec477b__MAS_RST.APRQ_11_0615.8-ecfcaee287-f_8oh9t6,final,1.6977,1.4844,25,1,,592.311
48f9b54af50b879b,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\48f9b54af50b879b__MAS_RST.APRQ_11_0615.8-f4f0ae17bd-izcd48v5,final,1.7398,1.5147,25,1,,593.497
52ddf73cf8dc8a62,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\52ddf73cf8dc8a62__MAS_RST.APRQ_11_0615.8-c9eadee3dd-xpqbk1a8,final,1.6776,1.4772,25,1,,592.479
74c00f3b40e9ec17,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\74c00f3b40e9ec17__MAS_RST.APRQ_11_0615.8-4547ba2a6c-uf4v_fk_,final,1.6925,1.4722,25,1,,592.152
7e13aa710325b264,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\7e13aa710325b264__MAS_RST.APRQ_11_0615.8-39fef546ac-w05v0si3,final,1.6563,1.4462,25,1,,592.715
88f65f6f5e14afb6,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\88f65f6f5e14afb6__MAS_RST.APRQ_11_0615.8-3e7e06394d-rtb46wv4,final,1.7256,1.5012,25,1,,593.088
8c98d29b529db7dd,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\8c98d29b529db7dd__MAS_RST.APRQ_11_0615.8-dc91a6ebcb-kpo_w7nl,final,1.7917,1.5174,25,1,,591.609
91f694f22d07c643,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\91f694f22d07c643__MAS_RST.APRQ_11_0615.8-46099d9833-fhkvi8t0,final,1.6671,1.4542,25,1,,592.225
9cdd902d3bf9bd6f,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\9cdd902d3bf9bd6f__MAS_RST.APRQ_11_0615.8-9fc6400aea-zovfwbwp,final,1.6971,1.4665,25,1,,592.577
9d6f4497481d393a,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\9d6f4497481d393a__MAS_RST.APRQ_11_0615.8-9f9c322361-u2soju6h,final,1.7171,1.5002,25,1,,592.777
ab899ce589e16120,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\ab899ce589e16120__MAS_RST.APRQ_11_0615.8-a11b260cb7-mqm62_9v,final,1.664,1.48,25,1,,592.552
b5e256c98263436f,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\b5e256c98263436f__MAS_RST.APRQ_11_0615.8-8b0f97bc08-nclrnh11,final,1.6581,1.4886,25,1,,592.939
bd05a2ce9ab7552f,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\bd05a2ce9ab7552f__MAS_RST.APRQ_11_0615.8-09bb6352e4-6eellx8d,final,1.6632,1.4482,25,1,,592.571
d350c1b03a200cd8,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_00\d350c1b03a200cd8__MAS_RST.APRQ_11_0615.8-9d325cad3f-bse4pvb3,final,1.6642,1.4656,25,1,,591.948
