digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
0b4d2047dcb48b87,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\0b4d2047dcb48b87__MAS_RST.APRQ_10_0615.1-69ca412484-3yiay3y1,final,1.595,1.4596,25,1,,620.695
1a8fd480afe4adb3,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\1a8fd480afe4adb3__MAS_RST.APRQ_10_0615.1-2ba5633d43-o_68q27m,final,1.6276,1.4734,25,1,,621.095
3e65b5cb47f4fb14,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\3e65b5cb47f4fb14__MAS_RST.APRQ_10_0615.1-80a55bc034-k_ql7mry,final,1.5982,1.4461,25,1,,622.341
3e92df9e15ba854c,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\3e92df9e15ba854c__MAS_RST.APRQ_10_0615.1-6ed182164a-236ztna1,final,1.6307,1.4801,25,1,,620.805
4457ac6760f7e27e,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\4457ac6760f7e27e__MAS_RST.APRQ_10_0615.1-3176519007-7e_vwyea,final,1.5992,1.4547,25,1,,624.318
4efad6cab1335f3d,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\4efad6cab1335f3d__MAS_RST.APRQ_10_0615.1-0988367dae-9b0zig_j,final,1.5731,1.4419,25,1,,621.361
58d2748831b85e3d,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\58d2748831b85e3d__MAS_RST.APRQ_10_0615.1-6988c38383-gxbprs7t,final,1.5322,1.3803,25,1,,622.101
65c600e250c9fd63,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\65c600e250c9fd63__MAS_RST.APRQ_10_0615.1-4f421396a8-obg_vtmk,final,1.8068,1.615,25,1,,622.013
8cd8b85a77abd623,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\8cd8b85a77abd623__MAS_RST.APRQ_10_0615.1-d6c1bea5fb-6v73n4q0,final,1.63,1.4877,25,1,,621.831
a33a9317bb46e99b,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\a33a9317bb46e99b__MAS_RST.APRQ_10_0615.1-dbbeb02b0a-u3f960qo,final,1.5871,1.4461,25,1,,624.138
bcbd878c2fd155d6,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\bcbd878c2fd155d6__MAS_RST.APRQ_10_0615.1-26eeb38f1b-q5buwjgr,final,1.5832,1.444,25,1,,624.058
c2e401f53d3444ba,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\c2e401f53d3444ba__MAS_RST.APRQ_10_0615.1-e0858a86d0-v2i17hhb,final,1.589,1.4504,25,1,,622.791
df9f1b8e0bfc4a87,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_00\df9f1b8e0bfc4a87__MAS_RST.APRQ_10_0615.1-97362b6a02-usf9ym0h,final,1.5973,1.4598,25,1,,624.024
31bca23d491f5ed7,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_01\31bca23d491f5ed7__MAS_RST.APRQ_10_0615.1-adeca778fc-lglx0lx1,final,1.7048,1.5027,25,1,,620.273
3221d1a6134e13ff,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_01\3221d1a6134e13ff__MAS_RST.APRQ_10_0615.1-e553e7c73c-kv1st97a,final,1.6011,1.4614,25,1,,623.91
36c5af1c28f99022,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_01\36c5af1c28f99022__MAS_RST.APRQ_10_0615.1-d6e807476d-y55ye9bc,final,1.5783,1.4345,25,1,,624.116
47689735e2fd7d60,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_01\47689735e2fd7d60__MAS_RST.APRQ_10_0615.1-c750c11509-__lmh7mw,final,1.713,1.5416,25,1,,620.749
6036ba502c46453d,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfxy_t6t4_f121_r1\master\master_work\worker_01\6036ba502c46453d__MAS_RST.APRQ_10_0615.1-73313595ec-4k2xzzcb,final,1.5631,1.4546,25,1,,623.086
