digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
4f98b4d5f7e796da,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_00\4f98b4d5f7e796da__MAS_RST.APRQ_21_0712.6-5c727c26bd-7_8q7omv,final,2.409,2.1341,28,1,,700.881
52545530e05fe122,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_00\52545530e05fe122__MAS_RST.APRQ_11_0578.2-9acb333335-5l5hjbx5,final,2.1826,2.0317,24,1,,593.508
5bc9220454429286,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_00\5bc9220454429286__MAS_RST.APRQ_21_0729.4-1851714786-j5fqhici,final,1.9168,1.7131,28,1,,719.106
c9aaa2924c05f3e6,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_00\c9aaa2924c05f3e6__MAS_RST.APRQ_21_0712.6-749fa7cd1c-ie1ufh68,final,1.7836,1.5791,28,1,,712.702
1c85ef365a09f686,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_01\1c85ef365a09f686__MAS_RST.APRQ_11_0632.5-da2940a648-rlwtwm6v,final,2.2078,2.0014,26,1,,643.265
42eda399edf54f3c,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_01\42eda399edf54f3c__MAS_RST.APRQ_21_0729.4-170f46291d-mfnlkbxd,final,1.8405,1.6295,29,1,,731.614
43d999ea685d4b4a,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_01\43d999ea685d4b4a__MAS_RST.APRQ_21_0712.6-da67938c09-3w3wb0x2,final,1.9185,1.7273,29,1,,725.894
ed1461b58cf340e6,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_01\ed1461b58cf340e6__MAS_RST.APRQ_12_0635.6-ad4e89a194-uvz1wzyr,final,2.4114,2.1411,26,1,,631.194
3bcfa263f658da17,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_02\3bcfa263f658da17__MAS_RST.APRQ_21_0729.4-23720b16a8-soz07xtc,final,1.9284,1.6907,29,1,,722.58
8fc0af41c25ecc24,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_02\8fc0af41c25ecc24__MAS_RST.APRQ_11_0576.8-30534b02b1-ak10na4a,final,2.4605,2.2691,23,1,,558.022
912d80a17bebe7ca,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_02\912d80a17bebe7ca__MAS_RST.APRQ_11_0578.2-3dd3e68c96-_bzv72zp,final,1.8454,1.6512,24,1,,595.136
c760c1e48f6b3521,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_02\c760c1e48f6b3521__MAS_RST.APRQ_21_0712.6-001934d214-4e7vvhnl,final,2.2404,2.0244,29,1,,721.096
1f0dd6ae1e1e6694,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_03\1f0dd6ae1e1e6694__MAS_RST.APRQ_21_0741.2-7a7b99ed86-61b7bb7t,final,2.4798,2.1631,29,1,,732.295
2224fe99d9f9c967,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_03\2224fe99d9f9c967__MAS_RST.APRQ_21_0712.6-8b0a3a10c8-h_udrk94,final,1.9334,1.7353,28,1,,719.471
94c3d102ef0a3f24,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_03\94c3d102ef0a3f24__MAS_RST.APRQ_21_0654.2-d6d96feb2b-8371jht5,final,1.8607,1.6113,27,1,,673.374
bf2a8838ee4e5033,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_03\bf2a8838ee4e5033__MAS_RST.APRQ_21_0715.1-9740efb999-rnz5wepd,final,2.2444,2.0079,28,1,,713.745
046059da3f33c4c1,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_04\046059da3f33c4c1__MAS_RST.APRQ_21_0729.4-758e462357-5h6cfj8r,final,1.8773,1.6755,29,1,,728.406
2f9add33f7eba21a,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_04\2f9add33f7eba21a__MAS_RST.APRQ_10_0615.1-00c67c5ec2-64ubvnkj,final,1.9346,1.7059,25,1,,618.77
971382d9ffe838d4,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_04\971382d9ffe838d4__MAS_RST.APRQ_10_0615.1-a3861dffb7-v1yl18vn,final,2.258,1.9262,25,1,,615.674
065fe9a3f8bb9309,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_05\065fe9a3f8bb9309__MAS_RST.APRQ_12_0789.0-effa51afbd-7h2dnavi,final,2.2809,1.9068,31,1,,804.902
b17268c68c8e92e4,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_05\b17268c68c8e92e4__MAS_RST.APRQ_21_0654.2-1fb4f1db2b-j9zjdt87,final,1.9367,1.7159,27,1,,660.704
baf39e7e86a2738d,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_05\baf39e7e86a2738d__MAS_RST.APRQ_11_0576.8-54428f6de0-1r1eq1rw,final,1.8888,1.6767,24,1,,576.454
00befd96f09c79d3,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_06\00befd96f09c79d3__MAS_RST.APRQ_10_0615.1-ccef50d711-q44g28xk,final,2.3071,2.0704,25,1,,622.115
aac3593b586ba182,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_06\aac3593b586ba182__MAS_RST.APRQ_21_0712.6-a5419b665c-fqjg6aj3,final,1.9536,1.7049,28,1,,712.907
b112194da85dbe4d,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_06\b112194da85dbe4d__MAS_RST.APRQ_11_0578.2-c78b21e7e1-7umz8tcp,final,1.8952,1.6524,24,1,,599.718
9969fcd9791e1985,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_07\9969fcd9791e1985__MAS_RST.APRQ_11_0576.8-6e68a5c190-aaw0csci,final,1.9544,1.7488,23,1,,547.957
c66c5bca904a86d8,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_07\c66c5bca904a86d8__MAS_RST.APRQ_11_0578.2-15ac234a15-mpmi4ds6,final,1.9007,1.7041,24,1,,593.318
cf09e515cdef8fe9,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_07\cf09e515cdef8fe9__MAS_RST.APRQ_11_0767.6-96908592c6-i_v5ll3o,final,2.3128,1.9584,30,1,,774.954
923d5c511e89c399,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_08\923d5c511e89c399__MAS_RST.APRQ_21_0729.4-c1f8695467-c56rydko,final,1.9057,1.6882,28,1,,719.291
a43cfae72c17e03c,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_08\a43cfae72c17e03c__MAS_RST.APRQ_21_0756.5-eecb1036a1-jbh8hjv3,final,2.3446,2.0617,30,1,,759.643
fc2ffba174475913,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_08\fc2ffba174475913__MAS_RST.APRQ_21_0712.6-13a020982e-bqohzvpg,final,1.6926,1.5026,29,1,,729.461
2a4f4f6eeea511a9,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_09\2a4f4f6eeea511a9__MAS_RST.APRQ_11_0725.8-0e95769382-f6if3jum,final,2.3611,1.9841,29,1,,746.383
32b74433e3c0fc34,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_09\32b74433e3c0fc34__MAS_RST.APRQ_10_0615.1-a8d09ef4b0-qc8npcrh,final,1.9064,1.6836,25,1,,620.838
4c79188f3f227abe,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_fxyera_r1\paramA\master_work\worker_09\4c79188f3f227abe__MAS_RST.APRQ_21_0712.6-ec7a0383b5-07xjv0wq,final,1.8976,1.675,29,1,,729.91
