digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
58d2748831b85e3d,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_00\58d2748831b85e3d__MAS_RST.APRQ_10_0615.1-ff0e289cea-tirsbnvx,final,1.5322,1.3803,25,1,,622.101
a1851a32022e5a57,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_00\a1851a32022e5a57__MAS_RST.APRQ_10_0615.1-938c45305f-18_hb13a,final,1.5684,1.4295,25,1,,625.459
bcbd878c2fd155d6,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_00\bcbd878c2fd155d6__MAS_RST.APRQ_10_0615.1-d97c32fc3a-wwrz4g3j,final,1.5832,1.444,25,1,,624.058
edf60bf07317d129,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_01\edf60bf07317d129__MAS_RST.APRQ_10_0615.1-b66e00c4ae-3caj0s0w,final,1.5839,1.4446,25,1,,624.026
f0d70a5303c3932d,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_01\f0d70a5303c3932d__MAS_RST.APRQ_10_0615.1-0e9a109a43-50a6lj0k,final,1.5337,1.3708,25,1,,622.974
1170081bc2e0a347,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_02\1170081bc2e0a347__MAS_RST.APRQ_10_0615.1-8fa978af2e-xthpmmep,final,1.549,1.44,25,1,,621.619
8d8a4f6fd2043b6c,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_02\8d8a4f6fd2043b6c__MAS_RST.APRQ_10_0615.1-fe50a9d8b8-9ipnqqyu,final,1.5842,1.4448,25,1,,623.86
a33a9317bb46e99b,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_03\a33a9317bb46e99b__MAS_RST.APRQ_10_0615.1-d973290a76-81bkunic,final,1.5871,1.4461,25,1,,624.138
b184ddb94625fe84,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_03\b184ddb94625fe84__MAS_RST.APRQ_10_0615.1-8b7e3eb59b-dyoury9e,final,1.5577,1.4037,25,1,,622.291
6036ba502c46453d,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_04\6036ba502c46453d__MAS_RST.APRQ_10_0615.1-e0437ca58f-6w7b7kpz,final,1.5631,1.4546,25,1,,623.086
df9eb5670f0c3ff7,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_04\df9eb5670f0c3ff7__MAS_RST.APRQ_10_0615.1-ad65c7ea4e-2re2ogi7,final,1.5876,1.4464,25,1,,622.697
392e1dc6163e6e81,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_05\392e1dc6163e6e81__MAS_RST.APRQ_10_0615.1-0aeb023633-ef5uxjtr,final,1.5689,1.436,25,1,,621.463
b9518e5cd73c7c17,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_05\b9518e5cd73c7c17__MAS_RST.APRQ_10_0615.1-6e9c9df4de-vusulnaf,final,1.5883,1.4485,25,1,,624.026
4efad6cab1335f3d,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_06\4efad6cab1335f3d__MAS_RST.APRQ_10_0615.1-ba3e01b970-n0q6_jis,final,1.5731,1.4419,25,1,,621.361
cb10e515a0f551b9,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_06\cb10e515a0f551b9__MAS_RST.APRQ_10_0615.1-1a0b94629a-ockhcbfc,final,1.5883,1.4483,25,1,,624.06
c2e401f53d3444ba,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_07\c2e401f53d3444ba__MAS_RST.APRQ_10_0615.1-c47743f00b-pymo9ax4,final,1.589,1.4504,25,1,,622.791
cbd6ba6e1e84d23c,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_07\cbd6ba6e1e84d23c__MAS_RST.APRQ_10_0615.1-e19c5f6c28-qe243av0,final,1.5777,1.4387,25,1,,624.022
36c5af1c28f99022,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_08\36c5af1c28f99022__MAS_RST.APRQ_10_0615.1-121bc555da-nmap3ka2,final,1.5783,1.4345,25,1,,624.116
ce944032478dc3b9,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_08\ce944032478dc3b9__MAS_RST.APRQ_10_0615.1-aab91d63d7-56dj0qr4,final,1.5402,1.4206,25,1,,618.021
67182a0439c3a368,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_09\67182a0439c3a368__MAS_RST.APRQ_10_0615.1-f20a2c7280-xrizq8t6,final,1.5471,1.4331,25,1,,618.793
c842d8139320de13,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_09\c842d8139320de13__MAS_RST.APRQ_10_0615.1-5bc7e5edff-l9l9d6qa,final,1.5783,1.4388,25,1,,624.074
1d8775dbc1add2eb,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_10\1d8775dbc1add2eb__MAS_RST.APRQ_10_0615.1-7573ea8858-0jb5_8iu,final,1.5817,1.4422,25,1,,624.028
cb159ca11772274e,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_10\cb159ca11772274e__MAS_RST.APRQ_10_0615.1-0c9f2b58d7-84otvbl6,final,1.5498,1.422,25,1,,618.094
8bd79d921bec50fe,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_11\8bd79d921bec50fe__MAS_RST.APRQ_10_0615.1-08f44e7a6d-9q2q44qd,final,1.5819,1.4374,25,1,,624.07
da95f9def0eb160f,C:\Users\USER\lpopt_work\kit_frontier\runs\pinbu_wave_minfxy_r1\paramA\master_work\worker_11\da95f9def0eb160f__MAS_RST.APRQ_10_0615.1-4e51c81e3a-rq_w3_qr,final,1.548,1.4288,25,1,,618.459
