digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max,key_source
0fd8b78fa0829d65,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_00\0fd8b78fa0829d65__MAS_RST.APRQ_11_0635.1-d94e1bc067-etvtrrt5,final,1.5627,1.4038,27,1,,637.854,name
2735788f07e5dd49,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_00\2735788f07e5dd49__MAS_RST.APRQ_11_0635.1-3e641bdf3d-2due96vi,final,1.5437,1.3883,27,1,,637.277,name
2735788f07e5dd49,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_00\2735788f07e5dd49__MAS_RST.APRQ_11_0635.1-3e641bdf3d-9j4vr00c,final,1.5437,1.3883,27,1,,637.277,name
d4a27f260e876471,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_00\d4a27f260e876471__MAS_RST.APRQ_11_0635.1-5d70eed27a-5uxg6tn6,final,1.5295,1.373,27,1,,638.639,name
2735788f07e5dd49,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_01\2735788f07e5dd49__MAS_RST.APRQ_11_0635.1-3e641bdf3d-87t69y97,final,1.5437,1.3883,27,1,,637.277,name
48f07c990475f8c1,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_01\48f07c990475f8c1__MAS_RST.APRQ_11_0635.1-7af894a31a-sgarsc4p,final,1.5505,1.3986,27,1,,637.3,name
f8661f55e9b85287,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_01\f8661f55e9b85287__MAS_RST.APRQ_11_0635.1-0092b13a3f-1ay3lf_w,final,1.564,1.4057,27,1,,636.982,name
2735788f07e5dd49,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_02\2735788f07e5dd49__MAS_RST.APRQ_11_0635.1-3e641bdf3d-1m0l2wtz,final,1.5437,1.3883,27,1,,637.277,name
d0117d21d5a12538,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_02\d0117d21d5a12538__MAS_RST.APRQ_11_0635.1-d7490158e4-2d12q60q,final,1.5649,1.4052,27,1,,638.208,name
d2cae93e386f7f0c,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_02\d2cae93e386f7f0c__MAS_RST.APRQ_11_0635.1-83d7ba7dee-xhkbn159,final,1.552,1.3998,27,1,,637.187,name
2735788f07e5dd49,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_03\2735788f07e5dd49__MAS_RST.APRQ_11_0635.1-3e641bdf3d-revgd2ph,final,1.5437,1.3883,27,1,,637.277,name
3ecfbc4a4c30b4c3,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_03\3ecfbc4a4c30b4c3__MAS_RST.APRQ_11_0635.1-9602747729-vuf0vrqg,final,1.5546,1.3991,27,1,,638.572,name
801c534cefd3942e,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_03\801c534cefd3942e__MAS_RST.APRQ_11_0635.1-be3be18eff-4zjf8tni,final,1.5654,1.4078,27,1,,638.11,name
2735788f07e5dd49,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_04\2735788f07e5dd49__MAS_RST.APRQ_11_0635.1-3e641bdf3d-tw8sjjv4,final,1.5437,1.3883,27,1,,637.277,name
a431356cb22cd64a,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_04\a431356cb22cd64a__MAS_RST.APRQ_11_0635.1-e13e2f8ef2-pdg9xtbd,final,1.5549,1.4164,27,1,,637.372,name
ba1eda8f1a20a1c6,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_04\ba1eda8f1a20a1c6__MAS_RST.APRQ_11_0635.1-9a7c48dfe0-732bx_81,final,1.5657,1.4062,27,1,,638.348,name
6e21f6c0b327d314,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_05\6e21f6c0b327d314__MAS_RST.APRQ_11_0635.1-545ad4a3ff-fj5524ks,final,1.5661,1.3941,27,1,,637.414,name
ec383cadcd8f8546,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_05\ec383cadcd8f8546__MAS_RST.APRQ_11_0635.1-4f253bacd6-8fg4sm4i,final,1.5554,1.3994,27,1,,638.053,name
5ff3b19ac4df8059,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_06\5ff3b19ac4df8059__MAS_RST.APRQ_11_0635.1-2343fdebd0-pq7zdyu2,final,1.5664,1.4152,27,1,,638.466,name
72bba06781e8be32,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_06\72bba06781e8be32__MAS_RST.APRQ_11_0635.1-ff07da12e1-445dvbqw,final,1.5559,1.3992,27,1,,637.402,name
92cb82ec2b2c93f9,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_07\92cb82ec2b2c93f9__MAS_RST.APRQ_11_0635.1-956e5202c4-uzbdhce4,final,1.5669,1.409,27,1,,638.113,name
ae5b18401d221daa,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_07\ae5b18401d221daa__MAS_RST.APRQ_11_0635.1-bba1b346b8-vkev57w_,final,1.5582,1.4055,27,1,,638.434,name
6606ff2a0f2e62c3,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_08\6606ff2a0f2e62c3__MAS_RST.APRQ_11_0635.1-449f360eb5-doe8jsum,final,1.5588,1.4031,27,1,,637.035,name
86e309d8fb717c5f,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_08\86e309d8fb717c5f__MAS_RST.APRQ_11_0635.1-853c8e3f04-g3x83lp1,final,1.5407,1.3974,27,1,,633.329,name
e7c91de4ca34494b,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_09\e7c91de4ca34494b__MAS_RST.APRQ_11_0635.1-9187476d7f-30cpduc7,final,1.5603,1.43,27,1,,635.759,name
f8b0f4a1468830a6,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_09\f8b0f4a1468830a6__MAS_RST.APRQ_11_0635.1-bd4da9f9a0-c3r2h74f,final,1.6056,1.4283,27,1,,635.183,name
1716c4ec9b59316e,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_10\1716c4ec9b59316e__MAS_RST.APRQ_11_0635.1-63feec26e7-zkv304sm,final,1.5619,1.4003,27,1,,637.648,name
7b4422b99777c48b,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_10\7b4422b99777c48b__MAS_RST.APRQ_11_0635.1-5e16d9275c-yk73wx5r,final,1.5763,1.418,27,1,,636.243,name
2ba8374ad2f65bc6,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_11\2ba8374ad2f65bc6__MAS_RST.APRQ_11_0635.1-38e38a312c-z25loan6,final,1.5625,1.3959,27,1,,637.489,name
4b5fb82b28f158e4,D:\lpopt_archive_199\runs\pinbu_wave_minfxy_r2\ga80\master_work\worker_11\4b5fb82b28f158e4__MAS_RST.APRQ_11_0635.1-ac6c73184e-r_woc4hm,final,1.6039,1.4267,27,1,,635.166,name
