digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
03c22c41d77a7f13,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\03c22c41d77a7f13__MAS_RST.APRQ_11_0705.0-6379d40443-po09sk1f,final,3.3298,2.8252,29,0,above_ceiling,729.463
,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\055d6ce0e05c823e__MAS_RST.APRQ_11_0632.5-d57a131b69-rebxevys,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\05689aa6010ac75a__MAS_RST.APRQ_12_0635.6-ca24a7c8ea-75_fmvqf,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\082e84ef2381dd7f__MAS_RST.APRQ_21_0756.5-eef1920b23-km9e82_6,nonfinite,,,0,0,,
0be968b34e6b2124,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\0be968b34e6b2124__MAS_RST.APRQ_11_0632.5-09a5748a52-cqe3h8un,final,2.2298,2.0147,26,1,,641.294
11ffb8a03e0a5203,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\11ffb8a03e0a5203__MAS_RST.APRQ_12_0789.0-03b7a07456-4k9yh1mu,final,5.6074,4.8165,31,0,above_ceiling,802.157
,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\141e5c6fd53e18ab__MAS_RST.APRQ_12_0635.6-76232e04ca-lkhrwcif,nonfinite,,,0,0,,
177a2852172a92b2,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\177a2852172a92b2__MAS_RST.APRQ_11_0576.8-a8997c8511-4cv06xku,final,2.2304,1.9986,23,1,,552.32
1eab5e2242bffb87,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\1eab5e2242bffb87__MAS_RST.APRQ_21_0654.2-b77d99bad7-4k7ig_iv,final,2.4385,2.1093,26,1,,656.747
2224fe99d9f9c967,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\2224fe99d9f9c967__MAS_RST.APRQ_21_0712.6-64b6f5fcfa-97mrd3l2,final,1.9334,1.7353,28,1,,719.471
226391c66e18f965,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\226391c66e18f965__MAS_RST.APRQ_21_0741.2-8090e23e71-gpjn477s,final,2.4092,2.0333,29,1,,737.218
25d514e7d316be51,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\25d514e7d316be51__MAS_RST.APRQ_21_0729.4-e86bd27fe3-vlppkpw9,final,2.2597,1.9833,26,1,,654.261
2ad26e3a0f26c7b8,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\2ad26e3a0f26c7b8__MAS_RST.APRQ_10_0615.1-fad576e48b-lqfnf7xt,final,2.3882,2.136,26,1,,631.412
2d4f570e54313e32,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\2d4f570e54313e32__MAS_RST.APRQ_10_0615.1-6c731008d4-m3lj_8k_,final,4.6546,4.1753,25,0,above_ceiling,606.863
2eb0cfdded31244c,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\2eb0cfdded31244c__MAS_RST.APRQ_11_0632.5-4603128b4c-w6tzah19,final,2.0233,1.8035,26,1,,643.869
2fb8aaf8ea976c90,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\2fb8aaf8ea976c90__MAS_RST.APRQ_11_0578.2-08e06eddee-mw34iwxd,final,2.141,1.9731,24,1,,594.307
33dabbdc82dc9450,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\33dabbdc82dc9450__MAS_RST.APRQ_11_0767.6-3ddebb7698-cmy20crc,final,2.11,1.8132,31,1,,781.673
373a119aacc974f1,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\373a119aacc974f1__MAS_RST.APRQ_11_0576.8-eeae1257f6-b50i8jzh,final,2.6696,2.3907,23,1,,560.279
,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\3985f965f6bc6a81__MAS_RST.APRQ_21_0741.2-3f816ad49a-ndpqlg44,nonfinite,,,0,0,,
3ed8318516854f0d,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\3ed8318516854f0d__MAS_RST.APRQ_12_0635.6-6710fb203f-swlefh_j,final,4.8255,3.9784,24,0,above_ceiling,596.794
45d1c6a63042ab41,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\45d1c6a63042ab41__MAS_RST.APRQ_21_0715.1-a227358145-t_u0rhl5,final,2.0731,1.7215,28,1,,709.187
4959e9365a270536,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\4959e9365a270536__MAS_RST.APRQ_21_0756.5-195494bedd-340_naca,final,3.5329,3.0121,30,0,above_ceiling,762.398
4a7886618a894423,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\4a7886618a894423__MAS_RST.APRQ_11_0725.8-6b5ceb5750-v7zpdync,final,2.5069,2.1681,29,1,,736.226
4bdf6ed24a580c2b,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\4bdf6ed24a580c2b__MAS_RST.APRQ_10_0615.1-3ec4a9e526-vd61zkne,final,2.6867,2.4786,25,1,,614.945
4c2f7bdc88849d12,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\4c2f7bdc88849d12__MAS_RST.APRQ_10_0615.1-f210c62da1-yz3p3d7p,final,2.0677,1.8372,25,1,,622.508
4c52acc9c6a05235,C:\Users\USER\lpopt_work\kit_frontier\runs\produce_fxyera_r1\produce_run_20260829_103744\master_work\worker_00\4c52acc9c6a05235__MAS_RST.APRQ_12_0789.0-df3958836c-8s9a8s0z,final,4.4631,3.7224,31,0,above_ceiling,802.726
