digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
5718d8551957fb9f,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_00\5718d8551957fb9f__MAS_RST.APRQ_10_0615.1-62227a4a39-gb38hzef,final,1.6782,1.5141,25,1,,625.761
8dde081a89c577b3,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_00\8dde081a89c577b3__MAS_RST.APRQ_10_0615.1-fd9de40421-6u5sroy2,final,1.7112,1.5637,25,1,,623.427
d14d1ec79b9a99bd,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_00\d14d1ec79b9a99bd__MAS_RST.APRQ_10_0615.1-bcd8277f6d-fc0qq4m7,final,1.8386,1.6053,25,1,,623.869
96e2ef820fa2a8e0,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_01\96e2ef820fa2a8e0__MAS_RST.APRQ_10_0615.1-a243423c11-w9t5xx81,final,1.6721,1.5222,25,1,,625.49
efe70f4e70f2b7d6,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_01\efe70f4e70f2b7d6__MAS_RST.APRQ_10_0615.1-24b868cce9-1n_usiu2,final,1.6908,1.49,25,1,,624.085
fb940b86e746bb11,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_01\fb940b86e746bb11__MAS_RST.APRQ_10_0615.1-41b4a7c601-asnl7yrq,final,2.0249,1.8122,25,1,,623.926
2c6d5ed53c5a1fc9,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_02\2c6d5ed53c5a1fc9__MAS_RST.APRQ_10_0615.1-3dfe98895a-cz6wxc20,final,1.7526,1.5987,25,1,,624.121
aabbae647a7bb5e5,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_02\aabbae647a7bb5e5__MAS_RST.APRQ_10_0615.1-0bb456deb8-s6iekt2z,final,1.6937,1.5453,25,1,,625.527
1a7c8eee8c7f65e7,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_03\1a7c8eee8c7f65e7__MAS_RST.APRQ_10_0615.1-529d03e582-tlvdbmon,final,1.7272,1.5054,25,1,,623.71
920a84d5f6ce37db,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_03\920a84d5f6ce37db__MAS_RST.APRQ_10_0615.1-3493797595-3ukormc8,final,1.7057,1.5554,25,1,,623.739
0d49a2d99c231af2,C:\Users\USER\lpopt_work\kit_frontier\runs\batchswap_enum_625_T6T4\master_work\worker_04\0d49a2d99c231af2__MAS_RST.APRQ_10_0615.1-bbd135405b-l6qdwuv2,final,1.7713,1.5457,25,1,,623.791
