digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_00\2d39622c90665ab1__MAS_RST.APRQ_11_0767.1-e6d22afbfc-yjgn2sgn,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_00\5c77b11f4aa52b82__MAS_RST.APRQ_11_0767.1-855e593fca-mlirj6o4,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_00\a9055ec2f45520b1__MAS_RST.APRQ_11_0705.0-251d00270f-esz5qgv8,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_00\bdb25a8e82f30ef4__MAS_RST.APRQ_11_0767.1-effe43151a-5lekfk6a,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_00\c68713657e5f5015__MAS_RST.APRQ_11_0767.1-da5616e609-jfyzi6dy,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_00\d4b92e1a52192e6f__MAS_RST.APRQ_11_0767.1-51b07ece55-08x_y4xu,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_00\efd17ef3f5d3d706__MAS_RST.APRQ_11_0767.1-60e24e65bb-vriom17d,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_00\f7a38a016c7159b0__MAS_RST.APRQ_11_0767.1-6540b708a1-kflnrbyb,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_01\1b54dccd13879a63__MAS_RST.APRQ_11_0767.1-692290cd11-_pyur1m2,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_01\2b7e8acc10c49350__MAS_RST.APRQ_11_0767.1-d40a6973b3-5_x7ganm,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_01\6707d0ad33300b4c__MAS_RST.APRQ_11_0705.0-9ac98074c3-120l5j7o,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_01\8596f8cacff63e73__MAS_RST.APRQ_11_0767.1-cecf681bb9-g970tspz,nonfinite,,,0,0,,
,C:\Users\USER\lpopt_work\kit_pc2_v4\runs\produce_run_20260720_204013\master_work\worker_01\aeaf17add3169891__MAS_RST.APRQ_11_0767.1-0334ccbd63-oxk0kpee,nonfinite,,,0,0,,
