digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
,runs\cur04d9p\master_work\worker_00\552dd32648e0b2b3__MAS_RST.APRQ_11_0692.6-7c2cc6ae46-fqr0tzcu,nonfinite,,,0,0,,
,runs\cur04d9p\master_work\worker_01\18da8e0be5f45cd6__MAS_RST.APRQ_11_0688.2-39df4eedf0-pteg1e12,nonfinite,,,0,0,,
,runs\cur04d9p\master_work\worker_11\40662513bee2124a__MAS_RST.APRQ_11_0686.4-7d30c7185f-0ynq_f0b,nonfinite,,,0,0,,
,runs\cur11fcm\master_work\worker_09\557bbae663924777__MAS_RST.APRQ_11_0615.8-414c778c2d-_6jwkb5g,nonfinite,,,0,0,,
,runs\cur11fcp\master_work\worker_02\c70763602bba78ad__MAS_RST.APRQ_10_0635.8-f848ca5150-zyyvxvx4,nonfinite,,,0,0,,
,runs\cur11fcp\master_work\worker_05\d8f5d84ff6a48ac6__MAS_RST.APRQ_11_0615.8-07d05dc74e-nu82kjil,nonfinite,,,0,0,,
,runs\cur11fcp\master_work\worker_11\a8689e5795fe0b40__MAS_RST.APRQ_11_0618.3-6456d3e12f-3n1703dy,nonfinite,,,0,0,,
,runs\cur11fcp\master_work\worker_13\c582b226df27fd46__MAS_RST.APRQ_11_0615.8-063fe7058b-ia8frg32,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_00\815c93789f5efa53__MAS_RST.APRQ_11_0615.8-a248e2f07d-1awky4d3,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_00\82559d9f4ba05af6__MAS_RST.APRQ_11_0615.8-88abcc088d-_ijrgq8n,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_01\1387370909a5d507__MAS_RST.APRQ_11_0615.8-820a97e4e8-fbgpeffw,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_01\2323d13d9cb8954a__MAS_RST.APRQ_11_0615.8-822681eb52-c6_et4w4,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_01\7e09985a7fada291__MAS_RST.APRQ_11_0618.3-a614e248b8-5p_zkicw,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_01\e1b24fb5b34428bc__MAS_RST.APRQ_11_0615.8-dfd7a2ef82-i976znec,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_02\0ac61a8b099862ae__MAS_RST.APRQ_11_0615.8-f088504999-9cvqgk1x,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_02\21da6ed9be84d57a__MAS_RST.APRQ_11_0615.8-5f0867e480-xfqjpgzo,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_02\2e9d2e5ad542d772__MAS_RST.APRQ_11_0615.8-2ed7a626ba-br_k7roo,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_02\49d679a24609bd95__MAS_RST.APRQ_11_0618.3-81d4f68728-vrcz4wfs,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_02\5320dbeddcfae872__MAS_RST.APRQ_11_0615.8-1dd6aa2b7a-o6wd3hcd,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_02\b9c7fcc45f9e55f8__MAS_RST.APRQ_11_0618.3-77b62cb4ff-pxzv3fo6,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_03\5823d1d3100d35c1__MAS_RST.APRQ_11_0618.3-8cdc9907c4-2m1c3dpc,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_03\9f1021c194bf0d15__MAS_RST.APRQ_11_0615.8-2584d24724-h7wnazdo,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_04\8adcfd5d65ae7455__MAS_RST.APRQ_11_0618.3-11a9e8ea00-734efpe4,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_04\ce6f0ee3aa9f0a99__MAS_RST.APRQ_11_0615.8-8dd4eddf29-gdvtoe4l,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_05\3a00d4c5a0eea3a2__MAS_RST.APRQ_11_0615.8-95a3b62f8a-kqn2_dsz,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_05\c910ea91245aa3d4__MAS_RST.APRQ_11_0615.8-1854515960-zmv_z5j0,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_05\dfafab6b0f32c7dd__MAS_RST.APRQ_11_0615.8-c5421aa157-04ly50ad,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_05\e6f28be4aabf0c15__MAS_RST.APRQ_11_0618.3-e8f8b6de2f-q07_mfw6,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_06\016f7fc9cb1f2000__MAS_RST.APRQ_11_0615.8-caa07e7d87-qob32iny,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_06\2cddbbb2ea03edb2__MAS_RST.APRQ_11_0618.3-6c7fa883c0-hnalmme_,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_06\a01efba0bb921f37__MAS_RST.APRQ_10_0635.8-4aa358f126-mf7ipa0p,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_06\a5637781b1cd4a01__MAS_RST.APRQ_10_0635.8-26166a5ce4-n74t65f_,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_06\da4d41ac63bd81ef__MAS_RST.APRQ_11_0615.8-9d83f7a7ac-i56ja4qa,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_07\20fb4b75bf4924a9__MAS_RST.APRQ_11_0618.3-73498072ee-o81abcv0,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_07\5bacc9f804bb1b91__MAS_RST.APRQ_11_0615.8-c293d0b321-b63o8rf8,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_08\002bc939bb75bd50__MAS_RST.APRQ_11_0615.8-4a0086fcc2-de38pviq,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_08\872e4b0a3227478a__MAS_RST.APRQ_11_0615.8-80f9454efb-arvz58fs,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_08\97a4e09866f2eb32__MAS_RST.APRQ_11_0615.8-cfa2ba59fe-hotw26ee,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_09\0b65e608252fda59__MAS_RST.APRQ_11_0615.8-0018672445-tf_q02sk,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_09\18ee46c88eb7f81d__MAS_RST.APRQ_11_0618.3-5ad4629977-u4nkdlk0,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_09\d6f16aed1d5c129c__MAS_RST.APRQ_11_0615.8-f56ca8a5b3-3fc3_vh3,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_09\ee1f8dd1ed2b78f6__MAS_RST.APRQ_11_0615.8-a705d6ebf9-o4x9hae3,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_10\07a5bd56ea65746b__MAS_RST.APRQ_11_0615.8-f75fe1d10a-w9flwa8p,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_10\5c8a763676dd769f__MAS_RST.APRQ_11_0615.8-7af8b0cda7-qsddm6yo,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_10\b03bfcfe588867eb__MAS_RST.APRQ_11_0615.8-308cdb9a89-ve_z5f_z,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_11\7dd2c9eeea1f4685__MAS_RST.APRQ_11_0615.8-1f81c57731-9dp8fzdo,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_11\884b94ad3432899e__MAS_RST.APRQ_10_0635.8-2d62038e85-j9m288e4,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_11\bfdf3680a11882f1__MAS_RST.APRQ_11_0615.8-531ec7790a-1af5kavm,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_12\189d5c5a01d2d4c3__MAS_RST.APRQ_11_0615.8-8d75928c01-kt_zvwt2,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_12\290706a6f3e730c6__MAS_RST.APRQ_11_0618.3-243db32931-gnz0g6p2,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_12\f4d00c27d86a2a91__MAS_RST.APRQ_11_0615.8-7d3008d0a7-bzpfce9t,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_13\50e3bfccd7f69529__MAS_RST.APRQ_10_0635.8-cae15b3795-_wur70sn,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_13\67567ea4948e33b3__MAS_RST.APRQ_10_0635.8-dd72d9bde7-i3o29vik,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_13\fbe82d4dc8d03354__MAS_RST.APRQ_11_0615.8-f8192191f7-ztrd_nck,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_13\fe971a07d70b1851__MAS_RST.APRQ_11_0618.3-443e5e117e-upilw970,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_14\2791813d89123f2a__MAS_RST.APRQ_10_0635.8-f41df0c523-2d0ce_6z,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_14\48a4b612759bac18__MAS_RST.APRQ_11_0618.3-c0e84fcce6-zg878p3x,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_14\6cfeeb1f5a247535__MAS_RST.APRQ_10_0635.8-3d1d98172a-_zicyqbg,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_14\a859db24fd943f13__MAS_RST.APRQ_11_0615.8-6bc4e694db-p7kbuci_,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_15\9c03afa7d9dbca40__MAS_RST.APRQ_11_0615.8-34c9d9011c-qcvhpwvb,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_16\b97822142b43b7de__MAS_RST.APRQ_11_0615.8-c19cff9b72-fptiubnf,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_16\e8ddc1d1a9baf023__MAS_RST.APRQ_11_0615.8-b5687cabb8-wq_xnb5y,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_18\13bad12f823a5b33__MAS_RST.APRQ_10_0635.8-52bd99de61-w6x23kxc,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_18\4e8d2d6957797113__MAS_RST.APRQ_11_0618.3-65d4a373fb-mu1tky8q,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_18\9a76702c56762426__MAS_RST.APRQ_10_0635.8-87a152292a-n39qip7k,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_18\a58c10e8eedd61b6__MAS_RST.APRQ_10_0635.8-d92b148fb6-_3_y2w5i,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_18\d639c3f5023477d7__MAS_RST.APRQ_11_0618.3-389387b6c0-airagpp7,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_18\db2495bd1ed88231__MAS_RST.APRQ_10_0635.8-e05845e8d5-2173y_88,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_19\1cb7704ff164d7e6__MAS_RST.APRQ_11_0618.3-bb1d242e50-vbzoi0z8,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_19\a4fc00c9694db00b__MAS_RST.APRQ_10_0635.8-2b6fb66b09-7bysai7j,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_19\bd24540b0d14844d__MAS_RST.APRQ_11_0615.8-ca6e28c040-gj4ofcse,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_19\bec2302f42a0fb2d__MAS_RST.APRQ_10_0635.8-8fc5b74dd3-jts0i6qd,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_20\170fd52ad0478e8c__MAS_RST.APRQ_11_0615.8-d3c6ee6916-z5z5k6ft,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_20\60b4576be110f96a__MAS_RST.APRQ_11_0615.8-00f7b82d70-1f6woe5u,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_20\74629b0f00c63be3__MAS_RST.APRQ_11_0618.3-f1d1ddcc1d-slxbjp88,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_20\a93d065e0574ed24__MAS_RST.APRQ_10_0635.8-43216145d9-ot5grc3l,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_21\2583d25a6a3a24bb__MAS_RST.APRQ_11_0615.8-444f040d4b-c_mt8xqv,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_21\71a1ce5a00546fbd__MAS_RST.APRQ_11_0618.3-39df8b5fd6-lvmfmi_o,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_21\aa38019bd701907d__MAS_RST.APRQ_11_0615.8-16e8838fed-1v4v1aou,nonfinite,,,0,0,,
,runs\cur11fcq\master_work\worker_22\4e33364b448b5f39__MAS_RST.APRQ_10_0635.8-a2228c121e-dsm0hzsh,nonfinite,,,0,0,,
,runs\cur20d5p\master_work\worker_12\ff9e953a443e06d1__MAS_RST.APRQ_12_0777.1-bef5c1daab-893ch456,nonfinite,,,0,0,,
,runs\cur20d5p\master_work\worker_15\5cb9906e775eb553__MAS_RST.APRQ_12_0777.1-29564e8278-3y5_v5dv,nonfinite,,,0,0,,
,runs\cur276cp\master_work\worker_00\3cbc57fb4c5074c3__MAS_RST.APRQ_11_0767.1-a7db29aee7-uxm5zerr,nonfinite,,,0,0,,
,runs\cur276cp\master_work\worker_03\07a42742741fb3a5__MAS_RST.APRQ_11_0767.1-3988eb50e2-m8b8h2r1,nonfinite,,,0,0,,
,runs\cur276cp\master_work\worker_08\5829ff29c2ef3bea__MAS_RST.APRQ_11_0767.1-fa01942bc4-sam6bfiv,nonfinite,,,0,0,,
,runs\cur276cp\master_work\worker_09\eb1be0a66b57af47__MAS_RST.APRQ_11_0767.1-7b0544ca49-jjnwohsy,nonfinite,,,0,0,,
,runs\cur3716p\master_work\worker_02\b187fc4cec0beb69__MAS_RST.APRQ_11_0767.1-77f38ea5f0-g8vyu4op,nonfinite,,,0,0,,
,runs\cur39d4p\master_work\worker_11\e0c601aa3438b565__MAS_RST.APRQ_11_0767.1-01fa9a8030-g8htm3tc,nonfinite,,,0,0,,
,runs\cur39d4p\master_work\worker_14\cf8dfcb14030f7c5__MAS_RST.APRQ_11_0767.1-e33bcabd91-xmk6zgy_,nonfinite,,,0,0,,
,runs\cur39d4p\master_work\worker_15\4e8bf836c469adc0__MAS_RST.APRQ_11_0767.1-8ecd8c88ce-y6o_2z_5,nonfinite,,,0,0,,
,runs\cur3a89m\master_work\worker_03\c84744d7a9a4922a__MAS_RST.APRQ_11_0688.2-44b952f782-f7rsr00s,nonfinite,,,0,0,,
,runs\cur3a89m\master_work\worker_04\668a766030ffa271__MAS_RST.APRQ_11_0688.2-10c825dc66-818h_jv3,nonfinite,,,0,0,,
,runs\cur3a89m\master_work\worker_06\faba15601f62bfc0__MAS_RST.APRQ_11_0688.2-13c005152e-06me7uq0,nonfinite,,,0,0,,
,runs\cur3a89m\master_work\worker_07\69cd7f17729e0a54__MAS_RST.APRQ_11_0686.4-6f21495c5c-1m_e4zvu,nonfinite,,,0,0,,
,runs\cur3a89p\master_work\worker_02\c9095294115f232c__MAS_RST.APRQ_11_0686.4-b89731afd5-yv32pi8v,nonfinite,,,0,0,,
,runs\cur3a89p\master_work\worker_07\5e29d207e820fdb1__MAS_RST.APRQ_11_0688.2-e5e31f2eb5-hc3nhxs0,nonfinite,,,0,0,,
