digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max,key_source
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0615.8-00902e9b34-md8f7448_4d042c69,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0615.8-1b5cb731d8-o8y29059_cf03cfda,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0615.8-1f43cd8eb0-wz5r3e27_7944ea41,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0615.8-2685ee67c9-jskqjedb_bed9200f,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0615.8-704d525c2b-71n90257_424747cd,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0615.8-a7bf8115c0-t6klasrn_7f505009,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0615.8-b7613a69ea-oucld8zf_29297f03,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0615.8-e6d3e730eb-i7gf35jr_cd3113d9,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0615.8-e9e4764203-93dymw3s_df92ac9e,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0618.3-100b0681b4-w4_8nisl_9fd5174a,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0618.3-5aaf8015e8-hrx0blf1_a91d1621,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0618.3-61f23d765f-sqbnu243_32b022db,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0618.3-7d2868d15a-x_2nph2u_d583b009,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0618.3-8914bcfc4c-my1macx0_43520a29,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0618.3-aaaef72697-mh1vz3un_410653f6,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0618.3-fd2ba4db3a-lsaed4y5_e22eb05e,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0633.2-24f16205eb-md4jdoqq_9f72e055,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0633.2-64e99b7c84-rx45c0v0_1230ee48,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0633.2-ee5112deef-c76banw2_a579f4ab,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-1a339dd8c0-aawzg_vy_4dfb0638,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-20acb8c838-94v5ffl6_e3b763ed,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-38a3fb2629-rjzbz8xe_f662739e,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-6693cef73d-xps8dgxs_9ce83082,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-89deb84e99-hxut2347_8bf74ae1,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-a1c4cb29cc-ooqoqoc2_b36a9b48,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-be55c1f081-p551gf12_86e3e615,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-c78b3419bd-1v2kqhpp_83cd9565,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-c8351a93af-t4kmttt0_d1d367d1,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-d1f9ece57a-ry2x5by3_df59f19a,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-d36230a59e-465p5sj2_d13b6fd5,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0635.1-d432a2c5a3-385x9nj4_daf64e56,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0637.5-493d40920e-5ya9bifj_dc82556b,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0637.5-803db1215b-gufmen04_f5842dc8,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0637.5-8481722ada-zyu7p2_k_cd9836a6,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0637.5-dbe9f1f6a7-7q777um9_71e997a6,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\local_5RL\data_campaigns_fuelcost_round1~_RST.APRQ_11_0652.8-244622568c-01ozqy1s_b08f3183,no_mas_sum,,,0,0,,,
