digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-154042_random_s12345_cases_s01_019_8351f6f8\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-154042_random_s12345_cases_s02_004_4b9a0f79\cy08,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-154042_random_s12345_cases_s04_009_0ecc75a5\cy09,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-154042_random_s12345_cases_s05_011_11941cd9\cy11,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-154042_random_s12345_cases_s13_009_7dead025\cy03,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-154042_random_s12345_cases_s14_000_03205757\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-154042_random_s12345_cases_s16_018_367175e9\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-194227_random_s12345_cases_s01_008_c5ca814a\cy09,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-194227_random_s12345_cases_s16_008_3017abc5\cy09,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-194227_random_s12345_cases_s18_008_633c641e\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-194227_random_s12345_cases_s18_009_67438554\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-194227_random_s12345_cases_s18_010_1c0c80ef\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-194227_random_s12345_cases_s18_011_31f1493b\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-194227_random_s12345_cases_s18_012_1977abd0\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-194227_random_s12345_cases_s18_013_0660168b\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws\runs_20260614-194227_random_s12345_cases_s18_015_496c1071\cy02,no_mas_sum,,,0,0,,
