digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws_rev02\runs_20260614-223127_random_s12345_cases_s01_008_4722cdbc\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws_rev02\runs_20260614-223127_random_s12345_cases_s01_009_8fd60370\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws_rev02\runs_20260614-223127_random_s12345_cases_s01_010_3591e103\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws_rev02\runs_20260614-223127_random_s12345_cases_s01_011_d569439e\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws_rev02\runs_20260614-223127_random_s12345_cases_s01_012_b9e4d0c4\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws_rev02\runs_20260614-223127_random_s12345_cases_s01_013_4469febe\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws_rev02\runs_20260614-223127_random_s12345_cases_s01_014_1081cb14\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws_rev02\runs_20260614-223127_random_s12345_cases_s01_015_81dec67c\cy02,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws_rev02\runs_20260614-224503_random_s12345_cases_s01_008_1e09533e\cy04,no_mas_sum,,,0,0,,
,c:\Users\USER\Desktop\CT&RPL\2_Project\KNF_LEU+ 시범연료봉 장전 인허가 과제\2026\2_계산\2_LP\LOW_Fr_MASTER_result\local_eqlp_ws_rev02\runs_20260614-225226_random_s859296592_cases_warmcheck_b6e0e91d\cy02,no_mas_sum,,,0,0,,
