digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max,key_source
,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy01,superseded,,,0,0,,,
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy02,superseded,,,0,0,,,deck
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy03,superseded,,,0,0,,,deck
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy04,superseded,,,0,0,,,deck
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy05,superseded,,,0,0,,,deck
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy06,superseded,,,0,0,,,deck
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy07,superseded,,,0,0,,,deck
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy08,superseded,,,0,0,,,deck
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy09,superseded,,,0,0,,,deck
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy10,superseded,,,0,0,,,deck
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy11,superseded,,,0,0,,,deck
4dfbe7e0ea7fc733,..\2_LP\LOW_Fr_MASTER_result\regen\00ecd022ec21\cy12,regen:cy12/12,1.6307,1.4437,25,1,,618.074,deck
,..\2_LP\LOW_Fr_MASTER_result\regen\011d71e95aaf\cy01,superseded,,,0,0,,,
a01820d013841778,..\2_LP\LOW_Fr_MASTER_result\regen\011d71e95aaf\cy02,superseded,,,0,0,,,deck
a01820d013841778,..\2_LP\LOW_Fr_MASTER_result\regen\011d71e95aaf\cy03,superseded,,,0,0,,,deck
