digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max,key_source
4f090ab7e767707e,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-062d31ab31-e6n8_4ry_35763943,final,2.2235,1.9531,27,1,,636.184,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-107d98326a-7em1qc40_22c2a2b8,no_mas_sum,,,0,0,,,
beea3beaa68a84f0,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-1afb8ae3cc-5285gr45_1c4dfacb,final,1.9881,1.7731,26,1,,628.549,deck
0add0e0c4f28a2fa,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-22154fc2ea-xp6pxb4m_ed535e73,final,2.0686,1.8406,26,1,,611.951,deck
ff41273b8cd4a683,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-45abfa4e1f-j7_7lxi3_67988057,final,1.895,1.6277,27,1,,642.546,deck
531ac0fa33d795eb,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-46846cece0-ypaqsxxi_0198c6b0,final,2.2139,1.9694,26,1,,629.799,deck
9623647ef778a117,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-5ab5ee7298-3_fw2b3a_902048f4,final,1.9828,1.7068,27,1,,631.501,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-6c20f01b8d-b2v6has9_9ba68756,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-8dfce17957-3v_gxcaa_3beee8c5,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-96321642f3-j67na7a5_94faf43b,no_mas_sum,,,0,0,,,
ade0d476a74c6b6e,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-c95f3dd5b8-4nhc5lo3_f1761b6c,final,2.0643,1.8297,26,1,,626.564,deck
16de88887869e992,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-d07e4d344f-t_zae_70_c0ffd750,final,3.5989,2.8887,26,0,above_ceiling,626.252,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-dd8c1abe0b-kuzd11a1_ea9069b5,no_mas_sum,,,0,0,,,
933d11c1b2303724,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-e430daefb3-m0muesnc_fbdc6f83,final,3.7889,3.1828,26,0,above_ceiling,620.071,deck
6f161ae288f733c0,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-e57252f3c7-2r4_d9qn_f0279fbc,final,2.332,1.9928,26,1,,626.286,deck
c85b280a3d2edca3,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-e83130dc7b-6uwtani0_b7fe092a,final,2.1575,1.8503,26,1,,614.063,deck
257035ae9495e49a,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0630.4-f6598e687e-fz4y5l0e_effcfb51,final,2.2364,1.9586,26,1,,624.034,deck
6ef19724880f6d85,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0635.1-0ca5842755-pspv0elo_7efeb704,final,2.5649,2.2593,27,1,,640.529,deck
3e14fbb4152cc0fa,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0635.1-1073be2522-lsr_e_08_1d89f367,final,2.0706,1.8274,26,1,,627.36,deck
05daeaafbab25fbe,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0635.1-3c233923ef-_sduttem_457d0eff,final,3.4783,2.9039,26,0,above_ceiling,617.937,deck
