move_class,fresh_radial_dir,burn_state,n,n_F_xy,mean_F_xy,median_F_xy,improving_F_xy,n_F_r,mean_F_r,median_F_r,improving_F_r,n_node_peak,mean_node_peak,median_node_peak,improving_node_peak,n_cyclen,mean_cyclen,median_cyclen,improving_cyclen
batch_flip,inward,fresh,21,19,-0.013531578947368415,-0.015488888888888788,0.7894736842105263,21,-0.012052380952380912,-0.018000000000000037,0.8095238095238095,21,-0.008408572849982884,-0.015740072748649313,0.6666666666666666,21,-1.8134809523809539,-1.9020999999999275,0.0
batch_flip,neutral,fresh,60,60,0.001349999999999992,-0.0035200000000000786,0.5166666666666667,60,0.0024449999999999776,0.0015499999999999733,0.4666666666666667,60,-0.007099997997283933,-0.004305002067391027,0.5833333333333334,60,-0.08433333333333053,-0.31590000000005036,0.35
batch_flip,outward,fresh,19,19,0.003210526315789532,-0.0158299999999999,0.631578947368421,19,-0.0014789473684210606,-0.02140000000000002,0.7368421052631579,19,0.0003884318692868208,-0.014039909799430494,0.7894736842105263,19,1.1625842105263213,1.7409000000001016,0.8421052631578947
batch_swap,inward,fresh,38,36,0.055422746913580276,0.06414055555555553,0.3333333333333333,38,0.03156315789473683,0.03020000000000003,0.34210526315789475,38,0.01283737373948843,-0.007159975135399715,0.5526315789473685,38,-0.20713157894735815,-0.09890000000002033,0.34210526315789475
batch_swap,neutral,fresh,120,120,0.04904666666666667,0.04193250000000004,0.2916666666666667,120,0.06700249999999998,0.07349999999999993,0.24166666666666667,120,0.06356582740942636,0.07659500240320614,0.20833333333333334,120,-0.28376666666666217,-0.2377250000000231,0.24166666666666667
batch_swap,outward,fresh,40,38,0.019165789473684212,0.009340555555555567,0.4473684210526316,40,0.01572000000000002,0.010400000000000166,0.4,40,0.008870002627372742,0.006609940539210813,0.425,40,0.026375000000007275,-0.08990000000000578,0.35
fresh_relocate,inward,once,156,152,0.12039026315789475,0.10852305555555564,0.13815789473684212,156,0.08860320512820513,0.07294500000000004,0.1282051282051282,156,0.02743051159103757,0.010107466606328714,0.38461538461538464,156,-0.3149769230769169,-0.2947999999999865,0.34615384615384615
fresh_relocate,inward,twice_plus,39,39,0.3111633333333333,0.4105750000000001,0.15384615384615385,39,0.23629743589743585,0.3125999999999998,0.1282051282051282,39,0.11457962072882033,0.13662000893309012,0.1794871794871795,39,-0.06307948717948175,0.2112000000000421,0.5641025641025641
fresh_relocate,outward,once,157,153,0.08996267973856209,0.05747500000000013,0.17647058823529413,157,0.06243312101910828,0.04150000000000007,0.21019108280254778,157,0.016210313739653648,-0.004939949498478435,0.554140127388535,157,-0.7213777070063643,-0.7135499999999695,0.16560509554140126
fresh_relocate,outward,twice_plus,40,40,0.162155,0.18422500000000006,0.125,40,0.11897499999999998,0.1395,0.1,40,0.06529501080513,0.05147000548085623,0.1,40,-4.255749999999994,-4.5398999999999265,0.075
rewire_swap,neutral,once,100,98,0.0,-0.0058675000000001365,0.7142857142857143,100,-3.469446951953614e-20,-0.007359999999999978,0.74,100,0.0,-0.008204993603822973,0.73,100,-8.326672684688674e-19,-0.04245000000005916,0.34
