move_class,fresh_radial_dir,burn_state,n,n_F_xy,mean_F_xy,median_F_xy,improving_F_xy,n_F_r,mean_F_r,median_F_r,improving_F_r,n_node_peak,mean_node_peak,median_node_peak,improving_node_peak,n_cyclen,mean_cyclen,median_cyclen,improving_cyclen
batch_flip,inward,fresh,21,19,0.012326315789473682,0.011400000000000077,0.21052631578947367,21,0.008700000000000036,0.007200000000000095,0.23809523809523808,21,0.008219037736877429,0.007299900047912589,0.2857142857142857,21,-1.7514285714285702,-1.836999999999989,0.0
batch_flip,neutral,fresh,60,60,0.008603333333333336,0.007849999999999913,0.4166666666666667,60,0.012548333333333325,0.014449999999999963,0.25,60,0.006030001246411532,0.011199951154473808,0.3,60,-0.008916666666666136,-0.16900000000003956,0.35
batch_flip,outward,fresh,19,19,0.029068421052631625,0.009100000000000108,0.42105263157894735,19,0.019794736842105257,-0.0028999999999999027,0.5263157894736842,19,0.017715792919188164,-0.0022000074178833984,0.5263157894736842,19,1.2266315789473765,1.7840000000001055,0.8421052631578947
batch_swap,inward,fresh,38,36,0.0812777777777778,0.09004999999999996,0.16666666666666666,38,0.052563157894736826,0.05120000000000002,0.13157894736842105,38,0.02979736579629323,0.013499975217413418,0.2894736842105263,38,-0.14413157894735582,-0.024999999999977263,0.42105263157894735
batch_swap,neutral,fresh,120,120,0.05630000000000001,0.04735,0.13333333333333333,120,0.07710583333333335,0.08534999999999993,0.15,120,0.07669582665312184,0.08660000561948855,0.11666666666666667,120,-0.2083499999999977,-0.15350000000000819,0.35833333333333334
batch_swap,outward,fresh,40,38,0.045023684210526306,0.035250000000000004,0.13157894736842105,40,0.036720000000000017,0.034500000000000086,0.175,40,0.025829994684177543,0.026049971625878854,0.125,40,0.08937500000000967,-0.03049999999996089,0.425
fresh_relocate,inward,once,156,152,0.1363901315789474,0.122,0.09210526315789473,156,0.10351089743589743,0.08814999999999995,0.05128205128205128,156,0.041539099741443174,0.02264994387171626,0.1858974358974359,156,-0.2519999999999935,-0.27049999999997,0.38461538461538464
fresh_relocate,inward,twice_plus,39,39,0.31866410256410255,0.4144000000000001,0.1282051282051282,39,0.24779230769230765,0.32199999999999984,0.10256410256410256,39,0.13046922439381542,0.15240001677698967,0.07692307692307693,39,0.03333333333333508,0.2340000000000373,0.5897435897435898
fresh_relocate,outward,once,157,153,0.10602091503267976,0.07220000000000004,0.06535947712418301,157,0.0774127388535032,0.051899999999999835,0.08917197452229299,157,0.030381522366334634,0.01130008700991203,0.28662420382165604,157,-0.658273885350313,-0.6689999999999827,0.16560509554140126
fresh_relocate,outward,twice_plus,40,40,0.16975250000000003,0.18805000000000005,0.075,40,0.130525,0.14890000000000003,0.025,40,0.08118749857068024,0.06725001332475578,0.075,40,-4.157399999999998,-4.365999999999929,0.1
rewire_swap,neutral,once,100,98,0.014467346938775515,0.0018500000000000183,0.29591836734693877,100,0.014462000000000006,0.0021499999999999853,0.34,100,0.0146619963689392,0.0026500225313109693,0.31,100,0.0704499999999996,0.0009999999999763531,0.5
