cell,move_class,fresh_radial_dir,n,n_F_xy,mean_F_xy,median_F_xy,improving_F_xy,n_F_r,mean_F_r,median_F_r,improving_F_r,n_node_peak,mean_node_peak,median_node_peak,improving_node_peak,n_cyclen,mean_cyclen,median_cyclen,improving_cyclen
E1E2_f109,batch_flip,neutral,20,20,-0.0065400000000000345,-0.018174999999999976,0.75,20,0.0005699999999999693,-0.0188500000000001,0.65,20,-0.02190999984741211,-0.03077999351291205,0.8,20,0.5722500000000083,0.5922000000000139,1.0
E1E2_f109,batch_swap,neutral,40,40,0.07116250000000002,0.06932499999999994,0.05,40,0.12176749999999999,0.11844999999999999,0.0,40,0.11891998946666718,0.11951997279140325,0.0,40,-0.714599999999993,-0.6342999999999733,0.0
E1E2_f109,fresh_relocate,inward,40,40,0.2847225,0.30882499999999996,0.125,40,0.22937249999999998,0.23989999999999995,0.0,40,0.08327499330043793,0.070870006046994,0.225,40,-0.29532499999998835,-0.30080000000001517,0.225
E1E2_f109,fresh_relocate,outward,40,40,0.156445,0.18422500000000006,0.075,40,0.12326749999999997,0.13450000000000012,0.05,40,0.05829748511314392,0.03956993819187937,0.3,40,-3.456900000000002,-2.4903000000000244,0.1
E1E2_f109,rewire_swap,neutral,20,20,1.517883041479706e-19,-0.001525000000000032,0.6,20,3.4694469519536144e-19,-0.005400000000000026,0.8,20,0.0,-0.011830008047415186,0.65,20,-2.0816681711721684e-18,-0.0333000000000311,0.3
E1E2_f121,batch_flip,neutral,20,20,0.015944999999999987,0.020384999999999986,0.15,20,0.013224999999999976,0.011590000000000045,0.05,20,0.007770001888275149,0.009345048642354182,0.1,20,-0.3887499999999989,-0.4010499999999695,0.05
E1E2_f121,batch_swap,neutral,40,40,0.06891749999999999,0.055535,0.2,40,0.06365250000000003,0.036239999999999994,0.25,40,0.050224986672401425,0.057295018451619203,0.15,40,-0.06287499999999965,-0.18805000000000405,0.35
E1E2_f121,fresh_relocate,inward,40,40,0.13082249999999998,0.13128499999999999,0.025,40,0.09848249999999999,0.07683999999999996,0.0,40,0.04120499193668366,0.014495068777656928,0.35,40,-0.41124999999999545,-0.3760499999999922,0.25
E1E2_f121,fresh_relocate,outward,40,40,0.06314249999999998,0.05508499999999994,0.05,40,0.03112999999999999,0.02024000000000009,0.15,40,0.0034249901771545403,-0.0027049839796916665,0.525,40,-0.6937499999999943,-0.5625500000000159,0.1
E1E2_f121,rewire_swap,neutral,20,20,0.0,-0.005665000000000031,0.85,20,0.0,-0.006760000000000044,0.95,20,1.3444106938820255e-18,-0.006905025270432697,0.95,20,0.0,-0.014550000000014052,0.45
HGD569_f125,batch_flip,inward,10,10,-0.016270000000000007,-0.01627999999999996,0.9,10,-0.019810000000000015,-0.019649999999999966,1.0,10,-0.02386001349196839,-0.019489979723722583,1.0,10,-1.5152000000000214,-1.3989000000000318,0.0
HGD569_f125,batch_flip,outward,10,10,-0.028539999999999965,-0.02617999999999998,0.9,10,-0.03133999999999999,-0.02914999999999992,0.9,10,-0.0263299941946466,-0.026440000523716433,1.0,10,0.8817000000000178,1.3555999999999755,0.8
HGD569_f125,batch_swap,inward,19,19,0.015338421052631578,0.013269999999999782,0.47368421052631576,19,0.0029315789473683693,0.0054999999999998175,0.47368421052631576,19,-0.00307158231597043,-0.009140050403922639,0.5789473684210527,19,-0.4681631578947343,-0.22190000000001078,0.10526315789473684
HGD569_f125,batch_swap,outward,20,20,-0.006190000000000029,-0.013030000000000097,0.7,20,-0.011319999999999997,-0.01450000000000009,0.65,20,-0.01149499416351318,-0.017889952641288353,0.7,20,0.07505000000001019,-0.10590000000002533,0.3
