cell,response,delta_col,n,n_parents,offset
E1E2_f109,F_xy,d_f_xy,20,20,0.0038250000000000007
E1E2_f109,F_r,d_f_r,20,20,0.00940000000000003
E1E2_f109,node_peak,d_node_peak,20,20,0.015780007843899546
E1E2_f109,cyclen,d_cyclen,20,20,0.02279999999999518
E1E2_f121,F_xy,d_f_xy,20,20,0.006565000000000043
E1E2_f121,F_r,d_f_r,20,20,0.007209999999999994
E1E2_f121,node_peak,d_node_peak,20,20,0.007605022199985945
E1E2_f121,cyclen,d_cyclen,20,20,0.02955000000000041
HGD569_f125,F_xy,d_f_xy,20,20,0.024930000000000008
HGD569_f125,F_r,d_f_r,20,20,0.026200000000000022
HGD569_f125,node_peak,d_node_peak,20,20,0.023940002925639036
HGD569_f125,cyclen,d_cyclen,20,20,0.08290000000000078
N1N2_f113,F_xy,d_f_xy,20,20,0.011369999999999991
N1N2_f113,F_r,d_f_r,20,20,0.013700000000000013
N1N2_f113,node_peak,d_node_peak,20,20,0.01600496768720091
N1N2_f113,cyclen,d_cyclen,20,20,0.17389999999999758
T6T4_f121,F_xy,d_f_xy,18,18,0.026888888888888865
T6T4_f121,F_r,d_f_r,20,20,0.01579999999999997
T6T4_f121,node_peak,d_node_peak,20,20,0.009979981187970565
T6T4_f121,cyclen,d_cyclen,20,20,0.043100000000004
