cell,move_class,fresh_radial_dir,response,n_parents,mean_of_parent_means,sign_pos,sign_n,sign_p
E1E2_f109,batch_flip,neutral,F_xy,20,-0.0027150000000000342,5,20,0.04138946533203125
E1E2_f109,batch_flip,neutral,F_r,20,0.009970000000000001,7,20,0.26317596435546875
E1E2_f109,batch_flip,neutral,node_peak,20,-0.006129992003512563,6,20,0.11531829833984375
E1E2_f109,batch_flip,neutral,cyclen,20,0.5950500000000034,20,20,1.9073486328125e-06
E1E2_f109,batch_swap,neutral,F_xy,20,0.07498750000000001,20,20,1.9073486328125e-06
E1E2_f109,batch_swap,neutral,F_r,20,0.13116750000000002,20,20,1.9073486328125e-06
E1E2_f109,batch_swap,neutral,node_peak,20,0.13469999731056675,20,20,1.9073486328125e-06
E1E2_f109,batch_swap,neutral,cyclen,20,-0.6917999999999978,0,20,1.9073486328125e-06
E1E2_f109,fresh_relocate,inward,F_xy,20,0.28854749999999996,20,20,1.9073486328125e-06
E1E2_f109,fresh_relocate,inward,F_r,20,0.2387725,20,20,1.9073486328125e-06
E1E2_f109,fresh_relocate,inward,node_peak,20,0.09905500114433748,20,20,1.9073486328125e-06
E1E2_f109,fresh_relocate,inward,cyclen,20,-0.27252499999999313,3,20,0.0025768280029296875
E1E2_f109,fresh_relocate,outward,F_xy,20,0.16026999999999997,20,20,1.9073486328125e-06
E1E2_f109,fresh_relocate,outward,F_r,20,0.13266750000000002,20,20,1.9073486328125e-06
E1E2_f109,fresh_relocate,outward,node_peak,20,0.07407749295704347,20,20,1.9073486328125e-06
E1E2_f109,fresh_relocate,outward,cyclen,20,-3.4341000000000066,0,20,1.9073486328125e-06
E1E2_f109,rewire_swap,neutral,F_xy,20,0.0038250000000000007,14,20,0.11531829833984375
E1E2_f109,rewire_swap,neutral,F_r,20,0.00940000000000003,13,20,0.26317596435546875
E1E2_f109,rewire_swap,neutral,node_peak,20,0.015780007843899546,16,20,0.01181793212890625
E1E2_f109,rewire_swap,neutral,cyclen,20,0.02279999999999518,6,19,0.1670684814453125
E1E2_f121,batch_flip,neutral,F_xy,20,0.02251000000000003,17,20,0.0025768280029296875
E1E2_f121,batch_flip,neutral,F_r,20,0.02043499999999997,20,20,1.9073486328125e-06
E1E2_f121,batch_flip,neutral,node_peak,20,0.01537502408826109,19,20,4.00543212890625e-05
E1E2_f121,batch_flip,neutral,cyclen,20,-0.35919999999999846,1,20,4.00543212890625e-05
E1E2_f121,batch_swap,neutral,F_xy,20,0.07548250000000002,18,20,0.0004024505615234375
E1E2_f121,batch_swap,neutral,F_r,20,0.07086250000000001,20,20,1.9073486328125e-06
E1E2_f121,batch_swap,neutral,node_peak,20,0.05783000887238737,20,20,1.9073486328125e-06
E1E2_f121,batch_swap,neutral,cyclen,20,-0.03332499999999925,8,20,0.5034446716308594
E1E2_f121,fresh_relocate,inward,F_xy,20,0.13738750000000002,20,20,1.9073486328125e-06
E1E2_f121,fresh_relocate,inward,F_r,20,0.10569249999999997,20,20,1.9073486328125e-06
E1E2_f121,fresh_relocate,inward,node_peak,20,0.0488100141366696,20,20,1.9073486328125e-06
E1E2_f121,fresh_relocate,inward,cyclen,20,-0.38169999999999504,4,20,0.01181793212890625
E1E2_f121,fresh_relocate,outward,F_xy,20,0.0697075,20,20,1.9073486328125e-06
E1E2_f121,fresh_relocate,outward,F_r,20,0.038339999999999985,20,20,1.9073486328125e-06
E1E2_f121,fresh_relocate,outward,node_peak,20,0.011030012377140486,14,20,0.11531829833984375
E1E2_f121,fresh_relocate,outward,cyclen,20,-0.6641999999999939,1,20,4.00543212890625e-05
E1E2_f121,rewire_swap,neutral,F_xy,20,0.006565000000000043,13,20,0.26317596435546875
E1E2_f121,rewire_swap,neutral,F_r,20,0.007209999999999994,12,19,0.359283447265625
E1E2_f121,rewire_swap,neutral,node_peak,20,0.007605022199985945,13,20,0.26317596435546875
