cell,record_id,parent_record_id,status,failure,child_f_r,child_cyclen,child_cbc_max,child_f_q,child_node_peak,child_f_xy,child_f_xya,fxy_sane,fxy_reason,parent_record_id_plan,move_class,fresh_radial_dir,burn_state,dose,pair_id,pair_role,stratum,move_tag,swap_span,swap_radius,source,d_fresh_enr_r_center,d_fresh_enr_mass,parent_f_r,parent_node_peak,parent_cyclen,parent_cbc_max,parent_f_xy,converged,d_f_r,d_cyclen,d_node_peak,d_f_xy
T6T4_f121,f7349ecc603de1943a3a2746cc4c22b5b4f453ad10286e26e7c57c872ecd263b,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,converged,,1.5533,621.0,1305.83,1.9527,1.3791999816894531,1.6151,1.4428,True,,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,batch_swap,outward,fresh,0.0017318278,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a:batch_swap:0,outward,batch_swap|outward,bs:41<->49,,,paid,0.0017318278,-0.0,1.5018,1.3332999945,621.275,1315.08,1.5491,True,0.05149999999999988,-0.27499999999997726,0.045899987189453206,0.06600000000000006
T6T4_f121,9ebf453ff83141b5418a7cd106a8130be6a5751e4f3b0693b6dc5d319e1b3b84,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,converged,,1.6496,621.415,1329.52,2.1164,1.4580999612808228,1.7652,1.5618,True,,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,batch_swap,inward,fresh,0.0018038393,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a:batch_swap:0,inward,batch_swap|inward,bs:29<->39,,,paid,-0.0018038393,0.0,1.5018,1.3332999945,621.275,1315.08,1.5491,True,0.14779999999999993,0.13999999999998636,0.12479996678082284,0.21610000000000018
T6T4_f121,4cfcc1242e3f9346ddc412cf0707ed43c6a80a5300028ff9e8e36dc3bdfc978e,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,converged,,1.7206,620.66,1313.83,2.1809,1.3739999532699585,1.9016,1.7188,True,,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,fresh_relocate,outward,once,0.0241857739,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a:fresh_relocate:0,outward,fresh_relocate|outward,fr:57->40,,,paid,0.0241857739,0.0,1.5018,1.3332999945,621.275,1315.08,1.5491,True,0.21879999999999988,-0.6150000000000091,0.04069995876995858,0.35250000000000004
T6T4_f121,cd8148202a534bf799fe186644afef990558024661258999c30f35c3d2de3649,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,converged,,1.504,620.985,1310.75,1.8916,1.3350000381469727,1.5557,1.4231,True,,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,fresh_relocate,inward,once,0.0243234892,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a:fresh_relocate:0,inward,fresh_relocate|inward,fr:19->18,,,paid,-0.0243234892,0.0,1.5018,1.3332999945,621.275,1315.08,1.5491,True,0.0021999999999999797,-0.2899999999999636,0.0017000436469727376,0.006600000000000161
T6T4_f121,e199eeda123ae2a6bc37e471eee70cfbd59da68b8377b0e1e9a78272ca17b4a3,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,converged,,1.5519,619.594,1322.9,1.9474,1.3560999631881714,1.6444,1.4782,True,,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,fresh_relocate,outward,once,0.0995639063,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a:fresh_relocate:1,outward,fresh_relocate|outward,fr:32->43,,,paid,0.0995639063,0.0,1.5018,1.3332999945,621.275,1315.08,1.5491,True,0.05010000000000003,-1.6809999999999263,0.022799968688171468,0.09530000000000016
T6T4_f121,ae98440f8d6bed0c4d05255833e2a43006b5fe9510a88e85780c511892548241,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,converged,,1.5611,621.078,1315.99,1.9556,1.3732999563217163,1.634,1.481,True,,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,fresh_relocate,inward,once,0.0996453559,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a:fresh_relocate:1,inward,fresh_relocate|inward,fr:21->10,,,paid,-0.0996453559,0.0,1.5018,1.3332999945,621.275,1315.08,1.5491,True,0.05929999999999991,-0.19700000000000273,0.03999996182171639,0.08489999999999998
T6T4_f121,8ea990a091c66c94ee97570a6c6a8675f1784ab7f43479135f8aa2c41b11d6fc,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,converged,,1.5045,621.243,1316.58,1.8959,1.337399959564209,1.5566,1.4487,True,,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,rewire_swap,neutral,once,0.0,,neutral,rewire_swap|neutral,rw:8<->18,2.0065727096,3.2393543323,paid,0.0,0.0,1.5018,1.3332999945,621.275,1315.08,1.5491,True,0.0026999999999999247,-0.03199999999992542,0.004099965064209066,0.007500000000000062
T6T4_f121,3cdcc4f8e73f4f6950407ce42544c9f0b57ad2113de2588f539314cd867716e9,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,converged,,1.5215,619.478,1300.28,1.9181,1.3626999855041504,1.5965,1.491,True,,46e687ed86046bf372aef28c6c5771302f382eb807fa587d78358847cbf7007a,batch_flip,inward,fresh,0.0031629213,,random_inward,batch_flip|inward,bf:36=T4,,,paid,-0.0031629213,-1.2016826154,1.5018,1.3332999945,621.275,1315.08,1.5491,True,0.01970000000000005,-1.7970000000000255,0.029399991004150472,0.04740000000000011
T6T4_f121,42763cb64f76ca6c5fb9f49f2499df3e5ab919a370a3f79fb1d687472b9ebfca,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,converged,,1.5829,621.756,1328.94,1.9715,1.4062000513076782,1.6135,1.4284,True,,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,batch_swap,outward,fresh,0.0020126585,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537:batch_swap:0,outward,batch_swap|outward,bs:44<->49,,,paid,0.0020126585,-0.0,1.5373,1.3648999929,621.181,1333.86,1.5549,True,0.04559999999999986,0.5749999999999318,0.04130005840767814,0.058599999999999985
T6T4_f121,8f4ac5d87862ddef436982675db00d5b0dda742189e7a7f2ec186287eae877a6,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,converged,,1.6503,621.437,1339.19,2.0842,1.4500000476837158,1.7131,1.4985,True,,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,batch_swap,inward,fresh,0.0020305477,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537:batch_swap:0,inward,batch_swap|inward,bs:19<->57,,,paid,-0.0020305477,-0.0,1.5373,1.3648999929,621.181,1333.86,1.5549,True,0.11299999999999999,0.2559999999999718,0.08510005478371574,0.15820000000000012
