cell,e_target,feed,library_id,pair,case_3,nested_3,mono_anchor_3,min_f_r_clean_2,min_f_r_clean_3,gain,n_store_pair_feed,n_store_pair_any,passes,reject_reasons
e5.0_f109,5.0,109,ga80,E1_E2,E3_E1_E2,2,True,1.5752610779526508,1.572988680814129,-0.0022723971385218,277,2844,False,F5 gain -0.0023 not below -0.005
e5.0_f113,5.0,113,ga80,E1_E2,E3_E1_E2,2,True,1.5600260133289932,1.516331586958226,-0.043694426370767,134,2844,True,
e5.0_f117,5.0,117,ga80,E1_E2,E3_E1_E2,2,True,1.4859743613881895,1.4567079618740222,-0.0292663995141675,501,2844,True,
e5.0_f121,5.0,121,ga80,E1_E2,E3_E1_E2,2,True,1.488559843115356,1.456808909590999,-0.0317509335243568,1097,2844,True,
e5.0_f125,5.0,125,ga80,E1_E2,E3_E1_E2,2,True,1.4826274182955748,1.4484260200357726,-0.0342013982598021,450,2844,True,
e5.0_f129,5.0,129,ga80,E1_E2,E3_E1_E2,2,True,1.5130964322379117,1.4890660165666816,-0.0240304156712301,20,2844,True,
e5.1_f109,5.1,109,ga80,J1_J2,K1_J1_E1,1,False,1.6459355901392134,1.7551447895076155,0.1092091993684021,223,1343,False,F2 triple not nested (nested=1/2); F2' triple is R1 cross-spec; F4 joint-clean F_r floor 1.7551 > 1.75; F5 gain +0.1092 not below -0.005
e5.1_f113,5.1,113,ga80,J1_J2,K1_J1_E1,1,False,1.5962184642798742,1.6930873537828215,0.0968688895029474,44,1343,False,F2 triple not nested (nested=1/2); F2' triple is R1 cross-spec; F5 gain +0.0969 not below -0.005
e5.1_f117,5.1,117,ga80,J1_J2,K1_J1_E1,1,False,1.517673970207264,1.6067134572922055,0.0890394870849413,338,1343,False,F2 triple not nested (nested=1/2); F2' triple is R1 cross-spec; F5 gain +0.0890 not below -0.005
e5.1_f121,5.1,121,ga80,J1_J2,K1_J1_E1,1,False,1.4863658753395743,1.5663653892967189,0.0799995139571443,150,1343,False,F2 triple not nested (nested=1/2); F2' triple is R1 cross-spec; F5 gain +0.0800 not below -0.005
e5.1_f125,5.1,125,ga80,J1_J2,K1_J1_E1,1,False,1.5171046739150469,1.623594675019082,0.106490001104035,212,1343,False,F2 triple not nested (nested=1/2); F2' triple is R1 cross-spec; F5 gain +0.1065 not below -0.005
e5.1_f129,5.1,129,ga80,J1_J2,K1_J1_E1,1,False,1.5604396646679537,1.626770297986477,0.0663306333185234,8,1343,False,F2 triple not nested (nested=1/2); F2' triple is R1 cross-spec; F5 gain +0.0663 not below -0.005
e5.2_f109,5.2,109,ga80,K1_K2,L1_K1_J1,1,False,,,,135,963,False,F2 triple not nested (nested=1/2); F2' triple is R1 cross-spec; F4 no joint-clean 3-type core; F5 gain undefined
