cell,e_target,feed,library_id,e_core_cell,M_HM_tU,pair,case_2,e_core_2,support_class_2,n_candidates_2,n_in_band_2,n_feasible_2,n_feasible_4ax_2,n_clean_but_fr_2,min_pred_f_r_2,min_f_r_clean_2,min_pred_pin_2,max_pred_cyclen_any_2,seconds_2,binding_constraint_2,binding_excess_pct_2,min_f_r_2,min_cbc_max_2,min_f_q_2,min_ao_abs_2,clean_f_r_2,clean_cyclen_2,clean_cbc_2,clean_f_q_2,clean_ao_2,clean_pin_2,clean_record_id_2,clean_e_core_2,pred_cyclen_2,sigma_cyclen_2,pred_f_r_2,pred_f_q_2,pred_cbc_max_2,pred_ao_abs_2,pred_max_pin_bu_2,node_e_core_2,node_record_id_2,node_origin_2,n_pareto_2,pareto_min_f_r_2,pareto_cyclen_span_2,pareto_f_r_span_2,B_cycle_2,B_d_2,B_cycle_clean_2,B_d_clean_2,case_3,e_core_3,support_class_3,n_candidates_3,n_in_band_3,n_feasible_3,n_feasible_4ax_3,n_clean_but_fr_3,min_pred_f_r_3,min_f_r_clean_3,min_pred_pin_3,max_pred_cyclen_any_3,seconds_3,binding_constraint_3,binding_excess_pct_3,min_f_r_3,min_cbc_max_3,min_f_q_3,min_ao_abs_3,clean_f_r_3,clean_cyclen_3,clean_cbc_3,clean_f_q_3,clean_ao_3,clean_pin_3,clean_record_id_3,clean_e_core_3,pred_cyclen_3,sigma_cyclen_3,pred_f_r_3,pred_f_q_3,pred_cbc_max_3,pred_ao_abs_3,pred_max_pin_bu_3,node_e_core_3,node_record_id_3,node_origin_3,n_pareto_3,pareto_min_f_r_3,pareto_cyclen_span_3,pareto_f_r_span_3,B_cycle_3,B_d_3,B_cycle_clean_3,B_d_clean_3,case_4,e_core_4,support_class_4,n_candidates_4,n_in_band_4,n_feasible_4,n_feasible_4ax_4,n_clean_but_fr_4,min_pred_f_r_4,min_f_r_clean_4,min_pred_pin_4,max_pred_cyclen_any_4,seconds_4,binding_constraint_4,binding_excess_pct_4,min_f_r_4,min_cbc_max_4,min_f_q_4,min_ao_abs_4,clean_f_r_4,clean_cyclen_4,clean_cbc_4,clean_f_q_4,clean_ao_4,clean_pin_4,clean_record_id_4,clean_e_core_4,pred_cyclen_4,sigma_cyclen_4,pred_f_r_4,pred_f_q_4,pred_cbc_max_4,pred_ao_abs_4,pred_max_pin_bu_4,node_e_core_4,node_record_id_4,node_origin_4,n_pareto_4,pareto_min_f_r_4,pareto_cyclen_span_4,pareto_f_r_span_4,B_cycle_4,B_d_4,B_cycle_clean_4,B_d_clean_4,d_min_pred_f_r_3v2,d_min_f_r_clean_3v2,d_clean_cyclen_3v2,d_clean_pin_3v2,d_clean_cbc_3v2,d_n_feasible_3v2,d_n_clean_but_fr_3v2,d_pred_cyclen_3v2,d_min_pred_f_r_4v2,d_min_f_r_clean_4v2,d_clean_cyclen_4v2,d_clean_pin_4v2,d_clean_cbc_4v2,d_n_feasible_4v2,d_n_clean_but_fr_4v2,d_pred_cyclen_4v2,best_ntypes_by_clean_f_r
e5.6_f109,5.6,109,paramA,5.598053478792954,101.74,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,"trained (74,537 rows)",1200,1200,0,0,0,1.7870120219379633,,82.12416569428598,663.9507154801923,167.5,f_r,15.291098189546016,1.7870120219379633,1351.5182005583245,2.211447552493248,0.019610084253511306,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z2G10N20_P6253Z2G10N24_P6253Z2G06N24,5.6115509700032025,SPARSE (60 rows / 39 in train),960,842,0,0,0,1.7544483232122214,,82.22819653648762,662.835902488788,131.5,f_r,13.19021440078847,1.7544483232122214,1388.0883286170586,2.1728078783558087,0.01791757412997337,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z2G10N20_P5853Z1G08N12_P6253Z2G10N24_P6253Z2G06N24,5.612410480538307,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240,235,0,0,0,1.8068538262150344,,81.32778876507462,670.4458648178015,32.1,f_r,16.57121459451836,1.8068538262150344,1500.573140081663,2.247331186702018,0.018520301066068015,,,,,,,,,,,,,,,,,,,0,,,,,,,,-0.03256369872574183,,,,,0.0,0.0,,0.019841804277071162,,,,,0.0,0.0,,0
e5.6_f113,5.6,113,paramA,5.598053478792954,101.74,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,"trained (74,537 rows)",1200,1200,0,0,0,1.7433076318033789,,79.02866340315494,680.4565925504737,153.9,f_r,12.471460116347032,1.7433076318033789,1363.6362321779493,2.155548752811744,0.01937437034665413,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z2G10N20_P6253Z2G10N24_P6253Z2G06N24,5.6115509700032025,SPARSE (60 rows / 39 in train),960,900,0,0,0,1.7305254275979747,,79.29449976727558,683.257823838818,123.4,f_r,11.646801780514494,1.7305254275979747,1418.3973691155554,2.1514266880108504,0.018026807014497753,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z2G10N20_P5853Z1G08N12_P6253Z2G10N24_P6253Z2G06N24,5.612410480538307,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240,240,0,0,0,1.8005559381066871,,80.60856669958275,685.9105645156905,31.2,f_r,16.16489923268949,1.8005559381066871,1557.8587457162132,2.251959952128773,0.01877097760638845,,,,,,,,,,,,,,,,,,,0,,,,,,,,-0.012782204205404213,,,,,0.0,0.0,,0.05724830630330824,,,,,0.0,0.0,,0
e5.6_f117,5.6,117,paramA,5.598053478792954,101.74,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,"trained (74,537 rows)",1200,1200,0,0,3,1.7383587440429917,1.8696763886835523,76.64561631897308,694.7730733831235,153.3,f_r,12.15217703503173,1.7383587440429917,1385.2909526304925,2.16404405265858,0.01896945219701136,1.8696763886835523,687.6691453550927,1449.854499425306,2.3368724069970437,0.02989306584126883,77.96795891171942,a18bae12ab37c67cb080d4fb956ccfcb4b58a314990f2f4b827e14d72b340c39,5.598235694222959,,,,,,,,,,,0,,,,,,26.92136595307576,55.4534119204381,P6253Z2G10N20_P6253Z2G10N24_P6253Z2G06N24,5.6115509700032025,SPARSE (60 rows / 39 in train),960,889,0,0,38,1.7056223567853626,1.7319654577189483,76.38557502364054,701.8982537198223,124.1,f_r,10.04015205066855,1.7056223567853626,1425.9609563721265,2.118735513120613,0.017992813629660796,1.7319654577189483,690.2600178112989,1544.814754208579,2.169493580611501,0.0289949588758917,77.95768349895285,1527cfcee376bfc5dfc77ab521364987af95530cac0e53f12d4c2004efe1d3d8,5.616957116221869,,,,,,,,,,,0,,,,,,27.02279529013763,55.662339016437336,P6253Z2G10N20_P5853Z1G08N12_P6253Z2G10N24_P6253Z2G06N24,5.612410480538307,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240,239,0,0,0,1.7660613877154454,,76.57835873133243,705.1454997065977,31.3,f_r,13.939444368738418,1.7660613877154454,1559.305631217221,2.2079738266678706,0.018754209137852033,,,,,,,,,,,,,,,,,,,0,,,,,,,,-0.032736387257629174,-0.13771093096460407,2.5908724562061707,-0.010275412766574732,94.96025478327306,0.0,35.0,,0.027702643672453675,,,,,0.0,-3.0,,3
e5.6_f121,5.6,121,paramA,5.598053478792954,101.74,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,"trained (74,537 rows)",1200,1200,0,0,680,1.707053978828486,1.707053978828486,75.10399990050296,712.4965252022586,150.7,f_r,10.132514763128132,1.707053978828486,1412.6380362360096,2.1318035100682913,0.018588587538327903,1.707053978828486,703.4328943555997,1473.7834626038505,2.1318035100682913,0.02696790791776957,75.53226900286829,1ddddc2709ac859592b4e43d2edfec95076d0786a6a020ca7cf86b7e770d6dee,5.598088713952076,,,,,,,,,,,0,,,,,,27.53849652887896,54.849402177353966,P6253Z2G10N20_P6253Z2G10N24_P6253Z2G06N24,5.6115509700032025,SPARSE (60 rows / 39 in train),960,942,0,0,326,1.6624580817502377,1.6624580817502377,74.98855102019682,708.2631015785336,120.6,f_r,7.255360112918563,1.6624580817502377,1476.2109505992041,2.082093131058945,0.017811078847260003,1.6624580817502377,700.7046822576162,1561.3426206050526,2.082093131058945,0.028902034478222503,75.53633153810617,0cc8391c1b826d89e1d3930358fc257b741deb8520129a0a2f31a8c4a4fd50fa,5.617956336748399,,,,,,,,,,,0,,,,,,27.431690520810214,54.63667285549803,P6253Z2G10N20_P5853Z1G08N12_P6253Z2G10N24_P6253Z2G06N24,5.612410480538307,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240,240,0,0,0,1.7021114576278065,,75.08820447851467,712.6154078589494,31.0,f_r,9.81364242760041,1.7021114576278065,1621.826535848094,2.1342077387111424,0.017755083446549847,,,,,,,,,,,,,,,,,,,0,,,,,,,,-0.04459589707824829,-0.04459589707824829,-2.728212097983487,0.004062535237878251,87.55915800120215,0.0,-354.0,,-0.004942521200679506,,,,,0.0,-680.0,,3
e5.6_f125,5.6,125,paramA,5.598053478792954,101.74,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,"trained (74,537 rows)",1200,1200,0,0,599,1.6977664172090894,1.6977664172090894,74.7070354182002,720.6760471190101,152.1,f_r,9.53331723929609,1.6977664172090894,1400.4605804095181,2.122592128703708,0.01976140140418593,1.6977664172090894,711.4208917493921,1504.028724261333,2.122592128703708,0.024937390786761403,75.29743465115759,40c8d8711b775e7e448c452b7ac5c63ed40ca535dd0d8bbc7a39cfbf5b3a215f,5.597678389845508,,,,,,,,,,,0,,,,,,27.851216392090876,53.69714520395121,P6253Z2G10N20_P6253Z2G10N24_P6253Z2G06N24,5.6115509700032025,SPARSE (60 rows / 39 in train),960,900,0,0,274,1.6865932854160814,1.6865932854160814,74.6195783894095,720.6772260807927,127.6,f_r,8.812470026843954,1.6865932854160814,1478.7962531184453,2.1182538313690142,0.018873365951467394,1.6865932854160814,709.4968511044596,1531.197429236764,2.1182538313690142,0.02543924095280518,75.34801265665173,73b0c2c9d50a65c786037ddbbf48ec40be5e7965ff5ef9b377733a5741fe0f15,5.611172091848152,,,,,,,,,,,0,,,,,,27.77589266605097,53.55192106014628,P6253Z2G10N20_P5853Z1G08N12_P6253Z2G10N24_P6253Z2G06N24,5.612410480538307,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240,238,0,0,0,1.6909704591120087,,74.68786333108409,730.8042856595399,31.1,f_r,9.094868329807015,1.6909704591120087,1620.4181771230867,2.122132908257558,0.018744383174497392,,,,,,,,,,,,,,,,,,,0,,,,,,,,-0.01117313179300794,-0.01117313179300794,-1.9240406449325747,0.05057800549414537,27.168704975430956,0.0,-325.0,,-0.006795958097080668,,,,,0.0,-599.0,,3
e5.6_f129,5.6,129,paramA,5.598053478792954,101.74,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,"trained (74,537 rows)",1200,1200,0,0,593,1.726650166828598,1.726650166828598,74.41448852795229,729.963433664209,152.4,f_r,11.396784956683748,1.726650166828598,1410.2405963515432,2.1544934395190554,0.020388482622334052,1.726650166828598,714.4151537977093,1482.1632192564184,2.1544934395190554,0.02797887730749337,74.86462430411675,a0f556b522d1c022f33f90f65b07a937b789f9181c9fa565452eaf16b47b3851,5.598086528781351,,,,,,,,,,,0,,,,,,27.968437914834244,52.25111269360506,P6253Z2G10N20_P6253Z2G10N24_P6253Z2G06N24,5.6115509700032025,SPARSE (60 rows / 39 in train),960,940,0,0,262,1.7070813050815001,1.7070813050815001,74.50403516217416,728.027440213316,122.7,f_r,10.134277747193554,1.7070813050815001,1458.675125976545,2.1284913829543424,0.01979633344591142,1.7070813050815001,719.6413692091129,1545.7125794732156,2.1284913829543424,0.031383977809247954,75.18514067037415,c735472d099f9a4ffcc631e41371cf02f52e63e39156ae7e7dd427d92545436c,5.617576306418952,,,,,,,,,,,0,,,,,,28.17303755201492,52.633349225082135,P6253Z2G10N20_P5853Z1G08N12_P6253Z2G10N24_P6253Z2G06N24,5.612410480538307,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240,240,0,0,0,1.7083788969618483,,74.52810615098024,735.4688783868521,31.1,f_r,10.217993352377297,1.7083788969618483,1614.6725814534636,2.136620063333627,0.01981318028703691,,,,,,,,,,,,,,,,,,,0,,,,,,,,-0.019568861747097932,-0.019568861747097932,5.226215411403587,0.320516366257408,63.54936021679714,0.0,-331.0,,-0.018271269866749762,,,,,0.0,-593.0,,3
e5.7_f109,5.7,109,paramA,5.700413594677216,102.123,P5853Z1G08N12_P6253Z1G06N24,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,"trained (74,537 rows)",1200,976,0,0,0,1.7943855920842822,,81.59477873163806,685.7280687125078,151.2,cbc_max,16.713739866456457,1.7943855920842822,1819.4347448814035,2.2648683292733685,0.02114888394132996,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z1G06N24_P6253Z2G08N16_P6253Z2G06N24,5.682791789363034,SPARSE (60 rows / 39 in train),960,723,0,0,0,1.7229243797835598,,80.1422304486002,688.7533928194459,118.4,f_r,11.156411598939343,1.7229243797835598,1584.5832414941335,2.1546040773518915,0.01913291272656956,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z1G08N20_P6253Z1G06N24_P6253Z2G08N16_P6253Z2G06N24,5.718303721750154,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240,187,0,0,0,1.729077171417595,,80.52145716988854,686.8069535024,31.5,f_r,11.553365897909341,1.729077171417595,1597.252178504145,2.1632350209738718,0.01943950885325305,,,,,,,,,,,,,,,,,,,0,,,,,,,,-0.07146121230072233,,,,,0.0,0.0,,-0.06530842066668718,,,,,0.0,0.0,,0
e5.7_f113,5.7,113,paramA,5.700413594677216,102.123,P5853Z1G08N12_P6253Z1G06N24,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,"trained (74,537 rows)",1200,1044,0,0,0,1.7594171684143782,,79.89925080419923,702.0484666304043,152.3,cbc_max,16.992400232042915,1.7594171684143782,1834.0880004493677,2.2343096884316282,0.02093504797880283,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z1G06N24_P6253Z2G08N16_P6253Z2G06N24,5.682791789363034,SPARSE (60 rows / 39 in train),960,722,0,0,0,1.7101365962420036,,78.73335475289561,705.0783945743685,122.7,f_r,10.331393305935709,1.7101365962420036,1597.874531344045,2.15718971161268,0.018189438119211164,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z1G08N20_P6253Z1G06N24_P6253Z2G08N16_P6253Z2G06N24,5.718303721750154,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240,202,0,0,0,1.7204182075625305,,78.81427909357942,702.912566805169,31.4,f_r,10.99472306855036,1.7204182075625305,1636.1891085277257,2.1690814817191773,0.02043898903912083,,,,,,,,,,,,,,,,,,,0,,,,,,,,-0.04928057217237458,,,,,0.0,0.0,,-0.03899896085184773,,,,,0.0,0.0,,0
e5.7_f117,5.7,117,paramA,5.700413594677216,102.123,P5853Z1G08N12_P6253Z1G06N24,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,"trained (74,537 rows)",1200,1089,0,0,0,1.7431215913378102,,78.07034894590188,718.0905823844157,152.8,cbc_max,18.96078615304493,1.7431215913378102,1899.613595117323,2.2197494586126645,0.020942425524421153,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z1G06N24_P6253Z2G08N16_P6253Z2G06N24,5.682791789363034,SPARSE (60 rows / 39 in train),960,381,0,0,0,1.6644155650386552,,77.66820174874525,715.3976515590656,122.3,f_r,7.381649357332587,1.6644155650386552,1594.1622387133043,2.1070654209988584,0.019184395553584706,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z1G08N20_P6253Z1G06N24_P6253Z2G08N16_P6253Z2G06N24,5.718303721750154,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240,149,0,0,0,1.709025309047548,,77.84478811793473,717.0389379149402,31.4,cbc_max,10.55586299550404,1.709025309047548,1673.5722987266058,2.164178037176839,0.019787601070443157,,,,,,,,,,,,,,,,,,,0,,,,,,,,-0.07870602629915502,,,,,0.0,0.0,,-0.03409628229026218,,,,,0.0,0.0,,0
e5.7_f121,5.7,121,paramA,5.700413594677216,102.123,P5853Z1G08N12_P6253Z1G06N24,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,"trained (74,537 rows)",1200,1094,0,0,0,1.6992649280950016,,76.80200041496626,730.9195049425288,157.7,cbc_max,18.530623212558606,1.6992649280950016,1896.4899714009375,2.1807969966405647,0.021493880822477406,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z1G06N24_P6253Z2G08N16_P6253Z2G06N24,5.682791789363034,SPARSE (60 rows / 39 in train),960,360,0,0,0,1.6366843092409458,,76.13420550073677,731.9649329635164,121.5,f_r,5.592536080061006,1.6366843092409458,1645.017556517808,2.07004768905291,0.020021626338274725,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6253Z1G08N20_P6253Z1G06N24_P6253Z2G08N16_P6253Z2G06N24,5.718303721750154,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240,105,0,0,0,1.674059518773535,,76.51766727803081,730.590035442649,30.5,f_r,8.003839920873212,1.674059518773535,1665.093412602766,2.113310937979291,0.020936083875755577,,,,,,,,,,,,,,,,,,,0,,,,,,,,-0.06258061885405586,,,,,0.0,0.0,,-0.025205409321466643,,,,,0.0,0.0,,0
