cell,e_target,feed,library_id,e_core_cell,M_HM_tU,pair,case_2,e_core_2,support_class_2,n_candidates_2,n_in_band_2,n_feasible_2,n_feasible_4ax_2,n_clean_but_fr_2,min_pred_f_r_2,min_f_r_clean_2,min_pred_pin_2,max_pred_cyclen_any_2,seconds_2,binding_constraint_2,binding_excess_pct_2,min_f_r_2,min_cbc_max_2,min_f_q_2,min_ao_abs_2,clean_f_r_2,clean_cyclen_2,clean_cbc_2,clean_f_q_2,clean_ao_2,clean_pin_2,clean_record_id_2,clean_e_core_2,pred_cyclen_2,sigma_cyclen_2,pred_f_r_2,pred_f_q_2,pred_cbc_max_2,pred_ao_abs_2,pred_max_pin_bu_2,node_e_core_2,node_record_id_2,node_origin_2,n_pareto_2,pareto_min_f_r_2,pareto_cyclen_span_2,pareto_f_r_span_2,B_cycle_2,B_d_2,B_cycle_clean_2,B_d_clean_2,case_3,e_core_3,support_class_3,n_candidates_3,n_in_band_3,n_feasible_3,n_feasible_4ax_3,n_clean_but_fr_3,min_pred_f_r_3,min_f_r_clean_3,min_pred_pin_3,max_pred_cyclen_any_3,seconds_3,binding_constraint_3,binding_excess_pct_3,min_f_r_3,min_cbc_max_3,min_f_q_3,min_ao_abs_3,clean_f_r_3,clean_cyclen_3,clean_cbc_3,clean_f_q_3,clean_ao_3,clean_pin_3,clean_record_id_3,clean_e_core_3,pred_cyclen_3,sigma_cyclen_3,pred_f_r_3,pred_f_q_3,pred_cbc_max_3,pred_ao_abs_3,pred_max_pin_bu_3,node_e_core_3,node_record_id_3,node_origin_3,n_pareto_3,pareto_min_f_r_3,pareto_cyclen_span_3,pareto_f_r_span_3,B_cycle_3,B_d_3,B_cycle_clean_3,B_d_clean_3,case_4,e_core_4,support_class_4,n_candidates_4,n_in_band_4,n_feasible_4,n_feasible_4ax_4,n_clean_but_fr_4,min_pred_f_r_4,min_f_r_clean_4,min_pred_pin_4,max_pred_cyclen_any_4,seconds_4,binding_constraint_4,binding_excess_pct_4,min_f_r_4,min_cbc_max_4,min_f_q_4,min_ao_abs_4,clean_f_r_4,clean_cyclen_4,clean_cbc_4,clean_f_q_4,clean_ao_4,clean_pin_4,clean_record_id_4,clean_e_core_4,pred_cyclen_4,sigma_cyclen_4,pred_f_r_4,pred_f_q_4,pred_cbc_max_4,pred_ao_abs_4,pred_max_pin_bu_4,node_e_core_4,node_record_id_4,node_origin_4,n_pareto_4,pareto_min_f_r_4,pareto_cyclen_span_4,pareto_f_r_span_4,B_cycle_4,B_d_4,B_cycle_clean_4,B_d_clean_4,d_min_pred_f_r_3v2,d_min_f_r_clean_3v2,d_clean_cyclen_3v2,d_clean_pin_3v2,d_clean_cbc_3v2,d_n_feasible_3v2,d_n_clean_but_fr_3v2,d_pred_cyclen_3v2,d_min_pred_f_r_4v2,d_min_f_r_clean_4v2,d_clean_cyclen_4v2,d_clean_pin_4v2,d_clean_cbc_4v2,d_n_feasible_4v2,d_n_clean_but_fr_4v2,d_pred_cyclen_4v2,best_ntypes_by_clean_f_r
e5.9_f109,5.9,109,paramA,5.908702994861528,101.998,P6253Z1G08N20_P6257Z1G10N12,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,"trained (74,537 rows)",1200,808,0,0,0,1.9447407440272229,,86.7794669365949,695.7909197494017,169.1,cbc_max,30.123623457606442,1.9447407440272229,2039.3664405611532,2.4507726304338044,0.01996965469401843,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z2G08N16,5.910822531566715,SPARSE (60 rows / 39 in train),960.0,884.0,0.0,0.0,0.0,1.7958050456533994,,86.73100795704542,714.3925424675047,131.5,cbc_max,35.73573036163986,1.7958050456533994,2171.771685786238,2.28969408757812,0.023643520272508364,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z1G06N24_P6257Z2G08N16,5.903418866418451,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240.0,238.0,0.0,0.0,0.0,1.896597114797642,,87.94354673344385,705.3960688812508,32.7,cbc_max,27.03194340261812,1.896597114797642,2017.8088412890454,2.3952367195295046,0.02055514474022254,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-0.14893569837382348,,,,,0.0,0.0,,-0.04814362922958093,,,,,0.0,0.0,,0
e5.9_f113,5.9,113,paramA,5.908702994861528,101.998,P6253Z1G08N20_P6257Z1G10N12,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,"trained (74,537 rows)",1200,1052,0,0,0,1.8494889489939466,,83.51081146530052,717.9968641736142,153.7,cbc_max,29.919071040440336,1.8494889489939466,2078.7051366470455,2.3528590382435284,0.021708694646577147,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z2G08N16,5.910822531566715,SPARSE (60 rows / 39 in train),960.0,886.0,0.0,0.0,0.0,1.7975067152062802,,85.18568773699756,734.5236748301714,124.4,cbc_max,38.529224000470144,1.7975067152062802,2216.4675840075224,2.3005326572872886,0.021977423732252144,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z1G06N24_P6257Z2G08N16,5.903418866418451,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240.0,239.0,0.0,0.0,0.0,1.8510155699864996,,85.13119804368773,726.1964760423057,31.3,cbc_max,33.77776630634472,1.8510155699864996,2140.4442609015155,2.372239355680302,0.0213795544453356,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-0.05198223378766631,,,,,0.0,0.0,,0.0015266209925530738,,,,,0.0,0.0,,0
e5.9_f117,5.9,117,paramA,5.908702994861528,101.998,P6253Z1G08N20_P6257Z1G10N12,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,"trained (74,537 rows)",1200,705,0,0,0,1.870765830728816,,82.81190626555403,736.6611035784233,153.3,cbc_max,34.92548567333515,1.870765830728816,2158.8077707733623,2.398366610429085,0.022786314480764,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z2G08N16,5.910822531566715,SPARSE (60 rows / 39 in train),960.0,891.0,0.0,0.0,0.0,1.7869282611596278,,82.64910957425816,753.3471493260272,120.8,cbc_max,40.90942144187972,1.7869282611596278,2254.5507430700754,2.298719109779043,0.026805952958054918,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z1G06N24_P6257Z2G08N16,5.903418866418451,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240.0,235.0,0.0,0.0,0.0,1.8181887195616615,,82.25095794965908,746.208159251802,31.0,cbc_max,35.528964701962316,1.8181887195616615,2168.463435231397,2.317760346441249,0.026203187017083768,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-0.0838375695691882,,,,,0.0,0.0,,-0.05257711116715447,,,,,0.0,0.0,,0
e5.9_f121,5.9,121,paramA,5.908702994861528,101.998,P6253Z1G08N20_P6257Z1G10N12,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,"trained (74,537 rows)",1200,765,0,0,0,1.8289047736812383,,79.90446897814455,752.303617834289,150.3,cbc_max,34.83478042262853,1.8289047736812383,2157.3564867620566,2.3436252569173974,0.02271607304781009,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z2G08N16,5.910822531566715,SPARSE (60 rows / 39 in train),960.0,911.0,0.0,0.0,0.0,1.754764533288061,,80.06047503107135,769.5402741000921,123.6,cbc_max,42.09839440072696,1.754764533288061,2273.5743104116314,2.2600942242406115,0.025896602338125723,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z1G06N24_P6257Z2G08N16,5.903418866418451,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240.0,239.0,0.0,0.0,0.0,1.7685467673812516,,80.29861360837974,764.0388886432493,31.0,cbc_max,38.09298612743848,1.7685467673812516,2209.4877780390157,2.261961844038592,0.023492903964851434,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-0.07414024039317724,,,,,0.0,0.0,,-0.060358006299986666,,,,,0.0,0.0,,0
e5.9_f125,5.9,125,paramA,5.908702994861528,101.998,P6253Z1G08N20_P6257Z1G10N12,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,"trained (74,537 rows)",1200,826,0,0,0,1.778920450280353,,80.02158612093476,770.7622313881478,151.6,cbc_max,38.70334124025734,1.778920450280353,2219.2534598441175,2.3237903830527658,0.022329967711146488,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z2G08N16,5.910822531566715,SPARSE (60 rows / 39 in train),960.0,911.0,0.0,0.0,0.0,1.7286115057839586,,79.93224671760133,786.9410863638155,124.6,cbc_max,47.02142275118582,1.7286115057839586,2352.342764018973,2.289016526083637,0.02982756907510366,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z1G06N24_P6257Z2G08N16,5.903418866418451,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240.0,239.0,0.0,0.0,0.0,1.7514439109269577,,80.04323830818979,778.6274478340572,30.3,cbc_max,40.67570781749534,1.7514439109269577,2250.8113250799256,2.301437882809993,0.022158546022111265,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-0.05030894449639445,,,,,0.0,0.0,,-0.027476539353395335,,,,,0.0,0.0,,0
e5.9_f129,5.9,129,paramA,5.908702994861528,101.998,P6253Z1G08N20_P6257Z1G10N12,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,"trained (74,537 rows)",1200,918,0,0,0,1.8214947117724603,,80.15146825579352,772.7872783438992,151.0,cbc_max,38.290871681010884,1.8214947117724603,2212.653946896174,2.336550172201562,0.02281564016110054,,,,,,,,,,,,,,,,,,,0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z2G08N16,5.910822531566715,SPARSE (60 rows / 39 in train),960.0,909.0,0.0,0.0,0.0,1.749587356232375,,79.31899111600441,794.0226807970427,121.2,cbc_max,44.959353110756716,1.749587356232375,2319.3496497721076,2.2692408877891794,0.025220771918231875,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,P6257Z1G10N12_P6257Z2G06N12_P6257Z1G06N24_P6257Z2G08N16,5.903418866418451,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),240.0,235.0,0.0,0.0,0.0,1.7738933155358738,,79.8043905490518,786.993351499323,30.8,cbc_max,39.95365816449017,1.7738933155358738,2239.258530631843,2.286335437083215,0.026434603675058302,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-0.07190735554008532,,,,,0.0,0.0,,-0.047601396236586435,,,,,0.0,0.0,,0
e6.0_f109,6.0,109,paramA,6.025507875529617,102.203,P6257Z1G10N12_P6656Z2G08N12,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,"trained (74,537 rows)",1200,1135,0,0,0,1.8752656349484491,,88.91455999246135,741.457445868203,145.6,cbc_max,42.57713383285386,1.8752656349484491,2281.2341413256618,2.389400519732536,0.021338018061636724,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SPARSE (60 rows / 39 in train),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
e6.0_f113,6.0,113,paramA,6.025507875529617,102.203,P6257Z1G10N12_P6656Z2G08N12,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,"trained (74,537 rows)",1200,1132,0,0,0,1.820197078791173,,88.2061168354297,760.6842362817754,142.5,cbc_max,46.10341986197917,1.820197078791173,2337.654717791667,2.3413475814508873,0.023276866838973686,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SPARSE (60 rows / 39 in train),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
e6.0_f117,6.0,117,paramA,6.025507875529617,102.203,P6257Z1G10N12_P6656Z2G08N12,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,"trained (74,537 rows)",1200,1128,0,0,0,1.7691196968592005,,84.91808417601683,780.5626367816469,151.4,cbc_max,49.36563036963042,1.7691196968592005,2389.850085914087,2.2775369237691048,0.027979035413306735,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SPARSE (60 rows / 39 in train),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
e6.0_f121,6.0,121,paramA,6.025507875529617,102.203,P6257Z1G10N12_P6656Z2G08N12,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,"trained (74,537 rows)",1200,1128,0,0,0,1.7550565613327358,,82.78125126072844,797.6256719861606,151.4,cbc_max,51.85767959863197,1.7550565613327358,2429.7228735781114,2.271414807124554,0.03193311930174634,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SPARSE (60 rows / 39 in train),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
