n_types,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,cand_e_core,record_id,origin,cell,e_target,feed,library_id,case_id,support_class,M_HM_tU,B_cycle,B_d
3,0,min_f_r,615.4618358828311,1.7377848661967956,1.516331586958226,1.9103232852323535,1332.5530703965542,0.0404951994478622,73.89136951560022,5.0,a7d0cfe802d4ac1682ffe734ab39ef8cff3958cd7c4f863e9dbbb297b5b550be,elite,e5.0_f113,5.0,113,ga80,E3_E1_E2,SPARSE (60 rows / 39 in train),102.031,24.02576270705593,51.24078595044672
2,0,min_f_r,625.774450284451,1.8676862639095464,1.4859743613881895,1.8761171194290005,1290.469567370547,0.0392463441114459,72.9431404665562,5.0,d072c8cf05a5480496b29c39908993f623da1fd960b18d0075e6d6d40dac77da,elite,e5.0_f117,5.0,117,ga80,E1_E2,"trained (74,537 rows)",102.031,24.42833588390821,50.318196136939136
2,1,knee,625.825894041074,2.0323650359005097,1.4954233023384518,1.8800943359174669,1296.233901542113,0.0391181566146416,71.58529850173862,5.0,43cafce2b4d31139e32bd58aeaf0da230e407ec341bb309dd76c3ca3b728509b,elite,e5.0_f117,5.0,117,ga80,E1_E2,"trained (74,537 rows)",102.031,24.430344092081853,50.32233270249338
2,2,max_cyclen,626.2115452683286,2.053771112467982,1.5202912749225808,1.909933032088835,1307.6080787262226,0.0381015820755974,71.54632877295987,5.0,3c3602464290db0188d3391e3caff338a7427b7d1d19c5f2540f23100a46ef4f,elite,e5.0_f117,5.0,117,ga80,E1_E2,"trained (74,537 rows)",102.031,24.44539874589384,50.35334271590098
3,0,min_f_r,626.8174112956451,3.029834923498276,1.4567079618740222,1.8447341101831587,1358.3172927834216,0.0346400425850209,70.58060530823089,5.0,d4caa062d67df9028c8d6060ef215b5bb449571ee4c9ad71d15ed4584a3e77fe,elite,e5.0_f117,5.0,117,ga80,E3_E1_E2,SPARSE (60 rows / 39 in train),102.031,24.469049917349,50.40206008616333
3,1,knee,627.0353653293223,2.569902337448444,1.4695091016426467,1.8400987570229717,1362.1017466608882,0.0342382467120104,70.44980877351342,5.0,36b9fb8f9b00f23d005e55eadfaa0207c3fd6f6cb870f8a769271cbb938e4f15,elite,e5.0_f117,5.0,117,ga80,E3_E1_E2,SPARSE (60 rows / 39 in train),102.031,24.47755818153188,50.41958565597592
3,2,,628.069902702269,3.3596644657711208,1.472129636544317,1.8604638215983729,1363.3940682685889,0.0348532232404453,71.26430506441743,5.0,a593d53423b65a2ca2d64fa7dca50c69fdbc154117b9ff9bfa26a21a6abe9adf,guided,e5.0_f117,5.0,117,ga80,E3_E1_E2,SPARSE (60 rows / 39 in train),102.031,24.51794338169356,50.50277226485596
3,3,max_cyclen,630.4471157672335,2.286611558044724,1.48446774490412,1.864431287209254,1379.7510352824793,0.0338237569234146,69.45868747120213,5.0,e3f2097a46f9d25cb348945a059b315c23746335a92a99819ec90d6dae1ac52a,elite,e5.0_f117,5.0,117,ga80,E3_E1_E2,SPARSE (60 rows / 39 in train),102.031,24.610742567074443,50.69392272363197
2,0,min_f_r,635.8627180729425,0.7844633218331605,1.488559843115356,1.8577733068036064,1304.4039263380023,0.0394533921097338,68.9383563158166,5.0,39e7875748c6b1e2a3f942a93238bfbc8da8ec0a0a726a8161d8fb52d386d7b5,elite,e5.0_f121,5.0,121,ga80,E1_E2,"trained (74,537 rows)",102.031,24.82215124967148,49.43916075347792
2,1,,637.3191781989681,0.5256120382535595,1.4911605931175338,1.8653966154112251,1318.8623152670066,0.0396055790899655,68.93881756486992,5.0,a5499f1a70113745a0c491bedf0bbb8f379edd69ea5c48d960a13e3a8ea1c222,guided,e5.0_f121,5.0,121,ga80,E1_E2,"trained (74,537 rows)",102.031,24.879007033962296,49.552402439544736
