cell,e_target,feed,anchor_library_id,anchor_pair,anchor_e_core,anchor_realizability,anchor_n_store_pair_feed,lrm_ceil_efpd,surrogate_ceil,d_surr_minus_lrm,min_pred_f_r,fr_true_min,n_true,fr_pred_minus_true,cyclen_at_fr_min,tier_reached,n_feasible_tier1,n_feasible_tier2,n_feasible_tier3,GAP,DIS,REACH,score,role,n_chains
e5.6_f125,5.6,125,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,미발견,0,725.759763,712.601642,-13.158121,1.704761,,0,,,tier3,0.0,0.0,183.0,1.0,1.0,0.8,0.96,probe,16
e5.6_f129,5.6,129,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,미발견,0,739.759593,721.696148,-18.063445,1.694858,,0,,,tier3,0.0,0.0,156.0,1.0,1.0,0.8,0.96,probe,16
e6.0_f113,6.0,113,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,미발견,0,735.930411,759.93553,24.005119,1.761821,,0,,,none,0.0,0.0,0.0,1.0,1.0,0.8,0.96,campaign,40
e6.0_f109,6.0,109,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,미발견,0,720.283258,739.601966,19.318708,1.789824,,0,,,none,0.0,0.0,0.0,1.0,1.0,0.8,0.96,campaign,40
e6.0_f121,6.0,121,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,미발견,0,760.522493,796.232245,35.709752,1.686735,,0,,,none,0.0,0.0,0.0,1.0,1.0,0.8,0.96,,0
e6.0_f117,6.0,117,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,미발견,0,750.407005,779.515694,29.108689,1.716744,,0,,,none,0.0,0.0,0.0,1.0,1.0,0.8,0.96,,0
e6.0_f125,6.0,125,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,미발견,0,780.905577,806.65393,25.748353,1.683545,,0,,,none,0.0,0.0,0.0,1.0,1.0,0.8,0.96,,0
e6.0_f129,6.0,129,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,미발견,0,795.969164,814.996,19.026836,1.704005,,0,,,none,0.0,0.0,0.0,1.0,1.0,0.8,0.96,,0
e5.6_f117,5.6,117,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,미발견,0,697.414932,691.098191,-6.316741,1.731953,,0,,,tier3,0.0,0.0,59.0,1.0,0.99678,0.8,0.958712,,0
e6.4_f113,6.4,113,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,격자-우회(fallback),0,777.143178,812.531132,35.387954,1.850862,,0,,,none,0.0,0.0,0.0,1.0,1.0,0.6,0.92,probe,15
e6.4_f129,6.4,129,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,격자-우회(fallback),0,840.544156,871.748481,31.204325,1.821884,,0,,,none,0.0,0.0,0.0,1.0,1.0,0.6,0.92,probe,15
e6.2_f129,6.2,129,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,격자-우회(fallback),0,818.347856,831.260015,12.912159,1.829701,,0,,,none,0.0,0.0,0.0,1.0,1.0,0.6,0.92,probe,15
e5.6_f113,5.6,113,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,미발견,0,683.960643,674.817056,-9.143587,1.73124,,0,,,tier3,0.0,0.0,51.0,1.0,0.889706,0.8,0.915882,,0
e5.6_f121,5.6,121,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,미발견,0,706.816087,708.346897,1.53081,1.700446,,0,,,tier3,0.0,0.0,317.0,1.0,0.868717,0.8,0.907487,,0
e6.1_f129,6.1,129,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,격자-우회(fallback),0,805.3754,816.162847,10.787447,1.803348,,0,,,none,0.0,0.0,0.0,1.0,0.879018,0.6,0.871607,probe,15
e5.3_f129,5.3,129,ga80,L1_L2,5.3,실현 확인,14,700.566036,684.548015,-16.018021,1.582863,1.8469,14,-0.264037,681.801,tier2,0.0,163.0,460.0,0.6,1.0,1.0,0.84,probe,15
e6.1_f113,6.1,113,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,격자-우회(fallback),0,744.627148,756.166691,11.539543,1.875929,,0,,,none,0.0,0.0,0.0,1.0,0.714244,0.6,0.805698,probe,14
e5.7_f125,5.7,125,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,미발견,0,738.965223,738.020668,-0.944555,1.709712,,0,,,tier3,0.0,0.0,284.0,1.0,0.465588,0.8,0.746235,probe,14
