pair,feed,role,n,e_core,cbc_pred,cbc_min,cbc_resid,fr_at_cbc_min,cyclen_at_cbc_min,fr_min,fq_min,ao_max,cyclen_q95,n_pass_cbc,n_pass_both,joint_tier
P6253Z1G06N24_P6253Z2G06N24,109,지도,10,5.6915,1347,1555.21,208.21,2.5478,656.501,2.2748,3.0329,0.07,676.2014,1,0,none
P6253Z1G06N24_P6253Z2G10N24,109,지도,16,5.6953,1349,1405.16,56.16,2.1769,651.418,2.0481,2.612,0.0977,661.4047,16,0,none
P6253Z1G06N24_P6253Z2G10N24,125,지도,16,5.6985,1529,1561.31,32.31,2.0895,721.955,1.8375,2.281,0.063,736.5568,4,0,none
P6253Z1G06N24_P6257Z1G06N24,109,지도,16,5.8315,1413,1652.44,239.44,2.0565,672.173,1.8637,2.3834,0.0611,682.1048,0,0,none
P6253Z1G06N24_P6257Z1G06N24,117,지도,16,5.8342,1503,1692.56,189.56,2.0408,704.757,1.9631,2.5208,0.056,725.8148,0,0,none
P6253Z1G06N24_P6257Z1G06N24,125,지도,16,5.8353,1592,1729.89,137.89,2.4245,743.233,1.8184,2.2886,0.0666,758.094,0,0,none
P6656Z1G06N24_P6661Z2G10N24,109,지도,24,6.1386,1551,1584.0,33.0,2.7196,690.971,1.9707,2.4474,0.0669,713.3211,1,0,none
P6656Z1G06N24_P6661Z2G10N24,117,지도,16,6.1387,1641,1666.39,25.39,2.0309,729.888,1.8272,2.3198,0.0601,757.3938,0,0,none
P6656Z1G06N24_P6661Z2G10N24,125,지도,16,6.1388,1731,1825.68,94.68,2.4796,779.31,1.7715,2.2457,0.046,788.8875,0,0,tier3
P6656Z1G08N20_P6661Z2G10N24,109,지도,16,6.1607,1709,1688.33,-20.67,1.9283,693.154,1.9283,2.4514,0.0532,714.9875,0,0,none
P6656Z1G08N20_P6661Z2G10N24,125,지도,16,6.1633,1888,1974.98,86.98,2.7445,778.888,1.9832,2.5404,0.043,792.573,0,0,none
