case_pair,feed,n,cbc_min,e_core,fr_min,n_gd,gd_wt
P6253Z1G06N24_P6253Z1G08N20,101,141,1452.45,5.8052,1.7517,22.0,7.0
P6253Z1G06N24_P6253Z1G08N20,109,165,1607.2,5.8054,1.7753,22.0,7.0
P6253Z1G06N24_P6253Z1G08N20,117,22,1690.95,5.8052,1.8984,22.0,7.0
P6253Z1G06N24_P6253Z1G08N20,121,34,1808.3,5.806,1.7898,22.0,7.0
P6253Z1G06N24_P6253Z1G08N20,125,152,1738.64,5.8051,1.79,22.0,7.0
P6253Z1G06N24_P6253Z1G08N20,133,174,1799.01,5.8064,1.8238,22.0,7.0
P6253Z1G06N24_P6253Z1G08N20,141,20,1845.48,5.8045,1.9228,22.0,7.0
P6253Z1G08N20_P6257Z1G06N24,101,239,1489.99,5.8536,1.8552,22.0,7.0
P6253Z1G08N20_P6257Z1G06N24,109,233,1600.38,5.8524,1.8727,22.0,7.0
P6253Z1G08N20_P6257Z1G06N24,117,318,1730.25,5.8521,1.7802,22.0,7.0
P6253Z1G08N20_P6257Z1G06N24,121,42,1838.2,5.8511,1.8093,22.0,7.0
P6253Z1G08N20_P6257Z1G06N24,125,276,1803.12,5.8523,1.8076,22.0,7.0
P6253Z1G08N20_P6257Z1G06N24,133,267,1827.96,5.8532,1.7879,22.0,7.0
P6253Z1G08N20_P6257Z1G06N24,141,316,1827.61,5.8528,1.8117,22.0,7.0
P6257Z1G06N24_P6257Z1G10N12,101,162,1720.22,5.9375,1.9043,18.0,8.0
P6257Z1G06N24_P6257Z1G10N12,109,156,1754.29,5.9351,1.896,18.0,8.0
P6257Z1G06N24_P6257Z1G10N12,113,12,1988.39,5.9362,2.1346,18.0,8.0
P6257Z1G06N24_P6257Z1G10N12,117,26,2071.19,5.9365,2.0815,18.0,8.0
P6257Z1G06N24_P6257Z1G10N12,121,32,2061.55,5.9323,2.0499,18.0,8.0
P6257Z1G06N24_P6257Z1G10N12,125,164,2054.52,5.9366,1.8424,18.0,8.0
P6257Z1G06N24_P6257Z1G10N12,129,12,2166.36,5.9417,1.9218,18.0,8.0
P6257Z1G06N24_P6257Z1G10N12,133,161,2027.15,5.9374,1.9096,18.0,8.0
P6257Z1G06N24_P6257Z1G10N12,141,16,2248.01,5.9373,1.8999,18.0,8.0
P6257Z2G06N12_P6257Z2G08N16,101,166,1995.62,5.8706,1.8482,14.0,7.0
P6257Z2G06N12_P6257Z2G08N16,109,138,2107.27,5.8709,2.0258,14.0,7.0
P6257Z2G06N12_P6257Z2G08N16,117,22,2294.89,5.872,1.9682,14.0,7.0
P6257Z2G06N12_P6257Z2G08N16,121,42,2402.91,5.8709,1.9227,14.0,7.0
P6257Z2G06N12_P6257Z2G08N16,125,188,2367.63,5.8702,1.8341,14.0,7.0
P6257Z2G06N12_P6257Z2G08N16,133,204,2427.12,5.8713,1.7986,14.0,7.0
P6257Z2G06N12_P6257Z2G08N16,141,40,2472.97,5.8698,1.8895,14.0,7.0
P6656Z1G06N24_P6656Z1G08N20,101,184,1631.95,6.1574,1.8697,22.0,7.0
P6656Z1G06N24_P6656Z1G08N20,109,304,1720.02,6.1579,1.8774,22.0,7.0
P6656Z1G06N24_P6656Z1G08N20,117,120,1914.5,6.1575,1.8145,22.0,7.0
P6656Z1G06N24_P6656Z1G08N20,121,40,2039.25,6.1603,1.9296,22.0,7.0
P6656Z1G06N24_P6656Z1G08N20,125,214,2015.72,6.158,1.7729,22.0,7.0
P6656Z1G06N24_P6656Z1G08N20,133,229,2000.98,6.1577,1.7729,22.0,7.0
P6656Z1G06N24_P6656Z1G08N20,141,154,2026.4,6.1581,1.765,22.0,7.0
P6656Z1G10N16_P6656Z2G08N12,101,210,2070.86,6.1419,1.8623,14.0,9.0
P6656Z1G10N16_P6656Z2G08N12,109,332,2185.42,6.1416,1.8319,14.0,9.0
P6656Z1G10N16_P6656Z2G08N12,117,143,2361.15,6.1438,1.8666,14.0,9.0
P6656Z1G10N16_P6656Z2G08N12,121,73,2497.27,6.1401,1.9331,14.0,9.0
P6656Z1G10N16_P6656Z2G08N12,125,251,2521.37,6.1428,1.7933,14.0,9.0
P6656Z1G10N16_P6656Z2G08N12,133,226,2557.4,6.1407,1.8003,14.0,9.0
P6656Z1G10N16_P6656Z2G08N12,141,174,2599.64,6.1457,1.8605,14.0,9.0
P6661Z1G06N12_P6661Z1G06N16,101,125,2301.04,6.3417,1.9941,14.0,6.0
P6661Z1G06N12_P6661Z1G06N16,109,165,2440.37,6.3419,1.9076,14.0,6.0
P6661Z1G06N12_P6661Z1G06N16,117,175,2614.23,6.3413,1.8656,14.0,6.0
P6661Z1G06N12_P6661Z1G06N16,121,51,2767.92,6.3418,1.9066,14.0,6.0
P6661Z1G06N12_P6661Z1G06N16,125,131,2736.46,6.342,1.7813,14.0,6.0
P6661Z1G06N12_P6661Z1G06N16,133,130,2833.16,6.3412,1.8468,14.0,6.0
P6661Z1G06N12_P6661Z1G06N16,141,112,2937.12,6.3416,1.8738,14.0,6.0
P6661Z1G08N16_P6661Z1G08N20,101,125,1889.98,6.3045,1.9118,18.0,8.0
P6661Z1G08N16_P6661Z1G08N20,109,196,2053.34,6.3042,1.88,18.0,8.0
P6661Z1G08N16_P6661Z1G08N20,117,184,2214.51,6.305,1.7705,18.0,8.0
P6661Z1G08N16_P6661Z1G08N20,121,51,2350.6,6.3049,1.9296,18.0,8.0
P6661Z1G08N16_P6661Z1G08N20,125,122,2315.02,6.3042,1.8409,18.0,8.0
P6661Z1G08N16_P6661Z1G08N20,133,119,2327.24,6.3042,1.8624,18.0,8.0
P6661Z1G08N16_P6661Z1G08N20,141,137,2379.23,6.3055,1.7596,18.0,8.0
P6661Z1G10N12_P6661Z1G10N20,101,130,1947.98,6.3289,1.9671,16.0,10.0
P6661Z1G10N12_P6661Z1G10N20,109,185,2101.0,6.329,1.8914,16.0,10.0
P6661Z1G10N12_P6661Z1G10N20,117,183,2231.73,6.3294,1.7504,16.0,10.0
P6661Z1G10N12_P6661Z1G10N20,121,48,2327.2,6.3305,1.8423,16.0,10.0
P6661Z1G10N12_P6661Z1G10N20,125,127,2358.65,6.3286,1.7305,16.0,10.0
