pair,e_core,n_gd,gd_wt,spread,already_run,cbc_pred_f101,cbc_pred_f105,cbc_pred_f109,cbc_pred_f117,cbc_pred_f125
P6253Z1G06N24_P6253Z2G06N24,5.6899,24.0,6.0,0.1923,False,1257.4533,1302.415,1347.3768,1437.3003,1527.2239
P6253Z1G06N24_P6253Z2G10N24,5.6944,24.0,8.0,0.1838,False,1259.4989,1304.4607,1349.4224,1439.346,1529.2695
P6253Z1G06N24_P6257Z1G06N24,5.8336,24.0,6.0,0.0951,False,1322.6937,1367.6555,1412.6173,1502.5408,1592.4643
P6656Z1G06N24_P6661Z2G10N24,6.1387,24.0,8.0,0.0066,False,1461.2049,1506.1667,1551.1285,1641.052,1730.9755
P6253Z2G06N24_P6253Z2G10N20,5.6161,22.0,8.0,0.0448,False,1371.0329,1415.9947,1460.9564,1550.88,1640.8035
P6253Z2G10N20_P6253Z2G10N24,5.6205,22.0,10.0,0.0362,False,1372.9934,1417.9551,1462.9169,1552.8404,1642.764
P6253Z1G08N20_P6253Z2G06N24,5.7093,22.0,7.0,0.2312,False,1413.3359,1458.2977,1503.2594,1593.183,1683.1065
P6253Z1G06N24_P6253Z2G10N20,5.7124,22.0,8.0,0.1475,False,1414.7511,1459.7129,1504.6746,1594.5982,1684.5217
P6253Z1G08N20_P6253Z2G10N24,5.7139,22.0,9.0,0.2227,False,1415.4059,1460.3676,1505.3294,1595.2529,1685.1765
P6253Z2G10N20_P6257Z1G06N24,5.7601,22.0,8.0,0.2426,False,1436.3742,1481.3359,1526.2977,1616.2212,1706.1448
P6253Z1G06N24_P6253Z1G08N20,5.8055,22.0,7.0,0.0389,True,1457.0163,1501.9781,1546.9398,1636.8634,1726.7869
P6253Z1G08N20_P6257Z1G06N24,5.8531,22.0,7.0,0.0562,True,1478.6128,1523.5746,1568.5364,1658.4599,1748.3835
P6656Z1G06N24_P6656Z1G08N20,6.1581,22.0,7.0,0.0454,True,1617.0832,1662.045,1707.0068,1796.9303,1886.8538
P6656Z1G08N20_P6661Z2G10N24,6.1615,22.0,9.0,0.0388,False,1618.6127,1663.5745,1708.5363,1798.4598,1888.3833
P6656Z1G06N24_P6661Z1G08N20,6.2109,22.0,7.0,0.1511,False,1641.0589,1686.0207,1730.9824,1820.906,1910.8295
P6656Z1G06N24_P6661Z1G10N20,6.2123,22.0,8.0,0.1541,False,1641.7108,1686.6726,1731.6344,1821.5579,1911.4814
P6661Z1G08N20_P6661Z2G10N24,6.2144,22.0,9.0,0.1445,False,1642.6525,1687.6143,1732.576,1822.4996,1912.4231
P6661Z1G10N20_P6661Z2G10N24,6.2159,22.0,10.0,0.1475,False,1643.3074,1688.2691,1733.2309,1823.1544,1913.078
