cell,e_target,library_id,pair,e_core,feed,is_primary,realizability,anchor_realizability,M_HM_tU,n_store_pair_feed,anchor_library_id,anchor_pair,anchor_e_core,anchor_n_seeded_feeds,anchor_n_store_pair_feed,alpha_B,alpha_C,alpha_source,e_extrapolated,feed_extrapolated,lrm_mean_efpd,lrm_ceil_efpd,lrm_mean_B_cycle,lrm_ceil_B_cycle,lrm_mean_B_d,lrm_ceil_B_d
e5.0_f109,5.0,ga80,E1_E2,5.0,109,True,실현 확인,실현 확인,102.031,177,ga80,E1_E2,5.0,6,177,0.96722,0.973457,fitted,False,False,595.619934,598.253273,23.251195,23.353993,51.408606,51.635892
e5.0_f113,5.0,ga80,E1_E2,5.0,113,True,실현 확인,실현 확인,102.031,134,ga80,E1_E2,5.0,6,134,0.987078,0.994604,fitted,False,False,607.848611,611.249494,23.728566,23.861326,50.606941,50.890084
e5.0_f117,5.0,ga80,E1_E2,5.0,117,True,실현 확인,실현 확인,102.031,501,ga80,E1_E2,5.0,6,501,1.003856,1.014169,fitted,False,False,618.180605,623.273471,24.131895,24.330705,49.707579,50.117094
e5.0_f121,5.0,ga80,E1_E2,5.0,121,True,실현 확인,실현 확인,102.031,1097,ga80,E1_E2,5.0,6,1097,1.019689,1.02784,fitted,False,False,627.930662,631.675199,24.512508,24.658683,48.822433,49.113576
e5.0_f125,5.0,ga80,E1_E2,5.0,125,True,실현 확인,실현 확인,102.031,450,ga80,E1_E2,5.0,6,450,1.047269,1.055388,extrapolated_log_feed,False,True,644.91435,648.604992,25.175499,25.319571,48.538363,48.816133
e5.0_f129,5.0,ga80,E1_E2,5.0,129,True,실현 확인,실현 확인,102.031,20,ga80,E1_E2,5.0,6,20,1.067768,1.075746,extrapolated_log_feed,False,True,657.53827,661.116515,25.668299,25.807983,47.953954,48.214914
e5.1_f109,5.1,ga80,J1_J2,5.1,109,True,실현 확인,실현 확인,102.031,223,ga80,J1_J2,5.1,6,223,0.96722,0.973457,fitted,False,False,607.81968,610.152741,23.727436,23.818512,52.461579,52.662948
e5.1_f113,5.1,ga80,J1_J2,5.1,113,True,실현 확인,실현 확인,102.031,44,ga80,J1_J2,5.1,6,44,0.987078,0.994604,fitted,False,False,620.29883,623.407461,24.214584,24.335936,51.643494,51.902306
e5.1_f117,5.1,ga80,J1_J2,5.1,117,True,실현 확인,실현 확인,102.031,338,ga80,J1_J2,5.1,6,338,1.003856,1.014169,fitted,False,False,630.842449,635.6706,24.626175,24.814652,50.725711,51.11394
e5.1_f121,5.1,ga80,J1_J2,5.1,121,True,실현 확인,실현 확인,102.031,150,ga80,J1_J2,5.1,6,150,1.019689,1.02784,fitted,False,False,640.792211,644.239441,25.014584,25.149153,49.822435,50.090462
e5.1_f125,5.1,ga80,J1_J2,5.1,125,True,실현 확인,실현 확인,102.031,212,ga80,J1_J2,5.1,6,212,1.047269,1.055388,extrapolated_log_feed,False,True,658.123766,661.505974,25.691155,25.823186,49.532547,49.787103
e5.1_f129,5.1,ga80,J1_J2,5.1,129,True,실현 확인,실현 확인,102.031,8,ga80,J1_J2,5.1,6,8,1.067768,1.075746,extrapolated_log_feed,False,True,671.006254,674.266355,26.194048,26.321313,48.936168,49.173925
e5.2_f109,5.2,ga80,K1_K2,5.2,109,True,실현 확인,실현 확인,102.031,135,ga80,K1_K2,5.2,6,135,0.96722,0.973457,fitted,False,False,620.019426,622.05221,24.203677,24.283031,53.514552,53.690004
e5.2_f113,5.2,ga80,K1_K2,5.2,113,True,실현 확인,실현 확인,102.031,79,ga80,K1_K2,5.2,6,79,0.987078,0.994604,fitted,False,False,632.749049,635.565429,24.700603,24.810546,52.680047,52.914527
e5.2_f117,5.2,ga80,K1_K2,5.2,117,True,실현 확인,실현 확인,102.031,201,ga80,K1_K2,5.2,6,201,1.003856,1.014169,fitted,False,False,643.504292,648.067729,25.120455,25.298598,51.743843,52.110787
e5.2_f121,5.2,ga80,K1_K2,5.2,121,True,실현 확인,실현 확인,102.031,416,ga80,K1_K2,5.2,6,416,1.019689,1.02784,fitted,False,False,653.653759,656.803683,25.51666,25.639623,50.822438,51.067348
e5.2_f125,5.2,ga80,K1_K2,5.2,125,True,실현 확인,실현 확인,102.031,67,ga80,K1_K2,5.2,6,67,1.047269,1.055388,extrapolated_log_feed,False,True,671.333181,674.406956,26.206811,26.326801,50.526731,50.758073
e5.2_f129,5.2,ga80,K1_K2,5.2,129,True,실현 확인,실현 확인,102.031,18,ga80,K1_K2,5.2,6,18,1.067768,1.075746,extrapolated_log_feed,False,True,684.474238,687.416196,26.719798,26.834643,49.918381,50.132937
e5.3_f109,5.3,ga80,L1_L2,5.3,109,True,실현 확인,실현 확인,102.031,107,ga80,L1_L2,5.3,6,107,0.96722,0.973457,fitted,False,False,632.219172,633.951678,24.679918,24.74755,54.567526,54.71706
e5.3_f113,5.3,ga80,L1_L2,5.3,113,True,실현 확인,실현 확인,102.031,30,ga80,L1_L2,5.3,6,30,0.987078,0.994604,fitted,False,False,645.199268,647.723397,25.186622,25.285156,53.716601,53.926749
e5.3_f117,5.3,ga80,L1_L2,5.3,117,True,실현 확인,실현 확인,102.031,245,ga80,L1_L2,5.3,6,245,1.003856,1.014169,fitted,False,False,656.166135,660.464858,25.614735,25.782544,52.761976,53.107634
e5.3_f121,5.3,ga80,L1_L2,5.3,121,True,실현 확인,실현 확인,102.031,78,ga80,L1_L2,5.3,6,78,1.019689,1.02784,fitted,False,False,666.515307,669.367926,26.018735,26.130093,51.82244,52.044235
e5.3_f125,5.3,ga80,L1_L2,5.3,125,True,실현 확인,실현 확인,102.031,137,ga80,L1_L2,5.3,6,137,1.047269,1.055388,extrapolated_log_feed,False,True,684.542597,687.307938,26.722466,26.830417,51.520914,51.729043
e5.3_f129,5.3,ga80,L1_L2,5.3,129,True,실현 확인,실현 확인,102.031,14,ga80,L1_L2,5.3,6,14,1.067768,1.075746,extrapolated_log_feed,False,True,697.942223,700.566036,27.245547,27.347972,50.900595,51.091949
e5.4_f109,5.4,ga80,N1_N2,5.4,109,True,실현 확인,실현 확인,102.031,122,ga80,N1_N2,5.4,6,122,0.96722,0.973457,fitted,False,False,644.418918,645.851146,25.156159,25.212069,55.620499,55.744116
e5.4_f113,5.4,ga80,N1_N2,5.4,113,True,실현 확인,실현 확인,102.031,226,ga80,N1_N2,5.4,6,226,0.987078,0.994604,fitted,False,False,657.649487,659.881365,25.672641,25.759766,54.753154,54.938971
e5.4_f117,5.4,ga80,N1_N2,5.4,117,True,실현 확인,실현 확인,102.031,217,ga80,N1_N2,5.4,6,217,1.003856,1.014169,fitted,False,False,668.827979,672.861987,26.109015,26.26649,53.780108,54.10448
e5.4_f121,5.4,ga80,N1_N2,5.4,121,True,실현 확인,실현 확인,102.031,230,ga80,N1_N2,5.4,6,230,1.019689,1.02784,fitted,False,False,679.376856,681.932168,26.520811,26.620563,52.822442,53.021121
