e_target,feed,anchor_pair,n_true,n_fresh,fr_true_min,cbc_true_min,cyclen_q95,joint_tier
5.0,109,E1_E2,277,0,1.4787,994.14,593.869,tier1
5.0,113,E1_E2,134,0,1.6233,1044.53,603.2361,tier2
5.0,117,E1_E2,501,0,1.5368,1070.63,624.045,tier1
5.0,121,E1_E2,1097,0,1.4636,1109.92,638.218,tier1
5.0,125,E1_E2,450,0,1.5085,1133.01,647.7795,tier1
5.0,129,E1_E2,20,0,1.8305,1158.57,657.3171,none
5.1,109,J1_J2,223,0,1.6796,1026.59,591.272,tier3
5.1,113,J1_J2,44,0,1.6,1132.38,610.9462,tier2
5.1,117,J1_J2,338,0,1.5177,1105.57,631.6115,tier1
5.1,121,J1_J2,150,0,1.49,1160.72,645.5023,tier1
5.1,125,J1_J2,212,0,1.5119,1148.14,654.2048,tier1
5.1,129,J1_J2,8,0,1.7795,1226.27,654.715,tier3
5.2,109,K1_K2,135,0,1.7254,1072.66,602.2906,tier3
5.2,113,K1_K2,79,0,1.6116,1186.48,629.6609,tier2
5.2,117,K1_K2,201,0,1.5234,1188.98,646.7,tier1
5.2,121,K1_K2,416,0,1.4902,1255.0,657.111,tier1
5.2,125,K1_K2,67,0,1.5194,1264.55,667.5885,tier1
5.2,129,K1_K2,18,0,1.7657,1249.2,671.3022,tier3
5.3,109,L1_L2,107,0,1.6846,1102.73,609.9644,tier3
5.3,113,L1_L2,30,0,1.7452,1245.06,629.9119,tier3
5.3,117,L1_L2,245,0,1.5409,1216.37,645.4072,tier1
5.3,121,L1_L2,78,0,1.4911,1265.21,663.6815,tier1
5.3,125,L1_L2,137,0,1.5238,1227.19,672.4816,tier1
5.3,129,L1_L2,14,0,1.8469,1334.02,680.5088,none
5.4,109,N1_N2,122,0,1.694,1199.26,626.604,tier3
5.4,113,N1_N2,226,0,1.4961,1217.84,646.5345,tier1
5.4,117,N1_N2,217,0,1.577,1301.63,662.9948,tier2
5.4,121,N1_N2,230,0,1.4932,1352.51,681.8161,tier1
5.4,125,N1_N2,150,0,1.5176,1362.16,690.6453,tier1
5.4,129,N1_N2,22,0,1.7287,1407.09,698.6172,tier3
5.5,109,G3_G4,128,0,1.7616,1290.31,639.5383,tier3
5.5,113,G3_G4,67,0,1.6454,1372.85,659.8361,tier2
5.5,117,G3_G4,144,0,1.6121,1437.61,682.6658,tier2
5.5,121,G3_G4,406,0,1.5114,1420.45,697.922,tier1
5.5,125,G3_G4,390,0,1.5323,1409.75,706.7108,tier1
5.5,129,G3_G4,38,0,1.7539,1487.26,722.2302,tier3
5.6,109,P6253Z2G06N24_P6253Z2G10N24,0,0,,,,
5.6,113,P6253Z2G06N24_P6253Z2G10N24,0,0,,,,
5.6,117,P6253Z2G06N24_P6253Z2G10N24,0,0,,,,
5.6,121,P6253Z2G06N24_P6253Z2G10N24,0,0,,,,
5.6,125,P6253Z2G06N24_P6253Z2G10N24,0,0,,,,
5.6,129,P6253Z2G06N24_P6253Z2G10N24,0,0,,,,
5.7,109,P6253Z2G08N16_P6253Z2G10N20,0,0,,,,
5.7,113,P6253Z2G08N16_P6253Z2G10N20,0,0,,,,
5.7,117,P6253Z2G08N16_P6253Z2G10N20,0,0,,,,
5.7,121,P6253Z2G08N16_P6253Z2G10N20,0,0,,,,
5.7,125,P6253Z2G08N16_P6253Z2G10N20,0,0,,,,
5.7,129,P6253Z2G08N16_P6253Z2G10N20,0,0,,,,
5.8,109,P6253Z1G08N20_P6257Z1G06N24,233,0,1.8727,1600.38,689.6704,none
5.8,113,P6253Z1G08N20_P6257Z1G06N24,0,0,,,,
5.8,117,P6253Z1G08N20_P6257Z1G06N24,318,0,1.7802,1730.25,731.7117,tier3
5.8,121,P6253Z1G08N20_P6257Z1G06N24,42,0,1.8093,1838.2,748.7062,none
5.8,125,P6253Z1G08N20_P6257Z1G06N24,276,0,1.8076,1803.12,760.875,none
5.8,129,P6253Z1G08N20_P6257Z1G06N24,0,0,,,,
5.9,109,P6257Z1G06N24_P6257Z1G10N12,156,0,1.896,1754.29,703.0768,none
5.9,113,P6257Z1G06N24_P6257Z1G10N12,12,0,2.1346,1988.39,720.9264,none
5.9,117,P6257Z1G06N24_P6257Z1G10N12,26,0,2.0815,2071.19,742.0322,none
5.9,121,P6257Z1G06N24_P6257Z1G10N12,32,0,2.0499,2061.55,761.7454,none
5.9,125,P6257Z1G06N24_P6257Z1G10N12,164,0,1.8424,2054.52,777.6648,none
5.9,129,P6257Z1G06N24_P6257Z1G10N12,12,0,1.9218,2166.36,792.4722,none
6.0,109,P6257Z1G10N12_P6656Z2G08N12,0,0,,,,
6.0,113,P6257Z1G10N12_P6656Z2G08N12,0,0,,,,
6.0,117,P6257Z1G10N12_P6656Z2G08N12,0,0,,,,
6.0,121,P6257Z1G10N12_P6656Z2G08N12,0,0,,,,
6.0,125,P6257Z1G10N12_P6656Z2G08N12,0,0,,,,
6.0,129,P6257Z1G10N12_P6656Z2G08N12,0,0,,,,
6.1,109,P6656Z1G10N16_P6656Z2G08N12,332,0,1.8319,2185.42,727.4714,none
6.1,113,P6656Z1G10N16_P6656Z2G08N12,0,0,,,,
6.1,117,P6656Z1G10N16_P6656Z2G08N12,143,0,1.8666,2361.15,768.8628,none
6.1,121,P6656Z1G10N16_P6656Z2G08N12,73,0,1.9331,2497.27,791.6636,none
6.1,125,P6656Z1G10N16_P6656Z2G08N12,251,0,1.7933,2521.37,804.3585,none
6.1,129,P6656Z1G10N16_P6656Z2G08N12,0,0,,,,
6.2,109,P6656Z1G10N16_P6656Z2G08N12,332,0,1.8319,2185.42,727.4714,none
6.2,113,P6656Z1G10N16_P6656Z2G08N12,0,0,,,,
6.2,117,P6656Z1G10N16_P6656Z2G08N12,143,0,1.8666,2361.15,768.8628,none
6.2,121,P6656Z1G10N16_P6656Z2G08N12,73,0,1.9331,2497.27,791.6636,none
6.2,125,P6656Z1G10N16_P6656Z2G08N12,251,0,1.7933,2521.37,804.3585,none
6.2,129,P6656Z1G10N16_P6656Z2G08N12,0,0,,,,
6.3,109,P6661Z1G10N12_P6661Z1G10N20,185,0,1.8914,2101.0,742.156,none
6.3,113,P6661Z1G10N12_P6661Z1G10N20,0,0,,,,
6.3,117,P6661Z1G10N12_P6661Z1G10N20,183,0,1.7504,2231.73,787.655,none
6.3,121,P6661Z1G10N12_P6661Z1G10N20,48,0,1.8423,2327.2,809.4597,none
6.3,125,P6661Z1G10N12_P6661Z1G10N20,127,0,1.7305,2358.65,822.2007,none
6.3,129,P6661Z1G10N12_P6661Z1G10N20,0,0,,,,
6.4,109,P6661Z1G06N12_P6661Z1G06N16,165,0,1.9076,2440.37,760.5802,none
6.4,113,P6661Z1G06N12_P6661Z1G06N16,0,0,,,,
6.4,117,P6661Z1G06N12_P6661Z1G06N16,175,0,1.8656,2614.23,802.511,none
6.4,121,P6661Z1G06N12_P6661Z1G06N16,51,0,1.9066,2767.92,825.8085,none
6.4,125,P6661Z1G06N12_P6661Z1G06N16,131,0,1.7813,2736.46,838.378,none
6.4,129,P6661Z1G06N12_P6661Z1G06N16,0,0,,,,
