cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds,tier_reached,binding_constraint,binding_excess_pct,min_f_r,min_cbc_max,min_f_q,min_ao_abs,n_feasible_tier1,cyclen_tier1,f_r_tier1,sigma_cyclen_tier1,B_cycle_tier1,B_d_tier1,record_id_tier1,n_feasible_tier2,cyclen_tier2,f_r_tier2,sigma_cyclen_tier2,B_cycle_tier2,B_d_tier2,record_id_tier2,n_feasible_tier3,cyclen_tier3,f_r_tier3,sigma_cyclen_tier3,B_cycle_tier3,B_d_tier3,record_id_tier3
e5.3_f109,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6196752366470157,615.3017147558136,615.3017147558136,1.981070097803046,3934,344,1763,107,False,,,0,,,,,159.3,tier2,f_r,4.495176557871972,1.6196752366470157,1140.6549247713103,1.9913985491564508,0.02308172132153171,0,,,,,,,4,609.0957647562338,1.6348993134685796,0.9266863281884402,23.77725060549813,52.571719228670176,f08e571dfc0a3ca0c2d80ed741e65b7e4a35658e50b9784a54e2e01fa0f3cc00,369,614.9723709070188,1.730999731156253,2.3306267827421228,24.006655479480383,53.0789355096768,1c115ed57c6aec4ffb9b22ebc4bde85cb78f70c05fe40d77607e7a147f2dca33
e5.3_f113,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5984601296558312,635.1960740081138,635.1960740081138,1.8418528059424752,763,73,751,30,False,,,0,,,,,164.6,tier2,f_r,3.126459977795548,1.5984601296558312,1194.122507017513,1.955838260361628,0.025235642797574568,0,,,,,,,99,631.0630122397455,1.6477019547047553,0.6857409510085198,24.634785296676768,52.53967483627523,1a4d4ba887fe37dc0a46e901aa130a02ba63adf1af079eeaf00a0fd272e30952,524,631.9219118991944,1.65920853496249,0.7610505108317241,24.668314133403893,52.61118324026848,be5f13695787223efdfc56998cad2c0026367b66b67f9e2e27bd6b8088fa5df4
e5.3_f117,5.3,5.3,1,ga80,L1_L2,5.3,0.0,5.299999999999999,117,0.42337,102.031,1200,1200,11,638.7552274553428,0.7029014846089323,1.544730177239336,1.9318850143947182,1339.462221279427,0.04011182209889548,81.63362092471417,24.93506603983032,51.36197363759921,1.5216610406061348,649.9561872614192,,,3587,330,2213,245,False,9db42bc39331560fc4d212a1dbdf4c5f1e6eae1f4a33ded0561a797f6e4604b1,guided,4,1.5216610406061348,636.2706700350478,2.4845574202950047,0.023069136633201204,197.5,tier1,f_r,-1.828319960894531,1.5216610406061348,1235.0028824631759,1.9066436223170942,0.02353482981443388,11,638.7552274553428,1.544730177239336,0.7029014846089323,24.93506603983032,51.36197363759921,9db42bc39331560fc4d212a1dbdf4c5f1e6eae1f4a33ded0561a797f6e4604b1,515,649.3106884683566,1.6318228040682894,1.3633317533052003,25.347119211573254,52.21073273495004,cdd277511e2e0d73876ebecff5439205c107de04c16773d2fa1beb6ecf522ee2,800,649.3106884683566,1.6318228040682894,1.3633317533052003,25.347119211573254,52.21073273495004,cdd277511e2e0d73876ebecff5439205c107de04c16773d2fa1beb6ecf522ee2
e5.3_f121,5.3,5.3,1,ga80,L1_L2,5.3,0.0,5.3,121,0.42337,102.031,1200,1200,293,663.128764529207,1.2796533925999807,1.5497241616194684,1.9460336113173609,1339.9181521816245,0.047978106133088075,73.63053030879071,25.88653497572024,51.55913164585602,1.4851835484969718,667.5020529544071,,,44292,117,3450,78,True,e8aa6b3ae4f0e140a6054ec4700c388f9674a269b547f3b4827b83511e51cbad,guided,14,1.4851835484969718,654.5357179068343,8.593046622372754,0.06454061312249659,162.1,tier1,f_r,-4.181706548582465,1.4851835484969718,1273.9321682154575,1.8501607440280312,0.026081664284784704,293,663.128764529207,1.5497241616194684,1.2796533925999807,25.88653497572024,51.55913164585602,e8aa6b3ae4f0e140a6054ec4700c388f9674a269b547f3b4827b83511e51cbad,714,664.4793618177489,1.609529840653086,1.1262110471104547,25.939258196032927,51.664142357387895,7ed5dade112e65920d439ac551778a0d371c19d05968dcc58dd1840bc5493af5,877,665.0779104483325,1.743174572693779,1.5985150335924405,25.962623718521264,51.71068029887293,0449d01550f3ef3bea6e36549a3bdc494ebc7993bf3353ef466e44465fd1584b
e5.3_f125,5.3,5.3,1,ga80,L1_L2,5.3,0.0,5.3,125,0.42337,102.031,1200,1200,45,669.4158127149833,1.833716147589568,1.5490008600907919,1.961146283324184,1328.566442225075,0.052202746516122625,72.6413796893734,26.131962261431006,50.38242324003898,1.53234577859272,674.0356618747271,,,4052,371,2200,137,False,42742ee4dc4edeb4b3104c9aab28a99f534128d75b50171b87408d9f014681d0,guided,4,1.53234577859272,668.7776766502378,0.6381360647454812,0.016655081498071933,168.9,tier1,f_r,-1.1389820262761363,1.53234577859272,1280.2045830476459,1.9365567227524783,0.023816143272014284,45,669.4158127149833,1.5490008600907919,1.833716147589568,26.131962261431006,50.38242324003898,42742ee4dc4edeb4b3104c9aab28a99f534128d75b50171b87408d9f014681d0,566,671.2683474128843,1.6116907085334582,1.7367603800858735,26.204279595282443,50.52185105970455,c96b6f59aa72aacdf5013e6ac1cd6271e72253b3696b9d2643b02605dbb6511b,718,671.669866957391,1.6598227530661869,2.4901333313578853,26.219953700054063,50.552070733704234,07267cfa24a28b53e175fe4da1b7cfb42eb11eabe7e0ea5616ba6775755c757d
e5.3_f129,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,129,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5828627961466715,684.5480147584121,684.5480147584121,1.9207858524123842,274,58,262,14,False,,,0,,,,,182.6,tier2,f_r,2.120180396559457,1.5828627961466715,1265.1008503162523,2.0383494584286272,0.02986487353209547,0,,,,,,,163,678.0247143166557,1.644470282852254,1.6928123238844057,26.468027659789108,49.44802066673779,c5762b0449a39ed47234856b6c23aefad581eedc4d78e7fbc0c112bce2dd706b,460,681.8385079104185,1.717234457529138,2.6605652933914445,26.616906590301507,49.72615882374158,8971e89432eaf51a74112c73965e8f59cc118965e2ee4f95169aaa041e7a3365
e5.4_f109,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5779683233664052,629.2245339029308,629.2245339029308,1.8909752866399292,3934,122,1763,122,False,,,0,,,,,180.5,tier2,f_r,1.8044079591229112,1.5779683233664052,1249.682213330128,1.9195823017218119,0.023260274968006964,0,,,,,,,257,627.2528834897765,1.6214819144658386,2.1127706255212035,24.48604943054662,54.1388799335939,51e5423717a5c37f273f5369933b4008cf2ff71859e25f0e628f8d8688ce698b,578,627.8782972807621,1.738250774402075,2.6247923821128247,24.51046368738577,54.19286007944927,4d15c61e192e30a3fe7fdc262d982ca1b643cd224c19a9e3e69df5098a2f8266
e5.4_f113,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,113,0.42337,102.031,1200,1200,255,643.7195384373545,1.3710627824330157,1.5462905915702787,1.9152325301628523,1411.068376954072,0.04117690963876536,87.39179821446857,25.128857678408135,53.593404429171336,1.5145133409443945,647.6041693885232,,,763,270,751,226,False,34e5f73d1e6be6e3f68427cf18803862bc98760bf7eee9f46e8181e46fc4db60,elite,11,1.5145133409443945,638.422683354645,5.296855082709499,0.03177725062588421,183.7,tier1,f_r,-2.2894618745551987,1.5145133409443945,1300.834968655449,1.8543493623457237,0.022492593123072717,255,643.7195384373545,1.5462905915702787,1.3710627824330157,25.128857678408135,53.593404429171336,34e5f73d1e6be6e3f68427cf18803862bc98760bf7eee9f46e8181e46fc4db60,641,644.1496840622569,1.6022406003205538,2.0472654911446626,25.145649258504346,53.629216560172985,0d3b85e76c71aa0f3c32ad43527c4ead4043c8fc3b3ce62d1115543b30f29d2a,782,644.1496840622569,1.6022406003205538,2.0472654911446626,25.145649258504346,53.629216560172985,0d3b85e76c71aa0f3c32ad43527c4ead4043c8fc3b3ce62d1115543b30f29d2a
e5.4_f117,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,117,0.42337,102.031,1200,1200,2,653.3070881333135,1.2224470299114634,1.546586563608261,1.9160825055729462,1406.7034069664105,0.04229070623536955,82.93179497519351,25.503126529062055,52.53208114105944,1.5414505518895671,667.1358485353123,,,3587,217,2213,217,False,c884eddbb117522ba99234bffd55bb3c3674adecfe76f5d31d144cac6d2a7804,elite,2,1.5414505518895671,652.9440934299491,0.362994703364393,0.0051360117186938226,182.3,tier1,f_r,-0.551577297447281,1.5414505518895671,1305.797583717077,1.910095410181816,0.023025365843906083,2,653.3070881333135,1.546586563608261,1.2224470299114634,25.503126529062055,52.53208114105944,c884eddbb117522ba99234bffd55bb3c3674adecfe76f5d31d144cac6d2a7804,369,665.3700640470822,1.6476938572055018,1.7166489321947507,25.974028508596515,53.50205872283556,c41470e93ecc0cdbcd53cdb340fa97ff832fbbb4c7607fcdedbaab40958c43ed,748,665.3700640470822,1.6476938572055018,1.7166489321947507,25.974028508596515,53.50205872283556,c41470e93ecc0cdbcd53cdb340fa97ff832fbbb4c7607fcdedbaab40958c43ed
e5.4_f121,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,121,0.42337,102.031,1200,1200,133,680.0912456801804,1.5590021706309556,1.5494406954892894,1.9352448898913885,1430.5708329857077,0.05035796794688266,74.32765729946418,26.548698774181624,52.87798681469233,1.493717090111148,685.002128605253,,,44292,30448,3450,230,True,274ac30426c5cb8c41c2bbe3da45dda0d264e7a5429c9766290eb5d47d4c5959,elite,14,1.493717090111148,671.7427265861136,8.348519094066774,0.05572360537814136,167.4,tier1,f_r,-3.631155476700132,1.493717090111148,1349.4316511921863,1.856524672075616,0.023051116490015594,133,680.0912456801804,1.5494406954892894,1.5590021706309556,26.548698774181624,52.87798681469233,274ac30426c5cb8c41c2bbe3da45dda0d264e7a5429c9766290eb5d47d4c5959,658,682.7558294429725,1.6229532916248588,2.4783029586217338,26.652716039697513,53.08516169890166,d7979202e155189583bad7caa40f84d301966a48570fc379369d8c483121766e,782,685.002128605253,1.7250399042196691,2.1208305285230686,26.740404743522006,53.25981440651904,f587ec2aa0ab2205cfad3e81eddd40cdfec1f2721a3fe6bccc8ef3b08b080174
