cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds,tier_reached,binding_constraint,binding_excess_pct,min_f_r,min_cbc_max,min_f_q,min_ao_abs,n_feasible_tier1,cyclen_tier1,f_r_tier1,sigma_cyclen_tier1,B_cycle_tier1,B_d_tier1,record_id_tier1,n_feasible_tier2,cyclen_tier2,f_r_tier2,sigma_cyclen_tier2,B_cycle_tier2,B_d_tier2,record_id_tier2,n_feasible_tier3,cyclen_tier3,f_r_tier3,sigma_cyclen_tier3,B_cycle_tier3,B_d_tier3,record_id_tier3
e5.6_f109,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,109,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7921652490674127,661.6205197031251,661.6205197031251,2.027859366242846,3934,0,2171,0,False,,,0,,,,,162.2,tier3,f_r,15.623564455962114,1.7921652490674127,1358.3995729460037,2.241484251495311,0.02499390862251068,0,,,,,,,0,,,,,,,2,657.7114521304255,1.7931410563095949,2.8646218144909605,25.74856064712476,56.93030381611988,cf5269a73890afa02238272daed157fe5b36b98fbc0dca4e3c474cb27d208140
e5.6_f113,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,113,0.42216,101.74,1200,1200,0,,,,,,,,,,1.731239866085388,674.8170557696835,674.8170557696835,2.3689889001395454,763,0,12,0,False,,,0,,,,,165.0,tier3,f_r,11.692894586154058,1.731239866085388,1396.4963567643717,2.180223261784035,0.02304644199078045,0,,,,,,,0,,,,,,,51,672.4177474233279,1.7906702915256205,2.7383701864091776,26.324293265155454,56.142961742499686,cfd7bca1637980fe641e2c80be72fda38c7a5f45d63ad51b3e51b31cac3dda9e
e5.6_f117,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,117,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7319528702151075,691.0981910125439,691.0981910125439,2.3714949553588944,3587,0,1374,0,False,,,0,,,,,199.7,tier3,f_r,11.738894852587567,1.7319528702151075,1395.4467392503489,2.184546145045877,0.02220845098945414,0,,,,,,,0,,,,,,,59,685.1113343049027,1.7763517211823956,1.5810996028231095,26.821230927698945,55.24715088526022,6eea18182e9453fbe1e9d7d565778a30e21e1217d46678308cd7819271aeeaa6
e5.6_f121,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,121,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7004457068471766,708.34689689061,708.34689689061,2.5236453742891745,44292,631,1991,0,True,,,0,,,,,165.7,tier3,f_r,9.7061746353017,1.7004457068471766,1445.2604390686447,2.143908571750324,0.0226827343720234,0,,,,,,,0,,,,,,,317,699.0173287876058,1.7846394419414018,1.6352181277305238,27.365632794409116,54.50510333431898,aa206dd482de86ff8ab0623835d82839beb1183668321e95d7f2f31dad2d4bf8
e5.6_f125,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,125,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7047608062438653,712.6016415640439,712.6016415640439,1.8931184166165873,4052,0,1852,0,False,,,0,,,,,169.8,tier3,f_r,9.984568144765493,1.7047608062438653,1434.5314496121887,2.1524876934344404,0.023632480535456083,0,,,,,,,0,,,,,,,183,704.9051902834373,1.7047608062438653,2.005860118679591,27.596135028050057,53.20534833408051,b9b8913cac9bd98926c6c47945057e2ebc669437867fe47add29441304f27980
e5.6_f129,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,129,0.42216,101.74,1200,1200,0,,,,,,,,,,1.6948575811448972,721.6961480342077,721.6961480342077,2.894114369912903,274,0,12,0,False,,,0,,,,,188.2,tier3,f_r,9.34565039644497,1.6948575811448972,1453.847641941917,2.1513308269733757,0.02256684278005134,0,,,,,,,0,,,,,,,156,712.3243009836604,1.7517102612496802,2.0563643342561564,27.88658370610431,52.098191264892556,23d65792bddfb53b4c1cd3f0a042df8590f22cca563fd53cf40f3d5d55e350c7
e5.7_f109,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,109,0.42375,102.123,1200,1142,0,,,,,,,,,,1.7481957963653136,681.6961020466198,681.6961020466198,1.96856418950343,3934,0,2171,0,False,,,0,,,,,176.6,tier3,f_r,14.920319186249342,1.7481957963653136,1788.0245442767764,2.2137457057389076,0.02295093615484827,0,,,,,,,0,,,,,,,7,670.9424021008416,1.7481957963653136,4.586756263789737,26.168006357471302,57.85770212982187,d55c2f1df8126f7b2c886b9564849bffd1e6f58345d6bbd5bcf6dcd0411dfae7
e5.7_f113,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,113,0.42375,102.123,1200,1139,0,,,,,,,,,,1.7457354725732792,701.3119471531339,701.3119471531339,1.9440872779016658,763,0,12,0,False,,,0,,,,,180.1,tier3,f_r,15.616599440232616,1.7457354725732792,1827.3671505130567,2.2195729391261745,0.023930096446356457,0,,,,,,,0,,,,,,,27,697.8805763419771,1.7843259187320641,3.623790187070522,27.21864544749375,58.050385423415875,6af637b1ed8bad4dbfbb78974ae7504552f34cb248fdda8b0b9984d6b5fa8362
e5.7_f117,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,117,0.42375,102.123,1200,1147,0,,,,,,,,,,1.7079441643259479,715.6079407280658,715.6079407280658,1.8059079420690978,3587,0,1374,0,False,,,0,,,,,177.7,tier3,cbc_max,17.350669853689226,1.7079441643259479,1868.4920203368442,2.182903494138258,0.02246178697801195,0,,,,,,,0,,,,,,,209,713.899562713486,1.7874812375567035,3.1384612373776033,27.843415824052673,57.35267703928798,34504c539363c6cd62f77a41b261f806bf9b21df81b2954a8495363ad7ff4197
e5.7_f121,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,121,0.42375,102.123,1200,1138,0,,,,,,,,,,1.6753572533182806,730.5220404911786,730.5220404911786,1.9324609498297751,44292,0,1991,0,True,,,0,,,,,167.3,tier3,cbc_max,19.703871453253562,1.6753572533182806,1915.2619432520569,2.172349082449231,0.024400535070396707,0,,,,,,,0,,,,,,,481,729.3449536822367,1.742349427781453,1.5153564873284764,28.445814908979116,56.65654043854518,db96975535988a6d18f9256f2ea5da83297075198ed62779b40e4484ca965286
e5.7_f125,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,125,0.42375,102.123,1200,1155,0,,,,,,,,,,1.7097119962236924,738.0206675027994,738.0206675027994,2.022193188403522,4052,0,1852,0,False,,,0,,,,,157.7,tier3,cbc_max,19.62406768564331,1.7097119962236924,1913.985082970293,2.2222281112465434,0.023915223750775084,0,,,,,,,0,,,,,,,284,736.2174113833729,1.75775494412114,2.9612171595336,28.713853590469032,55.3603097224243,1facc364f5dc9b9659b5fd32828b4662ac1ec09534e741e99449c9a597994d78
e5.7_f129,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,129,0.42375,102.123,1200,1143,0,,,,,,,,,,1.7094688660763686,747.5623276208345,747.5623276208345,3.199797421383183,274,0,12,0,False,,,0,,,,,161.4,tier3,f_r,20.987589276757966,1.7094688660763686,1928.8201432832827,2.224079095696826,0.023883543449013944,0,,,,,,,0,,,,,,,202,745.9144646008361,1.751366048919009,2.675452748456081,29.092056770725293,54.35027660267283,8fd3a92fce0300564cb4b74fe717caed4d32304dde1a85a189b6a5d6638d64bd
e5.8_f109,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,109,0.42293,101.925,1200,1200,0,,,,,,,,,,1.7404301533718147,692.0583274464825,692.0583274464825,2.0343696695320177,3934,321,2171,165,False,,,0,,,,,158.2,tier3,f_r,12.28581634656869,1.7404301533718147,1583.9161594911643,2.3201014725808378,0.023149097075317773,0,,,,,,,0,,,,,,,44,680.6308238434847,1.7794727590266701,3.437874053882191,26.59743202324562,58.807166216533886,0dd27eb1e62def31c79a83583324489be7175876d27b9b372632ab8ce5389a54
e5.8_f113,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,113,0.42293,101.925,1200,1200,0,,,,,,,,,,1.8252314332978308,711.9913602778564,711.9913602778564,1.9825992493537479,763,0,12,0,False,,,0,,,,,162.3,none,f_r,17.75686666437617,1.8252314332978308,1661.0775271901782,2.320133816010577,0.023440279476553152,0,,,,,,,0,,,,,,,0,,,,,,
e5.8_f117,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,117,0.42293,101.925,1200,1200,0,,,,,,,,,,1.8033658716057075,732.3352376886448,732.3352376886448,2.1372604994365307,3587,234,1374,22,False,,,0,,,,,180.4,none,f_r,16.34618526488436,1.8033658716057075,1692.4444711207955,2.2749001882679205,0.02022712767585931,0,,,,,,,0,,,,,,,0,,,,,,
e5.8_f121,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,121,0.42293,101.925,1200,1200,0,,,,,,,,,,1.7394616336982895,743.6380292599337,743.6380292599337,2.39112934927819,44292,63,1991,34,True,,,0,,,,,147.6,tier3,f_r,12.223331206341248,1.7394616336982895,1710.841639713752,2.219017126637704,0.02232917459112969,0,,,,,,,0,,,,,,,20,735.7996588894026,1.7732890889036839,2.0646718170829836,28.75329874060851,57.26896691311282,d13b0fbc3745bd663d9a1a783cbe50a50e292279ace18755b4c28f28ee80f5e6
e5.8_f125,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,125,0.42293,101.925,1200,1200,0,,,,,,,,,,1.6484949683175456,762.8776810569835,762.8776810569835,2.428270658828773,4052,322,1852,152,False,,,0,,,,,169.9,tier3,cbc_max,14.575387948434582,1.6484949683175456,1682.691050781099,2.1845487375474932,0.021255250122130646,0,,,,,,,0,,,,,,,56,756.7165080610107,1.7812759832819898,1.7480695383995553,29.570679403506993,57.01226988996149,d3cae0a9e79a569044f71957f6ac65c291facbb05c72eb252ea23b23e4ba9dd2
e5.8_f129,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,129,0.42293,101.925,1200,1200,0,,,,,,,,,,1.768911774928549,764.6311823930092,764.6311823930092,2.1757084324955893,274,0,12,0,False,,,0,,,,,145.3,tier3,f_r,14.12334031797089,1.768911774928549,1703.6588727930368,2.25435283965043,0.02192202428842492,0,,,,,,,0,,,,,,,4,753.4587684442166,1.7892991909109763,2.087418036354863,29.443374695915555,55.00661474198177,f3f2b19dd3e364209408c1418294eea9e9e2903874d1afe610ed267f35a385eb
