cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds,tier_reached,binding_constraint,binding_excess_pct,min_f_r,min_cbc_max,min_f_q,min_ao_abs,n_feasible_tier1,cyclen_tier1,f_r_tier1,sigma_cyclen_tier1,B_cycle_tier1,B_d_tier1,record_id_tier1,n_feasible_tier2,cyclen_tier2,f_r_tier2,sigma_cyclen_tier2,B_cycle_tier2,B_d_tier2,record_id_tier2,n_feasible_tier3,cyclen_tier3,f_r_tier3,sigma_cyclen_tier3,B_cycle_tier3,B_d_tier3,record_id_tier3
e5.9_f109,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,109,0.42323,101.998,1200,826,0,,,,,,,,,,1.8337985093264568,700.4360697435029,700.4360697435029,2.9548789102795516,3934,324,2171,0,False,,,0,,,,,162.7,none,cbc_max,27.304828643968683,1.8337985093264568,2003.9951947583068,2.3286276009380478,0.017214921161627896,0,,,,,,,0,,,,,,,0,,,,,,
e5.9_f113,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,113,0.42323,101.998,1200,1053,0,,,,,,,,,,1.8154055942017968,722.2125467515825,722.2125467515825,2.422314116941244,763,12,12,0,False,,,0,,,,,164.3,none,cbc_max,30.671060163240305,1.8154055942017968,2090.736962611845,2.327728675894587,0.023009352511502636,0,,,,,,,0,,,,,,,0,,,,,,
e5.9_f117,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,117,0.42323,101.998,1200,716,0,,,,,,,,,,1.7980594912719876,738.930354653474,738.930354653474,2.4808958332344018,3587,100,1374,0,False,,,0,,,,,198.7,tier3,cbc_max,32.51673727671298,1.7980594912719876,2120.2677964274076,2.306261096229564,0.021528499843374335,0,,,,,,,0,,,,,,,1,723.7373085723591,1.7980594912719876,4.055709463822039,28.261766457531845,58.21440783132628,e4378c1afef7a959fb54027bdfda95dd1213e58619eb976a393ad7fe77c71095
e5.9_f121,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,121,0.42323,101.998,1200,749,0,,,,,,,,,,1.7376050856486853,752.9388920003414,752.9388920003414,4.0542049320194655,44292,82,1991,0,True,,,0,,,,,162.5,tier3,cbc_max,33.23847029186196,1.7376050856486853,2131.815524669791,2.267118266085961,0.024033740748004365,0,,,,,,,0,,,,,,,4,742.3095966251298,1.7376050856486853,1.8146769850334508,28.987009803857045,57.734457543219406,5f5bfc1b1cb5d12d0ce55d9abd82b3f6aeaa0d54fd4bbb923a87422b859d97a4
e5.9_f125,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,125,0.42323,101.998,1200,799,0,,,,,,,,,,1.7523205512589746,769.3355967476372,769.3355967476372,3.0288288565257098,4052,392,1852,0,False,,,0,,,,,170.8,none,cbc_max,36.945870196492756,1.7523205512589746,2191.133923143884,2.313568302695443,0.023198229790904662,0,,,,,,,0,,,,,,,0,,,,,,
e5.9_f129,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,129,0.42323,101.998,1200,915,0,,,,,,,,,,1.7846808302916872,771.8113311254265,771.8113311254265,2.8593366289118984,274,9,12,0,False,,,0,,,,,192.5,none,cbc_max,36.54551821597962,1.7846808302916872,2184.728291455674,2.316636599271109,0.025087812263839986,0,,,,,,,0,,,,,,,0,,,,,,
e6.0_f109,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,109,0.42408,102.203,1200,1132,0,,,,,,,,,,1.7898238052710116,739.6019659334869,739.6019659334869,3.0891852710622247,3934,1,2171,0,False,,,0,,,,,176.3,none,cbc_max,40.39967074797297,1.7898238052710116,2246.3947319675676,2.2931671264005615,0.023154762840946173,0,,,,,,,0,,,,,,,0,,,,,,
e6.0_f113,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,113,0.42408,102.203,1200,1136,0,,,,,,,,,,1.7618212028111135,759.935530270287,759.935530270287,2.503237413791691,763,0,12,0,False,,,0,,,,,179.7,none,cbc_max,44.54194383519538,1.7618212028111135,2312.671101363126,2.29636999981716,0.025235872334754387,0,,,,,,,0,,,,,,,0,,,,,,
e6.0_f117,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,117,0.42408,102.203,1200,1136,0,,,,,,,,,,1.7167444738168367,779.5156936038304,779.5156936038304,2.2864826778958793,3587,0,1374,0,False,,,0,,,,,177.7,none,cbc_max,47.64727160948172,1.7167444738168367,2362.3563457517075,2.2414251563402035,0.02590960951273372,0,,,,,,,0,,,,,,,0,,,,,,
e6.0_f121,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,121,0.42408,102.203,1200,1135,0,,,,,,,,,,1.686734724176829,796.232245451388,796.232245451388,2.076119005439387,44292,0,1991,0,True,,,0,,,,,167.5,none,cbc_max,50.82863081993343,1.686734724176829,2413.258093118935,2.2410540044150626,0.028097363927009705,0,,,,,,,0,,,,,,,0,,,,,,
