cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds,tier_reached,binding_constraint,binding_excess_pct,min_f_r,min_cbc_max,min_f_q,min_ao_abs,n_feasible_tier1,cyclen_tier1,f_r_tier1,sigma_cyclen_tier1,B_cycle_tier1,B_d_tier1,record_id_tier1,n_feasible_tier2,cyclen_tier2,f_r_tier2,sigma_cyclen_tier2,B_cycle_tier2,B_d_tier2,record_id_tier2,n_feasible_tier3,cyclen_tier3,f_r_tier3,sigma_cyclen_tier3,B_cycle_tier3,B_d_tier3,record_id_tier3
e6.2_f109,6.2,6.2,1,paramA,P6656Z1G08N20_P6661Z2G06N16,6.195690111147493,0.029685660833692395,,109,0.42355,102.075,1200,1200,0,,,,,,,,,,1.7695385942256159,745.4428164022257,745.4428164022257,3.264481131734924,3934,717,2171,0,False,,,0,,,,,160.7,tier3,cbc_max,26.933333943757496,1.7695385942256159,1989.1172558703104,2.236942764200373,0.020055761751641827,0,,,,,,,0,,,,,,,2,730.5518969276756,1.7695385942256159,4.276589309325239,28.50631836689343,63.02773143505796,fa5ee466a9102396f2070997214b14a9e3e41ecd49459536a0414e61a12b67f7
e6.2_f113,6.2,6.2,1,paramA,P6656Z1G08N20_P6661Z2G06N16,6.195690111147493,0.029685660833692395,,113,0.42355,102.075,1200,1200,0,,,,,,,,,,1.8496327328088669,763.7414966017718,763.7414966017718,3.8801592893390793,763,0,12,0,False,,,0,,,,,163.0,none,cbc_max,31.558691375041548,1.8496327328088669,2104.9390620006648,2.3693961795033984,0.024533499605922698,0,,,,,,,0,,,,,,,0,,,,,,
e6.2_f117,6.2,6.2,1,paramA,P6656Z1G08N20_P6661Z2G06N16,6.195690111147493,0.029685660833692395,,117,0.42355,102.075,1200,1200,0,,,,,,,,,,1.7208044681559564,785.4674171726294,785.4674171726294,2.0585992407682805,3587,294,1374,0,False,,,0,,,,,198.4,none,cbc_max,34.72559816975427,1.7208044681559564,2155.6095707160684,2.3570577964948214,0.020935216054023147,0,,,,,,,0,,,,,,,0,,,,,,
e6.2_f121,6.2,6.2,1,paramA,P6656Z1G08N20_P6661Z2G06N16,6.195690111147493,0.029685660833692395,,121,0.42355,102.075,1200,1200,0,,,,,,,,,,1.8258866160458715,805.1043028577633,805.1043028577633,2.61095031979863,44292,122,1991,0,True,,,0,,,,,163.2,none,cbc_max,43.2320748244915,1.8258866160458715,2291.713197191864,2.247118396065072,0.027106012817209257,0,,,,,,,0,,,,,,,0,,,,,,
e6.2_f125,6.2,6.2,1,paramA,P6656Z1G08N20_P6661Z2G06N16,6.195690111147493,0.029685660833692395,,125,0.42355,102.075,1200,1200,0,,,,,,,,,,1.698981266066807,820.6578961523848,820.6578961523848,3.3838830221917338,4052,544,1852,0,False,,,0,,,,,169.2,none,cbc_max,43.89139519123149,1.698981266066807,2302.0110931619556,2.2165849585814006,0.02511231238438821,0,,,,,,,0,,,,,,,0,,,,,,
e6.2_f129,6.2,6.2,1,paramA,P6656Z1G08N20_P6661Z2G06N16,6.195690111147493,0.029685660833692395,,129,0.42355,102.075,1200,1200,0,,,,,,,,,,1.8297006620423673,831.2600149799794,831.2600149799794,3.309458836928269,274,0,12,0,False,,,0,,,,,184.7,none,cbc_max,41.912868111111344,1.8297006620423673,2270.6058897777816,2.369158149748768,0.027157593976650095,0,,,,,,,0,,,,,,,0,,,,,,
e6.3_f109,6.3,6.3,1,paramA,P6661Z1G06N16_P6661Z1G08N20,6.303543403452695,0.033970825626910006,,109,0.42339,102.036,1200,1200,0,,,,,,,,,,1.8998163265101369,750.9478540340401,750.9478540340401,3.857640693178703,3934,541,2171,0,False,,,0,,,,,180.3,none,cbc_max,32.52881699899319,1.8998163265101369,2120.461071983891,2.2699290614702567,0.022543325272437523,0,,,,,,,0,,,,,,,0,,,,,,
e6.3_f113,6.3,6.3,1,paramA,P6661Z1G06N16_P6661Z1G08N20,6.303543403452695,0.033970825626910006,,113,0.42339,102.036,1200,1200,0,,,,,,,,,,1.8607212716645005,772.8002455246225,772.8002455246225,2.9811578619521475,763,0,12,0,False,,,0,,,,,182.5,none,cbc_max,34.38934798103035,1.8607212716645005,2150.2295676964854,2.394682092299273,0.021825798899668368,0,,,,,,,0,,,,,,,0,,,,,,
e6.3_f117,6.3,6.3,1,paramA,P6661Z1G06N16_P6661Z1G08N20,6.303543403452695,0.033970825626910006,,117,0.42339,102.036,1200,1200,0,,,,,,,,,,1.7045755878194992,796.4959351573896,796.4959351573896,2.983513165446393,3587,540,1374,0,False,,,0,,,,,178.7,none,cbc_max,40.391337686990106,1.7045755878194992,2246.261402991842,2.2292763091251127,0.023241173652675515,0,,,,,,,0,,,,,,,0,,,,,,
e6.3_f121,6.3,6.3,1,paramA,P6661Z1G06N16_P6661Z1G08N20,6.303543403452695,0.033970825626910006,,121,0.42339,102.036,1200,1200,0,,,,,,,,,,1.7437130748210896,812.288851509495,812.288851509495,3.0329976883512835,44292,150,1991,0,True,,,0,,,,,168.2,none,cbc_max,46.15162731616385,1.7437130748210896,2338.4260370586217,2.2472897255780735,0.027534306940625017,0,,,,,,,0,,,,,,,0,,,,,,
