cell,feed,e_target,e_core_ai,e_core_db,ai_f_r,db_f_r,d_f_r,ai_cyclen,db_cyclen,d_cyclen,ai_B_d,db_B_d,d_B_d,n_db_rows,n_db_tier1,ai_pin_grade,db_pin_grade,db_record_id,ai_record_id,library_id,pair,e_core_pair,M_HM_tU,db_scope,ai_pin_bu,db_pin_bu,db_maxcy_cyclen,db_maxcy_f_r,db_maxcy_B_d,db_maxcy_record_id
e5.0_f109,109,5.0,5.0,5.0,1.515726135299074,1.4787,0.03702613529907417,592.3017143505268,593.148,-0.8462856494732023,51.12220643654904,51.19549874561419,-0.07329230906514539,437,91,red,red,3153f3b39effbf6660082ec4bf8abe0e393bcd2e361743b6809d27839a21ab61,52c2214ddf407df6588dc8d0ffe5caebc9a2aa7fc32a40196b1989f16f72497f,ga80,E1_E2,5.0,102.031,pair_feed,82.02783542833046,82.113,594.791,1.5338,51.33730855436183,1f2855f181e4d86972920eef3667f4af64031ff6a5d060adc8810f4577253f59
e5.0_f113,113,5.0,5.0,,1.5430622161388492,,,607.044119835695,,,50.53996201463886,,,134,0,red,미산출,,6bf0948a24729f3d36bbd4bb5f69087481e44dfe11866021d7ae6452604c373f,ga80,E1_E2,5.0,102.031,pair_feed,82.50478799986307,,,,,
e5.0_f117,117,5.0,5.0,5.0,1.50552132278148,1.5396,-0.03407867721851998,626.9636451423953,617.434,9.529645142395339,50.41381867326973,49.647785854089754,0.7660328191799763,501,4,orange,미산출,9148488cc6c20a5ea4805a9caf39f44f7e40933f00f4058c17b1046486df33ae,8fd56ddf5152af940f479a09697f37c8f1006691708ff28f57beead09d866738,ga80,E1_E2,5.0,102.031,pair_feed,71.14711003834559,,625.866,1.5415,50.32580185308185,7f0eee498b802437493ff5d32b01e01f205867fec49b8ae5382624eb16cf2e6e
e5.0_f125,125,5.0,5.0,5.0,1.488593478833424,1.5085,-0.019906521166575875,639.2197657087029,645.032,-5.812234291297159,48.10976999290949,48.54745337366094,-0.4376833807514515,450,10,orange,미산출,52562dea16bd048c46d8a40d0ce68fd92ec6c7f131780633449b03f863984b7d,bfd665124bbd67ed9fee82a8c5cb079084f5f353eb69c619e2e3438a11e0cc55,ga80,E1_E2,5.0,102.031,pair_feed,68.28775378294836,,645.596,1.5239,48.58990206411776,5575595160aa009935f9f64b1fcf5f79b9fd8a7420e728acba15205b944e55d8
e5.0_f129,129,5.0,5.0,,1.5210886923522764,,,649.8562140489723,,,47.393705309234605,,,20,0,orange,미산출,,ed4d640d99046b72ac961e44e484b734e2ec1c62e41f33c1d7a076dd9ac2393d,ga80,E1_E2,5.0,102.031,pair_feed,69.35676720846462,,,,,
e5.2_f109,109,5.2,,,,,,,,,,,,135,0,미산출,미산출,,,ga80,K1_K2,5.2,102.031,pair_feed,,,,,,
e5.2_f113,113,5.2,5.2,,1.5103243160145885,,,617.206721540762,,,51.38605785406978,,,79,0,red,미산출,,5f05b00154ec909e8d1a183cf05ff1ab977ebe18cec8b06ea0d1b8544d822ed1,ga80,K1_K2,5.2,102.031,pair_feed,83.13223850851416,,,,,
e5.2_f117,117,5.2,5.200000000000001,5.2,1.52982920542339,1.5264,0.0034292054233899805,641.3853021949429,645.122,-3.7366978050570197,51.57345657133333,51.874174253057156,-0.3007176817238246,201,4,red,미산출,13dba3d72e830b488d7f4711603ab400149d422f41de41edc029d650fc738760,b1f3af6918e6538a2a7fa231b3eecf4fbccf92d694685f57662463d724b7643a,ga80,K1_K2,5.2,102.031,pair_feed,76.50867897869549,,645.338,1.5435,51.89154278434062,91db1d2ff1264ec180a1ee8478b44dbf9aeb50cda0a51edaeaa1139869c75476
e5.2_f125,125,5.2,5.2,5.2,1.5229554111740795,1.5194,0.003555411174079426,657.8814088809964,667.665,-9.783591119003518,49.51430628679801,50.250895237329814,-0.7365889505318037,67,12,orange,미산출,ba1addc0b5f93cd590f70b5b833efbe7faafc9a10e01eb8c4438ea9ae4f49035,a96342b4f1e094096c3d84300dab97b4b01f8f082b9af2c9c164e896b4636ff6,ga80,K1_K2,5.2,102.031,pair_feed,70.79988239307409,,668.406,1.5409,50.30666559128107,e3dd47c7b227acb57fe78a0f1f1b2bb5e148872603edeee7f5a40b9147aa93f8
e5.2_f129,129,5.2,5.199999999999999,,1.538903049123018,,,667.0606353125668,,,48.64841558783984,,,18,0,orange,미산출,,795e9d4343bacf6229e3c3d67c63c8419b20df6571c2c160ef9e7c3cb62d165b,ga80,K1_K2,5.2,102.031,pair_feed,71.71738455755435,,,,,
e5.4_f109,109,5.4,,,,,,,,,,,,122,0,미산출,미산출,,,ga80,N1_N2,5.4,102.031,pair_feed,,,,,,
e5.4_f113,113,5.4,5.4,5.4,1.5178551256939516,1.4653,0.0525551256939516,641.2470525574005,642.962,-1.7149474425995095,53.387555565190205,53.53059474341609,-0.14303917822588375,444,157,red,미산출,2bd607967f098460e681473f99a3a9840393639a409d11c40d316fca9cfea99d,79b1ece77628d9fb321c23cd1a076d0aa88fb91881f1697547ce58fea240e290,ga80,N1_N2,5.4,102.031,pair_feed,86.79776051374085,,646.395,1.5225,53.81641339483584,8c825122036aa78a29e879d1163a72f8443650606be6d78540b848b7346b7be2
e5.4_f117,117,5.4,5.4,,1.516354688972214,,,653.8410883768365,,,52.575019821247736,,,217,0,red,미산출,,9291514c61ed57ad7b57b2682374953d5090525dbe9fc4debee6c3083535016e,ga80,N1_N2,5.4,102.031,pair_feed,86.95080813040163,,,,,
e5.4_f125,125,5.4,5.4,5.4,1.5259391126294355,1.5176,0.00833911262943543,682.0946132161785,683.757,-1.6623867838214892,51.33667122894808,51.462037660789356,-0.12536643184127882,150,12,orange,미산출,78062e3fc2c56ba411d3691f820a2712abbef8e5dcff5ecf287f808323c08d8b,11abaf4f0e47de1ce795cfb7726816daf8950721b6f4e22bd4dbc0f87279ddda,ga80,N1_N2,5.4,102.031,pair_feed,72.57532038448468,,690.29,1.5423,51.953734991914224,ea7a9d88d1c944b2c56e99cf465871e2f7be2d9ee1bc5438010a68610b344908
e5.4_f129,129,5.4,5.400000000000001,,1.5370751144003978,,,688.4853115916465,,,50.21090706205375,,,22,0,orange,미산출,,751ee424351926c311300d79323daae0f8bce534f4c9d52a3a5e7e51a8315344,ga80,N1_N2,5.4,102.031,pair_feed,73.873121499446,,,,,
e5.5_f109,109,5.5,,,,,,,,,,,,128,0,미산출,미산출,,,ga80,G3_G4,5.5,102.031,pair_feed,,,,,,
e5.5_f113,113,5.5,5.5,,1.5452475461289374,,,656.9403903361941,,,54.69411742668686,,,67,0,red,미산출,,bd4b8675bf53214d8208ea01d8ebf3a7355942b0d63b7ac9f839481b7080c788,ga80,G3_G4,5.5,102.031,pair_feed,88.53940930820829,,,,,
e5.5_f117,117,5.5,5.5,,1.548040169101798,,,668.1860215764787,,,53.72848839444176,,,144,0,red,미산출,,e95ad1b3edb3894fd62987724a6eaef919e2d8a097aa3b328f492df15fdbfa39,ga80,G3_G4,5.5,102.031,pair_feed,87.02756645803416,,,,,
e5.5_f125,125,5.5,5.5,5.5,1.5469899459670535,1.5323,0.01468994596705353,700.6273333825148,698.853,1.7743333825148966,52.73150435579434,52.59821750322941,0.133286852564936,390,5,orange,미산출,1f5e034456f3d10e59c6839322e64cc356f8b3a346b51c334bd01f2482a77a07,41c46c52fceb55aa22a3e1fc0a5bc53f4a94a92ebd756809019506ee8e8bfe76,ga80,G3_G4,5.5,102.031,pair_feed,73.67690792675823,,700.312,1.5484,52.70802714751398,0129e2b0e5be6de36cfa59bd03aa7b45252a0a0f9a961f6d774ea17909161e5d
e5.5_f129,129,5.5,,,,,,,,,,,,38,0,미산출,미산출,,,ga80,G3_G4,5.5,102.031,pair_feed,,,,,,
e5.9_f109,109,5.9,,,,,,,,,,,,324,0,미산출,미산출,,,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,101.998,ecore_feed_fallback,,,,,,
e5.9_f113,113,5.9,,,,,,,,,,,,12,0,미산출,미산출,,,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,101.998,ecore_feed_fallback,,,,,,
e5.9_f117,117,5.9,,,,,,,,,,,,136,0,미산출,미산출,,,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,101.998,ecore_feed_fallback,,,,,,
e5.9_f125,125,5.9,,,,,,,,,,,,408,0,미산출,미산출,,,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,101.998,ecore_feed_fallback,,,,,,
e5.9_f129,129,5.9,,,,,,,,,,,,9,0,미산출,미산출,,,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,101.998,ecore_feed_fallback,,,,,,
