cell,wave,slot,record_id,converged,p_feas,pred_f_r,act_f_r,pred_cbc,act_cbc,pred_f_q,act_f_q,pred_cyclen,act_cyclen,pred_ao,act_ao
E1_E2_f117,0,exploit,e4581cbc98dbf508ecccbe2204c762f097d2956c7ed313e98c5608b52f7504e0,True,0.0022,1.7366,1.6875,1280.7342,1274.9,2.0073,2.0807,615.1336,616.656,0.0316,0.0389
E1_E2_f117,0,exploit,5aabf67cb917791ea8e6f1f28e2860a9086548503a95cf85985586553dcdeaa8,True,0.0021,1.7374,1.7663,1211.0519,1202.3,2.0103,2.18,618.4391,616.245,0.0435,0.0456
E1_E2_f117,0,exploit,b74b1553ab5abe074ab8bc27f94a1bb6287d6f072c5358810ed89f6d7caf3778,True,0.0,1.7653,1.6973,1326.0492,1353.97,2.0191,2.1339,619.4001,619.484,0.0313,0.0315
E1_E2_f117,0,exploit,6efbf0f32677f07045acc3f70f5333823e207cefc9bbd801cf7b551b8c1692c5,True,0.0006,1.7618,1.7198,1223.153,1227.66,2.0442,2.2029,619.6446,619.324,0.046,0.0485
E1_E2_f117,0,exploit,237b52fd1a6031a1557f801aa40bc50f29dd239a0bdf7f44ef9aaeb1239872dd,True,0.0006,1.7639,1.7304,1311.8521,1322.81,2.0268,2.2026,619.4953,615.726,0.0291,0.0215
E1_E2_f117,0,explore,2afa79f36d22eaccb0dc116e6374f28d6dcae4513df0f0a4169fb1bc9e8c726c,False,0.0,3.7029,,1483.6253,,4.7308,,609.3622,,0.0403,
E1_E2_f117,0,explore,ec2c2fadad37e7f18bfb79c51fe512fdd24a303d546d5eaf0c4bd166671af70b,False,0.0,3.8165,,1406.2754,,5.1319,,604.7693,,0.0471,
E1_E2_f117,0,control,299ecd996de1ef02573157a8c172a33d2c4270ce059af24d3cca938d67feba9f,True,0.0,2.1064,1.9688,1331.0318,1344.4,2.4799,2.561,607.2835,603.876,0.0472,0.0527
E1_E2_f117,1,exploit,4ea85c635440de75f99ce22e1dc86b71f6faf7889f31b0bb7483e4f238be050d,True,0.0,1.744,1.8731,1224.6113,1179.69,2.0053,2.3749,609.0723,606.933,0.0374,0.0361
E1_E2_f117,1,exploit,3ffa810afe50cf1e26a43e1472d3fd30a84a1a73fcac232bef5c0632d560f8f7,True,0.0,1.7453,1.7132,1349.7162,1335.48,2.0374,2.1732,620.2518,620.632,0.034,0.0267
E1_E2_f117,1,exploit,6d84974e7839f5fc304bcbca1f94598fd3c3ae48adc53c9415f006290c5354d7,True,0.0,1.7533,1.6569,1308.5159,1281.06,2.0312,2.0446,614.132,619.783,0.0384,0.0368
E1_E2_f117,1,exploit,6c388063302417634a3c638b8a7f0948c5b6b5938dacf7d4c0bcbb2b88a228c6,True,0.0,1.7571,1.7763,1331.8144,1305.44,2.0351,2.1972,612.1969,618.921,0.0355,0.0385
E1_E2_f117,1,exploit,ea231655c89b5e1b7b2da7ab4fa3e0f47e3e2739f3bf39d81ae08631bdb45dd3,True,0.0,1.7578,1.7118,1370.3289,1321.37,2.0395,2.0734,617.2541,619.092,0.0351,0.026
E1_E2_f117,1,explore,57bd7a2e6aa3c11a16a59fbd74d70fdea3e9a775439b1a8b5e4b2400b20f8ae6,False,0.0,3.0294,,1370.6272,,3.6132,,615.5515,,0.0349,
E1_E2_f117,1,explore,c24ff24687a562fe380eceab3b5e46858bbe15b50933002af390e0f99a40d7aa,False,0.0,3.7719,,1352.4478,,5.0248,,602.0629,,0.0619,
E1_E2_f117,1,control,2829e44e1eb72e425e7cfb10b9040135ac93f6e46478715853a31b15567f9c0b,True,0.0,2.1768,2.1485,1359.3128,1243.35,2.4745,2.7803,613.8737,604.57,0.0386,0.0502
E1_E2_f117,2,exploit,a99789af7e9d3213c7c4e516dbdd061acaf453537d71a9e684fa9f82f17da4be,True,0.0,1.7101,1.7509,1310.6139,1274.39,1.979,2.1626,616.9276,611.663,0.0401,0.0362
E1_E2_f117,2,exploit,a529fb053cbc106f718dab9ec7fb312c2975e836f9a7b3b8494928da3478df30,True,0.0,1.7207,1.8587,1217.3521,1214.3,2.013,2.301,616.573,612.48,0.0426,0.0417
E1_E2_f117,2,exploit,f78a49242c8ebb0fdf26625faa037c168f0059e41a86f543f0538fe5eced1a47,True,0.0,1.7255,1.7895,1322.0541,1317.05,2.0065,2.2548,616.9915,615.531,0.0388,0.0351
E1_E2_f117,2,exploit,3f21d436177456c07f1b9eb162ac481fca13e1a82f97b94e7f3d5ec45ab8d102,True,0.0,1.7294,1.854,1348.8985,1340.36,1.993,2.3589,618.1115,617.635,0.0381,0.0255
E1_E2_f117,2,exploit,1d699bb5abf5d84378ff18a450a11ebe99cf0a021c2d62d3de7c958d10f98d52,True,0.0,1.7316,1.6785,1324.6453,1307.42,2.0187,2.1116,618.4665,619.011,0.0354,0.036
E1_E2_f117,2,explore,396339e74cd33d532e7d2bc348a2a0e0a7ab882833c24767cb46df161c486770,False,0.0,3.9754,,1354.4501,,5.4007,,604.7691,,0.0528,
