record_id,group,role,case_pair,feed,campaign,measured_node_peak_GWd,measured_assembly_avg_GWd,node_over_assembly_ratio,computed_rodavg_max_GWd,rodavg_source,measured_node_over_rodavg_ratio,db_ratio_estimate_rodavg_GWd,db_ratio_estimate_note,verdict_80_rodavg_conditional
c9bc21e9513b86235d1c8a1f81da926ac71f840247ebaa5f87188b336f8c5eca,N1N2_f113,delivery,N1_N2,113,fpcamp_minfr_N1N2_f113,86.189,75.995,1.1341,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,79.174,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
ae1e2004b018eeb534356cd00d7c61ae80040d49c00d195e229b46e5ec8e5224,N1N2_f113,delivery,N1_N2,113,fpcamp_minfr_N1N2_f113,85.26,75.414,1.1306,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,78.321,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
e0aad53068dba5aeb593ce1f650bc74a0431ac068da0feeeba9dd6ec1d8f2939,N1N2_f113,delivery,N1_N2,113,fpcamp_minfr_N1N2_f113,85.296,75.466,1.1303,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,78.354,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
01e0d680c40723c58b85fb92d03cdcb5177464cc1d3231073cb8a448e1b1a600,N1N2_f113,delivery,N1_N2,113,fpcamp_minfr_N1N2_f113,85.439,75.495,1.1317,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,78.485,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
6c5f917021d7013af9f9c821e3e653217133918684b8cc4262a1110719d4f6dc,N1N2_f113,delivery,N1_N2,113,fpcamp_minfr_N1N2_f113,86.778,76.619,1.1326,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,79.715,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
3153f3b39effbf6660082ec4bf8abe0e393bcd2e361743b6809d27839a21ab61,E1E2_f109,delivery,E1_E2,109,fpcamp_minfr_E1E2_f109,82.113,71.486,1.1487,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,75.43,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
2357edd0e2a4dffb79f8c2b0d6713657dff588754f731336ba7f364ac1083456,E1E2_f109,delivery,E1_E2,109,fpcamp_minfr_E1E2_f109,81.996,71.404,1.1483,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,75.322,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
4dba870bae69c4cea0388634983452319ccaed288f3a82616541574256412a5a,E1E2_f109,delivery,E1_E2,109,fpcamp_minfr_E1E2_f109,81.757,71.253,1.1474,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,75.103,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
5370d57034ece958daa1237912dd8ac36919067594e53a4bf49ce17251970d52,E1E2_f109,delivery,E1_E2,109,fpcamp_minfr_E1E2_f109,82.373,71.743,1.1482,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,75.669,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
7887d05bc27dd0adf87ebaa16060835e008029f372afdec01a934afc2a6e395a,E1E2_f109,delivery,E1_E2,109,fpcamp_minfr_E1E2_f109,82.379,71.747,1.1482,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,75.674,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
8009f85bf811b16847cee560c5f1b4395331f2e626e2f2932a4ede955cd472fc,calib_N1N2_f113,calibration,N1_N2,113,fpcamp_minfr_N1N2_f113,80.957,67.662,1.1965,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,74.368,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
66fb45f29bfaa6e3b5478d942e094d71050815c7537bfa74be5330b88c81c2f5,calib_N1N2_f113,calibration,N1_N2,113,fpcamp_minfr_N1N2_f113,81.253,68.023,1.1945,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,74.64,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
e686807638f53614240c81216aac0ef60ffec3d3d239e02b039e75147fae0898,calib_N1N2_f113,calibration,N1_N2,113,fpcamp_minfr_N1N2_f113,87.196,72.288,1.2062,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,80.099,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
5b698770c49168a7e9dbd324a1d233ae0660b285c19ff045e0f73f7e51f6167d,calib_N1N2_f113,calibration,N1_N2,113,fpcamp_minfr_N1N2_f113,86.536,76.432,1.1322,,MAS_PPI_PURGED_0_OF_49_SURVIVE,,79.493,"ESTIMATE ONLY -- DB population axial coefficient 1.0886, NOT an independent measurement",VOID (M1 undefined AND M2 unmeasurable)
