fold,target,d_lo,d_hi,n_pairs,rho_err,delta_err_ratio
legacy_val,ao_abs,1,2,582.0,0.7805657936248532,0.46843804966627844
legacy_val,ao_abs,3,4,1952.0,0.7237466796287259,0.52559805971034
legacy_val,ao_abs,5,6,3958.0,0.6828366022063531,0.5631726181142394
legacy_val,ao_abs,7,10,9804.0,0.5806738479927139,0.647553976134257
legacy_val,ao_abs,11,16,17611.0,0.46847724632320153,0.7290560703243603
legacy_val,ao_abs,17,24,30564.0,0.35784733552751086,0.801344285855018
legacy_val,ao_abs,25,40,107774.0,0.07903298466508735,0.9596702638588488
legacy_val,ao_abs,41,200,602024.0,-0.0651007054417013,1.0320371628200706
legacy_val,cbc_max,1,2,406.0,0.6788731623351929,0.5666805428676787
legacy_val,cbc_max,3,4,1424.0,0.7249511937058525,0.5244509569961213
legacy_val,cbc_max,5,6,2973.0,0.6136367836548491,0.6215812226452396
legacy_val,cbc_max,7,10,7360.0,0.512988792808646,0.6978618826038244
legacy_val,cbc_max,11,16,13864.0,0.3126319158291497,0.8290766455345671
legacy_val,cbc_max,17,24,23289.0,0.026326327179830758,0.9867490424723852
legacy_val,cbc_max,25,40,79723.0,-0.03311222868519596,1.0164212850413925
legacy_val,cbc_max,41,200,156008.0,-0.06238211708511219,1.0307192232053848
legacy_val,cyclen,1,2,582.0,0.563883790961816,0.6603909516628647
legacy_val,cyclen,3,4,1952.0,0.5203224886210696,0.6925875478081672
legacy_val,cyclen,5,6,3958.0,0.4675447546899213,0.7296953099137191
legacy_val,cyclen,7,10,9804.0,0.38702088234305276,0.7829298293314333
legacy_val,cyclen,11,16,17611.0,0.21994077555570818,0.8832096152354161
legacy_val,cyclen,17,24,30564.0,0.2155779023105285,0.8856760681476447
legacy_val,cyclen,25,40,107774.0,0.11079654282991411,0.9429758518488613
legacy_val,cyclen,41,200,602024.0,-0.05083505536534313,1.0251024609107828
legacy_val,f_q,1,2,582.0,0.5980533041833925,0.6339926622734742
legacy_val,f_q,3,4,1952.0,0.6542623030833078,0.5879946402108545
