fold,target,n_cells,median_cell_n,rho_now,err_scale_now,err_scale_for_rho0.99,err_scale_for_rho0.95,err_scale_for_rho0.90,shrink_factor_needed_0.99
new_unseen,cyclen,29,47,0.7258,0.5721,0.0843,0.2369,0.3753,6.79
new_unseen,f_r,29,47,0.8073,0.3641,0.0463,0.1295,0.2085,7.87
new_unseen,f_q,29,47,0.8181,0.3484,0.0382,0.1155,0.1982,9.12
new_unseen,cbc_max,29,47,0.8908,0.3334,0.0893,0.2477,0.4051,3.73
new_unseen,ao_abs,29,47,0.8053,0.5174,0.0817,0.2172,0.3468,6.33
new_unseen,max_assembly_burnup,29,47,0.5145,0.7127,0.0762,0.2143,0.3473,9.35
new_unseen,node_peak,24,14,0.65,0.5336,0.0431,0.1313,0.23,12.39
legacy_val,cyclen,5,1163,0.3301,0.9631,0.1063,0.2521,0.3728,9.06
legacy_val,f_r,5,1163,0.654,0.5754,0.0802,0.1959,0.2888,7.18
legacy_val,f_q,5,1163,0.7122,0.5919,0.0817,0.1947,0.2927,7.24
legacy_val,ao_abs,5,1163,0.3573,0.9267,0.1097,0.2608,0.4023,8.45
legacy_val,max_assembly_burnup,5,1163,0.5997,0.8012,0.1218,0.2912,0.4419,6.58
curr_val,cyclen,36,31,0.8062,0.5602,0.1114,0.2972,0.4562,5.03
curr_val,f_r,36,31,0.9166,0.3465,0.067,0.1858,0.3008,5.18
curr_val,f_q,36,31,0.9219,0.3428,0.0575,0.1578,0.2527,5.96
curr_val,cbc_max,36,31,0.9477,0.2759,0.0996,0.2775,0.4231,2.77
curr_val,ao_abs,36,31,0.8428,0.4909,0.1019,0.2748,0.4265,4.82
curr_val,max_assembly_burnup,36,31,0.5937,0.772,0.1082,0.2955,0.4515,7.13
