cell,target,n_train,model,rep,rho,n_test
A|ebin5.4_f121,cyclen,25,ridge,0,0.8414606876622018,800
A|ebin5.4_f121,cyclen,25,ridge,1,0.8289649872054808,800
A|ebin5.4_f121,cyclen,25,ridge,2,0.8473766974952572,800
A|ebin5.4_f121,cyclen,50,ridge,0,0.8542178104284351,800
A|ebin5.4_f121,cyclen,50,gbt,0,0.6335212720139948,800
A|ebin5.4_f121,cyclen,50,ridge,1,0.8509007658526443,800
A|ebin5.4_f121,cyclen,50,gbt,1,0.6694475639002108,800
A|ebin5.4_f121,cyclen,50,ridge,2,0.8650620667340253,800
A|ebin5.4_f121,cyclen,50,gbt,2,0.6577141495754655,800
A|ebin5.4_f121,cyclen,100,ridge,0,0.867088359164445,800
A|ebin5.4_f121,cyclen,100,gbt,0,0.7775559511774247,800
A|ebin5.4_f121,cyclen,100,ridge,1,0.8568711976511552,800
A|ebin5.4_f121,cyclen,100,gbt,1,0.8191768199965659,800
A|ebin5.4_f121,cyclen,100,ridge,2,0.8685843421196824,800
A|ebin5.4_f121,cyclen,100,gbt,2,0.8351352222816163,800
A|ebin5.4_f121,cyclen,200,ridge,0,0.8778216504418492,800
A|ebin5.4_f121,cyclen,200,gbt,0,0.8552187714316175,800
A|ebin5.4_f121,cyclen,200,ridge,1,0.8795010438581846,800
A|ebin5.4_f121,cyclen,200,gbt,1,0.8597227620180825,800
A|ebin5.4_f121,cyclen,200,ridge,2,0.8674736723048776,800
A|ebin5.4_f121,cyclen,200,gbt,2,0.8567348614535768,800
A|ebin5.4_f121,cyclen,400,ridge,0,0.889235263162522,800
A|ebin5.4_f121,cyclen,400,gbt,0,0.8763697227516682,800
A|ebin5.4_f121,cyclen,400,ridge,1,0.8879887142156212,800
A|ebin5.4_f121,cyclen,400,gbt,1,0.8821207902810179,800
A|ebin5.4_f121,cyclen,400,ridge,2,0.8971039598349065,800
A|ebin5.4_f121,cyclen,400,gbt,2,0.8805664164301109,800
A|ebin5.4_f121,cyclen,800,ridge,0,0.9065182450137281,800
A|ebin5.4_f121,cyclen,800,gbt,0,0.8982121505335519,800
A|ebin5.4_f121,cyclen,800,ridge,1,0.8993397018322041,800
A|ebin5.4_f121,cyclen,800,gbt,1,0.8924329286336417,800
A|ebin5.4_f121,cyclen,800,ridge,2,0.9044128743268717,800
A|ebin5.4_f121,cyclen,800,gbt,2,0.8939817120157297,800
A|ebin5.4_f121,cyclen,1600,ridge,0,0.9049488556864814,800
A|ebin5.4_f121,cyclen,1600,gbt,0,0.9176725448033944,800
A|ebin5.4_f121,cyclen,1600,ridge,1,0.909040557799838,800
A|ebin5.4_f121,cyclen,1600,gbt,1,0.9097151253272929,800
A|ebin5.4_f121,cyclen,1600,ridge,2,0.9090975227382698,800
A|ebin5.4_f121,cyclen,1600,gbt,2,0.9136885616190785,800
A|ebin5.4_f121,cyclen,2400,ridge,0,0.9102084620847725,800
A|ebin5.4_f121,cyclen,2400,gbt,0,0.922578302050013,800
A|ebin5.4_f121,cyclen,2400,ridge,1,0.9102084620847725,800
A|ebin5.4_f121,cyclen,2400,gbt,1,0.9240266022395328,800
A|ebin5.4_f121,cyclen,2400,ridge,2,0.9102084620847725,800
A|ebin5.4_f121,cyclen,2400,gbt,2,0.92083911405587,800
A|ebin5.4_f121,f_r,25,ridge,0,0.4951575487740565,800
A|ebin5.4_f121,f_r,25,ridge,1,0.3790804110159981,800
A|ebin5.4_f121,f_r,25,ridge,2,0.33714769381464793,800
A|ebin5.4_f121,f_r,50,ridge,0,0.5332031260643211,800
A|ebin5.4_f121,f_r,50,gbt,0,0.4059010389026589,800
A|ebin5.4_f121,f_r,50,ridge,1,0.49611212473602634,800
A|ebin5.4_f121,f_r,50,gbt,1,0.2100855423406478,800
A|ebin5.4_f121,f_r,50,ridge,2,0.5536741321978974,800
A|ebin5.4_f121,f_r,50,gbt,2,0.3838204503364208,800
A|ebin5.4_f121,f_r,100,ridge,0,0.5961923074996448,800
A|ebin5.4_f121,f_r,100,gbt,0,0.45591583554203596,800
A|ebin5.4_f121,f_r,100,ridge,1,0.5003745700199841,800
A|ebin5.4_f121,f_r,100,gbt,1,0.44400173323019476,800
A|ebin5.4_f121,f_r,100,ridge,2,0.44409512349403985,800
A|ebin5.4_f121,f_r,100,gbt,2,0.30242504938247217,800
A|ebin5.4_f121,f_r,200,ridge,0,0.6053643554993812,800
A|ebin5.4_f121,f_r,200,gbt,0,0.5369551881429037,800
A|ebin5.4_f121,f_r,200,ridge,1,0.6011821720807453,800
A|ebin5.4_f121,f_r,200,gbt,1,0.5572412611770562,800
A|ebin5.4_f121,f_r,200,ridge,2,0.5629144303222703,800
A|ebin5.4_f121,f_r,200,gbt,2,0.5532621342827903,800
A|ebin5.4_f121,f_r,400,ridge,0,0.6214468340875018,800
A|ebin5.4_f121,f_r,400,gbt,0,0.6325579881447219,800
A|ebin5.4_f121,f_r,400,ridge,1,0.6019319390749488,800
A|ebin5.4_f121,f_r,400,gbt,1,0.6421031189927362,800
A|ebin5.4_f121,f_r,400,ridge,2,0.6282663152910469,800
A|ebin5.4_f121,f_r,400,gbt,2,0.6665873169091474,800
A|ebin5.4_f121,f_r,800,ridge,0,0.6426398688833767,800
A|ebin5.4_f121,f_r,800,gbt,0,0.6726745488022683,800
A|ebin5.4_f121,f_r,800,ridge,1,0.6413411126053744,800
A|ebin5.4_f121,f_r,800,gbt,1,0.7070537513692846,800
A|ebin5.4_f121,f_r,800,ridge,2,0.6533439938996991,800
A|ebin5.4_f121,f_r,800,gbt,2,0.6582848519916864,800
A|ebin5.4_f121,f_r,1600,ridge,0,0.6703220678733308,800
A|ebin5.4_f121,f_r,1600,gbt,0,0.7572822587998859,800
A|ebin5.4_f121,f_r,1600,ridge,1,0.6839218544276291,800
A|ebin5.4_f121,f_r,1600,gbt,1,0.7380357491448937,800
A|ebin5.4_f121,f_r,1600,ridge,2,0.6699779578699269,800
A|ebin5.4_f121,f_r,1600,gbt,2,0.719938828011517,800
A|ebin5.4_f121,f_r,2400,ridge,0,0.6812533143981662,800
A|ebin5.4_f121,f_r,2400,gbt,0,0.7737173483450065,800
A|ebin5.4_f121,f_r,2400,ridge,1,0.6812533143981662,800
A|ebin5.4_f121,f_r,2400,gbt,1,0.7383557888049677,800
A|ebin5.4_f121,f_r,2400,ridge,2,0.6812533143981662,800
A|ebin5.4_f121,f_r,2400,gbt,2,0.7578911027894426,800
A|ebin5.4_f121,f_q,25,ridge,0,0.47453546543323194,800
A|ebin5.4_f121,f_q,25,ridge,1,0.3243219637838143,800
A|ebin5.4_f121,f_q,25,ridge,2,0.2885974431880356,800
A|ebin5.4_f121,f_q,50,ridge,0,0.5241099325471775,800
A|ebin5.4_f121,f_q,50,gbt,0,0.4042657159836433,800
A|ebin5.4_f121,f_q,50,ridge,1,0.4896748048706116,800
A|ebin5.4_f121,f_q,50,gbt,1,0.18032367023468826,800
A|ebin5.4_f121,f_q,50,ridge,2,0.5437053228819447,800
A|ebin5.4_f121,f_q,50,gbt,2,0.3916760987924419,800
A|ebin5.4_f121,f_q,100,ridge,0,0.5843814694756363,800
A|ebin5.4_f121,f_q,100,gbt,0,0.44462171044613835,800
A|ebin5.4_f121,f_q,100,ridge,1,0.4806643122757701,800
A|ebin5.4_f121,f_q,100,gbt,1,0.3944912444016237,800
A|ebin5.4_f121,f_q,100,ridge,2,0.43025566789632547,800
A|ebin5.4_f121,f_q,100,gbt,2,0.24530415146378073,800
A|ebin5.4_f121,f_q,200,ridge,0,0.5948447615304394,800
A|ebin5.4_f121,f_q,200,gbt,0,0.5393272072751697,800
A|ebin5.4_f121,f_q,200,ridge,1,0.5978159972858998,800
A|ebin5.4_f121,f_q,200,gbt,1,0.569125127210934,800
A|ebin5.4_f121,f_q,200,ridge,2,0.5527735655795408,800
A|ebin5.4_f121,f_q,200,gbt,2,0.5367692346706848,800
A|ebin5.4_f121,f_q,400,ridge,0,0.6159144787072216,800
A|ebin5.4_f121,f_q,400,gbt,0,0.6217164222070476,800
A|ebin5.4_f121,f_q,400,ridge,1,0.6061708750784897,800
A|ebin5.4_f121,f_q,400,gbt,1,0.624068846232693,800
A|ebin5.4_f121,f_q,400,ridge,2,0.6236401487034824,800
A|ebin5.4_f121,f_q,400,gbt,2,0.6415223965815332,800
A|ebin5.4_f121,f_q,800,ridge,0,0.6407129329872845,800
A|ebin5.4_f121,f_q,800,gbt,0,0.696836054861675,800
A|ebin5.4_f121,f_q,800,ridge,1,0.6394120908289501,800
A|ebin5.4_f121,f_q,800,gbt,1,0.7053998215219647,800
A|ebin5.4_f121,f_q,800,ridge,2,0.6492908974687802,800
A|ebin5.4_f121,f_q,800,gbt,2,0.6516059266255401,800
A|ebin5.4_f121,f_q,1600,ridge,0,0.6747150403621288,800
A|ebin5.4_f121,f_q,1600,gbt,0,0.7458428538582678,800
A|ebin5.4_f121,f_q,1600,ridge,1,0.688294248117321,800
A|ebin5.4_f121,f_q,1600,gbt,1,0.7331692740551411,800
A|ebin5.4_f121,f_q,1600,ridge,2,0.6737154409272946,800
A|ebin5.4_f121,f_q,1600,gbt,2,0.7164133451118033,800
A|ebin5.4_f121,f_q,2400,ridge,0,0.6871749648757839,800
A|ebin5.4_f121,f_q,2400,gbt,0,0.7650422234943474,800
A|ebin5.4_f121,f_q,2400,ridge,1,0.6871749648757839,800
A|ebin5.4_f121,f_q,2400,gbt,1,0.7573494597535125,800
A|ebin5.4_f121,f_q,2400,ridge,2,0.6871749648757839,800
A|ebin5.4_f121,f_q,2400,gbt,2,0.7580919431563372,800
A|ebin5.4_f121,cbc_max,25,ridge,0,0.9101607167046949,702
A|ebin5.4_f121,cbc_max,25,ridge,1,0.8867162809330457,702
A|ebin5.4_f121,cbc_max,25,ridge,2,0.8911741747718054,702
A|ebin5.4_f121,cbc_max,50,ridge,0,0.9191035778408065,702
A|ebin5.4_f121,cbc_max,50,gbt,0,0.4108871193217235,702
A|ebin5.4_f121,cbc_max,50,ridge,1,0.8988974815275066,702
A|ebin5.4_f121,cbc_max,50,gbt,1,0.7637004096281255,702
A|ebin5.4_f121,cbc_max,50,ridge,2,0.9080670763754535,702
A|ebin5.4_f121,cbc_max,50,gbt,2,0.6434835483260286,702
A|ebin5.4_f121,cbc_max,100,ridge,0,0.9441343864741112,702
A|ebin5.4_f121,cbc_max,100,gbt,0,0.8847015936515567,702
A|ebin5.4_f121,cbc_max,100,ridge,1,0.935131776417532,702
A|ebin5.4_f121,cbc_max,100,gbt,1,0.8665751018924879,702
A|ebin5.4_f121,cbc_max,100,ridge,2,0.9054277350204966,702
A|ebin5.4_f121,cbc_max,100,gbt,2,0.876396805511006,702
A|ebin5.4_f121,cbc_max,200,ridge,0,0.940901596988055,702
A|ebin5.4_f121,cbc_max,200,gbt,0,0.9210307828974439,702
A|ebin5.4_f121,cbc_max,200,ridge,1,0.9302077889681352,702
A|ebin5.4_f121,cbc_max,200,gbt,1,0.884288771069334,702
A|ebin5.4_f121,cbc_max,200,ridge,2,0.9403040384087261,702
A|ebin5.4_f121,cbc_max,200,gbt,2,0.9040122979759085,702
A|ebin5.4_f121,cbc_max,400,ridge,0,0.9486742638098378,702
A|ebin5.4_f121,cbc_max,400,gbt,0,0.9189766273833265,702
A|ebin5.4_f121,cbc_max,400,ridge,1,0.945414799769448,702
A|ebin5.4_f121,cbc_max,400,gbt,1,0.9227099351327861,702
A|ebin5.4_f121,cbc_max,400,ridge,2,0.9491214528273514,702
A|ebin5.4_f121,cbc_max,400,gbt,2,0.9232056837682543,702
A|ebin5.4_f121,cbc_max,800,ridge,0,0.9546135319719334,702
A|ebin5.4_f121,cbc_max,800,gbt,0,0.953716403762162,702
A|ebin5.4_f121,cbc_max,800,ridge,1,0.953163289524429,702
A|ebin5.4_f121,cbc_max,800,gbt,1,0.9493074518684701,702
A|ebin5.4_f121,cbc_max,800,ridge,2,0.952364943353735,702
A|ebin5.4_f121,cbc_max,800,gbt,2,0.9477591509721722,702
A|ebin5.4_f121,cbc_max,1600,ridge,0,0.9557222083121266,702
A|ebin5.4_f121,cbc_max,1600,gbt,0,0.9610125702888859,702
A|ebin5.4_f121,cbc_max,1600,ridge,1,0.9561063878004507,702
A|ebin5.4_f121,cbc_max,1600,gbt,1,0.9587660295558609,702
A|ebin5.4_f121,cbc_max,1600,ridge,2,0.9551664479616299,702
A|ebin5.4_f121,cbc_max,1600,gbt,2,0.965359128170813,702
A|ebin5.4_f121,cbc_max,2098,ridge,0,0.9557493164580456,702
A|ebin5.4_f121,cbc_max,2098,gbt,0,0.9622484887966928,702
A|ebin5.4_f121,cbc_max,2098,ridge,1,0.9557493164580456,702
A|ebin5.4_f121,cbc_max,2098,gbt,1,0.9654627380180514,702
A|ebin5.4_f121,cbc_max,2098,ridge,2,0.9557493164580456,702
A|ebin5.4_f121,cbc_max,2098,gbt,2,0.9624451845929933,702
A|ebin5.4_f121,ao_abs,25,ridge,0,0.5747718225013098,800
A|ebin5.4_f121,ao_abs,25,ridge,1,0.5359497800287021,800
