cell,target,n_max,rho_at_n_max,exponent_b,fit_r2,n_for_rho0.90,n_for_rho0.95,n_for_rho0.99
A|ebin5.35_f121,ao_abs,2400,0.8472,-0.2339,0.993,7039,36927,1316358
A|ebin5.4_f121,ao_abs,2400,0.7783,-0.282,0.973,12024,47534,920560
A|ebin5.5_f121,ao_abs,2400,0.8867,-0.1772,0.962,3094,27599,3089652
A|ebin5.6_f121,ao_abs,474,0.7558,-0.2525,0.894,5563,25829,707501
P|ebin6.15_f109,ao_abs,305,0.1659,-0.7121,0.478,6789,11701,37844
A|ebin5.35_f121,cbc_max,1996,0.9745,-0.2823,0.961,127,501,9690
A|ebin5.4_f121,cbc_max,2098,0.9634,-0.236,0.988,182,941,32496
A|ebin5.6_f121,cbc_max,474,0.8865,-0.1724,0.913,732,6944,886521
P|ebin6.15_f109,cbc_max,305,0.8111,-0.2909,0.994,1160,4400,77854
A|ebin5.35_f121,cyclen,2400,0.9636,-0.2243,0.994,175,989,41072
A|ebin5.4_f121,cyclen,2400,0.9225,-0.163,0.983,920,9929,1674426
A|ebin5.5_f121,cyclen,2400,0.8474,-0.1733,0.987,9218,86276,10714803
A|ebin5.6_f121,cyclen,474,0.9187,-0.2711,0.95,253,1059,23123
P|ebin5.5_f125,cyclen,220,0.3488,-0.1869,0.413,1307190,10400103,909939284
P|ebin6.15_f109,cyclen,305,0.2447,-2.2964,0.976,715,847,1219
A|ebin5.35_f121,f_q,2400,0.8436,-0.3304,0.943,4066,13144,164945
A|ebin5.4_f121,f_q,2400,0.7602,-0.3162,0.912,11259,38363,539323
A|ebin5.5_f121,f_q,2400,0.891,-0.1813,0.902,2648,22456,2254258
A|ebin5.6_f121,f_q,474,0.8532,-0.3894,0.859,704,1905,16301
P|ebin5.5_f125,f_q,220,0.408,-0.9847,0.984,1094,1623,3792
P|ebin6.15_f109,f_q,305,0.1964,-1.1695,1.0,2241,3122,6380
A|ebin5.35_f121,f_r,2400,0.8428,-0.3153,0.946,4349,14870,210633
A|ebin5.4_f121,f_r,2400,0.7567,-0.2868,0.93,13980,54028,996415
A|ebin5.5_f121,f_r,2400,0.8795,-0.1665,0.921,4018,41234,6245731
A|ebin5.6_f121,f_r,474,0.8551,-0.3522,0.89,740,2224,23871
P|ebin5.5_f125,f_r,220,0.3888,-0.7097,0.975,2197,3793,12317
P|ebin6.15_f109,f_r,305,0.1807,-0.7731,0.985,7320,12086,35632
A|ebin5.35_f121,map_cov,1996,0.8807,-0.3466,0.924,2005,6137,68435
A|ebin5.4_f121,map_cov,2098,0.8243,-0.2523,0.991,7828,36378,998420
A|ebin5.6_f121,map_cov,474,0.8656,-0.2789,0.976,967,3885,77802
A|ebin5.35_f121,max_assembly_burnup,2400,0.8524,-0.4306,0.872,2940,7234,50404
A|ebin5.4_f121,max_assembly_burnup,2400,0.7647,-0.3,0.951,12223,44507,721952
A|ebin5.5_f121,max_assembly_burnup,2400,0.932,-0.181,0.958,585,4982,504179
A|ebin5.6_f121,max_assembly_burnup,474,0.8491,-0.2055,0.98,1448,9555,558065
P|ebin5.5_f125,max_assembly_burnup,220,0.2952,-0.5863,0.797,4589,8890,36984
P|ebin6.15_f109,max_assembly_burnup,305,0.1202,-0.2388,0.007,4576248085,23194308281,767606036016
A|ebin5.35_f121,node_peak,1996,0.8386,-0.3769,0.876,3209,8976,82456
A|ebin5.4_f121,node_peak,2098,0.7857,-0.2641,0.973,10742,46634,1105083
A|ebin5.6_f121,node_peak,474,0.8438,-0.4111,0.85,751,1930,14746
