target,probe,n_pairs,sd_pairdiff,sigma_upper,sigma_cell,lambda_upper,rho_max_lowerbound
cyclen,d1_freshtype,492,0.964317,0.681875,8.173,0.0837,0.99651
cyclen,d2_swap,5520,1.061792,0.7508,8.173,0.0923,0.99577
f_r,d1_freshtype,492,0.041297,0.029202,0.47962,0.061,0.99814
f_r,d2_swap,5520,0.0627,0.044336,0.47962,0.0928,0.99572
f_q,d1_freshtype,492,0.072167,0.05103,0.78554,0.0651,0.99789
f_q,d2_swap,5520,0.088936,0.062888,0.78554,0.0803,0.99679
cbc_max,d1_freshtype,262,6.952411,4.916097,70.376,0.07,0.99756
cbc_max,d2_swap,3337,11.631906,8.225,70.376,0.1177,0.99315
ao_abs,d1_freshtype,489,0.001121,0.000793,0.013837,0.0574,0.99836
ao_abs,d2_swap,5437,0.002326,0.001645,0.013837,0.1197,0.99291
max_assembly_burnup,d1_freshtype,489,0.213969,0.151299,2.9248,0.0518,0.99866
max_assembly_burnup,d2_swap,5437,0.548446,0.38781,2.9248,0.1338,0.99117
node_peak,d1_freshtype,251,0.041597,0.029414,0.19609,0.1517,0.98869
node_peak,d2_swap,3217,0.056015,0.039609,0.19609,0.2062,0.97939
map_cov,d1_freshtype,251,0.006683,0.004725,0.061938,0.0765,0.99709
map_cov,d2_swap,3217,0.015615,0.011042,0.061938,0.1812,0.98398
