d,n,gam,gam_abs,target
1,366,0.07164063026588745,6.556010928961749e-07,ao_abs
2,4537,0.06053445279839676,2.7787050914701343e-06,ao_abs
3,6050,0.13599790720329705,5.967223966942148e-06,ao_abs
4,11965,0.1374939531585978,6.135221897200167e-06,ao_abs
5,17982,0.18213382353164195,8.24276109442776e-06,ao_abs
6,20523,0.22162295312568947,1.020986015689714e-05,ao_abs
7,22504,0.2446376552133099,1.1204331230003555e-05,ao_abs
8,22863,0.27941434289710704,1.295260770677514e-05,ao_abs
9,23010,0.32025143123686395,1.443895436766623e-05,ao_abs
10,23340,0.344158924905137,1.5391956512425023e-05,ao_abs
11,23586,0.3595591963979147,1.560228716187569e-05,ao_abs
12,23879,0.38990720283080976,1.681064135851585e-05,ao_abs
13,23776,0.3999564143477817,1.7194598334454914e-05,ao_abs
14,23492,0.4233135973349863,1.8705917546398775e-05,ao_abs
15,23588,0.427161173952749,1.9230671951839918e-05,ao_abs
16,23466,0.4546946139679379,2.0260766854171993e-05,ao_abs
17,23613,0.47091265825885537,2.0977470461186632e-05,ao_abs
18,23723,0.4910630577499788,2.244722948193736e-05,ao_abs
19,23433,0.5231572342999297,2.3771465454700634e-05,ao_abs
20,23920,0.5283658801714435,2.5272781563545153e-05,ao_abs
21,23804,0.5405301455966423,2.5649905898168374e-05,ao_abs
22,24155,0.5610758878949285,2.6981978886358932e-05,ao_abs
23,23963,0.5781369174565794,2.7201050369319368e-05,ao_abs
24,23998,0.5787292202694538,2.7007576673056086e-05,ao_abs
25,24540,0.59066245879773,2.7400570700896495e-05,ao_abs
26,25141,0.5945608518586727,2.751031661429537e-05,ao_abs
27,25366,0.6001707446540575,2.7783796420405266e-05,ao_abs
28,26215,0.6015861863940205,2.8107465573145148e-05,ao_abs
29,26844,0.6115151668868578,2.771969322753688e-05,ao_abs
30,27410,0.6249869566838167,2.8173727106895292e-05,ao_abs
31,28293,0.6561081633462497,2.9480069098363552e-05,ao_abs
32,29279,0.6542070592932427,2.9479946036408347e-05,ao_abs
33,30787,0.6718651614907991,2.9255370123753532e-05,ao_abs
34,32298,0.6617004095370966,2.8985108985076478e-05,ao_abs
35,33367,0.7100409864811216,2.9929892408667245e-05,ao_abs
36,34770,0.7505839791698623,3.1882740293356344e-05,ao_abs
37,34647,0.7513705050603015,3.393839149132681e-05,ao_abs
38,34737,0.7910307272403803,3.819087917782192e-05,ao_abs
39,33749,0.7929349854621277,4.039845669501319e-05,ao_abs
40,34555,0.7910866122997927,4.0832079438576185e-05,ao_abs
41,37418,0.8425893088269137,4.5677399780854136e-05,ao_abs
42,37974,0.8310012041361281,4.669273911097066e-05,ao_abs
43,42751,0.9380373884616054,5.61911204416271e-05,ao_abs
44,47757,0.847458095987645,5.156182685260799e-05,ao_abs
45,50806,0.838796853647808,5.433349712632367e-05,ao_abs
46,50926,0.890968852128195,5.8743976946942624e-05,ao_abs
47,49293,0.8181710922731779,5.227796411255147e-05,ao_abs
48,58607,0.8673634349313875,5.500607154435477e-05,ao_abs
49,68346,0.9495278688980153,6.452225075351886e-05,ao_abs
50,73860,0.9475682170164927,6.0003196249661515e-05,ao_abs
51,76962,0.9030833106458054,6.173741106000364e-05,ao_abs
52,92467,0.9250147100525139,6.637710588642435e-05,ao_abs
53,113292,0.9068505123204821,6.552082371217737e-05,ao_abs
54,158046,1.0303087453620092,7.341579809042937e-05,ao_abs
55,214391,1.146338997518752,8.218103572444739e-05,ao_abs
56,263887,1.135872739599495,8.73882773118797e-05,ao_abs
57,294842,1.2456767963189317,0.0001002194244205371,ao_abs
58,322993,1.2427507165035014,0.00010084094283777049,ao_abs
59,349181,1.1940408404046627,9.605068606252918e-05,ao_abs
60,353743,1.2403299597872488,0.00010086900152087815,ao_abs
61,306118,1.1867486879213383,9.645374182504786e-05,ao_abs
62,259891,1.1795976945602538,9.924087994582345e-05,ao_abs
63,167506,1.161893721251918,0.0001049450808329254,ao_abs
64,92395,1.1112572151128686,0.00010569076389415011,ao_abs
65,41751,1.158651194486336,0.00011843559759047687,ao_abs
66,14612,1.0036430953290834,0.0001061061569258144,ao_abs
67,3106,1.079743311510564,0.00011900023502897617,ao_abs
68,373,0.6531417557363596,8.457222520107239e-05,ao_abs
69,12,0.35147755388986246,2.4105e-05,ao_abs
1,265,0.02773724950020124,22.760800943396198,cbc_max
2,3021,0.05822202915065206,69.5494371731215,cbc_max
3,3961,0.10325860199122192,111.29774702095433,cbc_max
4,7164,0.1296800278597471,138.22751756700168,cbc_max
5,10377,0.1667179282416608,179.7211607690084,cbc_max
6,11591,0.19323842090347695,208.51803398757662,cbc_max
7,12824,0.21237980825915614,232.73997843496574,cbc_max
