segment,feed,db_n,db_min_f_r,db_best_efpd,db_best_bu,db_max_efpd,db_max_bu,db_best_pair,db_best_split,bias_n,bias_n_tail,f_r_bias_tail,f_r_bias_all,f_r_mae,cyclen_bias,store_min_f_r_true,mesh_min_pred_f_r,mesh_n_feasible,mesh_pred_cyclen,mesh_ceiling_cyclen,mesh_pair,corrected_floor,gap_total,gap_pool,gap_data,gap_search,verdict
5.0,101,56,1.5295,565.1,52.8,565.7,52.85,E1_E2,"E1 x60, E2 x41",100,40,0.025404314427593888,0.0022664461281402494,0.06020499560598678,-0.3469873317301233,1.7536,,-1,,,,,,,0.22409999999999997,,not-in-mesh
5.0,105,90,1.5235,583.2,52.44,586.1,52.69,E1_E2,"E1 x56, E2 x49",40,40,-0.033551234946455503,-0.033551234946455503,0.08017943910032535,0.05288062670695126,1.6878,1.7333460496225033,0,,576.5365123906702,E1_E2,1.7668972845689588,0.2098460496225032,0.2433972845689587,0.1642999999999999,0.07909728456895881,pool-starved
5.0,109,57,1.529,584.3,50.65,601.5,52.13,E5_E6,"E6 x65, E5 x44",100,40,0.019617861835444377,-0.0080795513592325,0.061478873630719647,0.08255914512683603,1.7011,1.565374885957672,0,,592.8294893251727,E1_E2,1.5457570241222276,0.03637488595767202,0.01675702412222768,0.17210000000000014,-0.15534297587777246,model-biased
5.0,113,88,1.5329,612.4,51.2,617.1,51.58,E1_E2,"E2 x69, E1 x44",100,40,0.025879729943367697,0.01123942971650598,0.07239321561414246,0.2588523119611409,1.6233,1.5456686128521286,1,606.8352794099685,609.7196578123089,E1_E2,1.519788882908761,0.012768612852128713,-0.013111117091239022,0.09040000000000004,-0.10351111709123906,model-right
5.0,117,74,1.5224,628.8,50.77,629.5,50.81,E1_E2,"E2 x65, E1 x52",100,40,0.026699301189558305,0.009245735785069613,0.04629067276986458,-0.4036839935345381,1.5368,1.5112959192884816,70,624.2856573627937,627.5767556464664,E1_E2,1.4845966180989234,-0.01110408071151836,-0.03780338190107657,0.014399999999999968,-0.05220338190107654,model-right
5.0,121,96,1.4971,634.6,49.56,637.2,49.76,E3_E4,"E4 x81, E3 x40",100,40,0.027188736632695526,-0.004724451010602953,0.032023220157179295,-0.0773469947684589,1.4636,1.4943275732383727,377,639.1590648023855,641.082402255651,E1_E2,1.4671388366056772,-0.002772426761627367,-0.029961163394322865,-0.033500000000000085,0.0035388366056772202,model-right
5.1,101,435,1.5005,569.1,53.32,573.2,53.6,J1_J2,"J1 x68, J2 x33",100,40,0.023040444641740217,0.0014144795423449085,0.05069485141209412,0.4824244599439226,1.7101,,-1,,,,,,,0.2096,,not-in-mesh
5.1,105,88,1.5323,583.9,52.53,587.6,52.84,J7_J8,"J7 x72, J8 x33",21,21,-0.08956737800315,-0.08956737800315,0.11433905296543892,-0.848188464301004,1.8366,1.663731935120014,0,,585.2936292832526,J1_J2,1.753299313123164,0.13143193512001394,0.220999313123164,0.3043,-0.083300686876836,pool-starved
5.1,109,89,1.5321,608.1,52.66,612.2,53.1,J7_J8,"J7 x60, J8 x49",100,40,0.01586478005140975,-0.007590372047434107,0.049860131490819394,0.059552717928689845,1.6796,1.6049914646076515,0,,599.5590536055421,J1_J2,1.5891266845562417,0.0728914646076515,0.057026684556241714,0.14749999999999996,-0.09047331544375825,pool-starved
5.1,113,89,1.5261,620.6,51.95,623.0,52.08,J1_J2,"J1 x60, J2 x53",44,40,-0.014353807731237117,-0.020400698948309468,0.032874355529486476,0.02165770051159267,1.6,1.5965112641645465,0,,617.2934352083286,J1_J2,1.6108650718957835,0.07041126416454646,0.08476507189578353,0.07390000000000008,0.010865071895783451,pool-starved
