segment,feed,db_n,db_min_f_r,db_best_efpd,db_best_bu,db_max_efpd,db_max_bu,db_best_pair,db_best_split,bias_n,bias_n_tail,f_r_bias_tail,f_r_bias_all,f_r_mae,cyclen_bias,store_min_f_r_true,mesh_min_pred_f_r,mesh_n_feasible,mesh_pred_cyclen,mesh_ceiling_cyclen,mesh_pair,corrected_floor,gap_total,gap_pool,gap_data,gap_search,verdict
5.0,101,56,1.5295,565.1,52.8,565.7,52.85,E1_E2,"E1 x60, E2 x41",100,40,0.018661668268894566,0.0006682642999536581,0.05189212173070181,0.19128745628870092,1.7536,,-1,,,,,,,0.22409999999999997,,not-in-mesh
5.0,105,90,1.5235,583.2,52.44,586.1,52.69,E1_E2,"E1 x56, E2 x49",40,40,-0.032140601246487426,-0.032140601246487426,0.07195414813077668,0.088219831965381,1.6878,1.756544537982637,0,,578.4112624417837,E1_E2,1.7886851392291243,0.2330445379826369,0.26518513922912423,0.1642999999999999,0.10088513922912434,pool-starved
5.0,109,57,1.529,584.3,50.65,601.5,52.13,E5_E6,"E6 x65, E5 x44",100,40,0.03248754486564166,-0.0031457682570841493,0.05770614780179862,0.2630834907625694,1.7011,1.6417162385456034,0,,593.6187967510468,E1_E2,1.6092286936799618,0.11271623854560353,0.08022869367996188,0.17210000000000014,-0.09187130632003826,pool-starved
5.0,113,88,1.5329,612.4,51.2,617.1,51.58,E1_E2,"E2 x69, E1 x44",36,36,-0.036158280504515604,-0.036158280504515604,0.056522194564109035,-0.0619059567832115,1.6233,1.624929014312649,0,,612.0955191448211,E1_E2,1.6610872948171644,0.09202901431264898,0.1281872948171645,0.09040000000000004,0.037787294817164474,pool-starved
5.0,117,74,1.5224,628.8,50.77,629.5,50.81,E1_E2,"E2 x65, E1 x52",100,40,0.04112309082029132,0.010974714344078484,0.049837396744840244,-0.3071857755217172,1.5368,1.5458736731451097,4,619.2372647419263,625.7492064239239,E1_E2,1.5047505823248184,0.02347367314510973,-0.017649417675181578,0.014399999999999968,-0.032049417675181546,model-right
5.0,121,96,1.4971,634.6,49.56,637.2,49.76,E3_E4,"E4 x81, E3 x40",100,40,0.01359646389508024,0.004767364933837661,0.02280144432524102,-0.102034738970508,1.4636,1.481846047887544,448,640.366871660537,642.1769828417029,E1_E2,1.4682495839924636,-0.01525395211245617,-0.02885041600753646,-0.033500000000000085,0.004649583992463624,model-right
5.1,101,435,1.5005,569.1,53.32,573.2,53.6,J1_J2,"J1 x68, J2 x33",100,40,0.020253723682611947,-0.0038220748570610354,0.048838275747723564,0.6715368489548678,1.7101,,-1,,,,,,,0.2096,,not-in-mesh
5.1,105,88,1.5323,583.9,52.53,587.6,52.84,J7_J8,"J7 x72, J8 x33",21,21,-0.11336810367951411,-0.11336810367951411,0.11734705689115078,0.13846855071983555,1.8366,1.6734715147234285,0,,584.6549677482478,J1_J2,1.7868396184029427,0.14117151472342848,0.2545396184029427,0.3043,-0.04976038159705731,pool-starved
5.1,109,89,1.5321,608.1,52.66,612.2,53.1,J7_J8,"J7 x60, J8 x49",100,40,0.018490951281960998,-0.002905016549644339,0.04952832799334482,-0.0551416732617065,1.6796,1.625676749064432,0,,599.1124343437198,J1_J2,1.6071857977824708,0.09357674906443192,0.07508579778247082,0.14749999999999996,-0.07241420221752914,pool-starved
5.1,113,89,1.5261,620.6,51.95,623.0,52.08,J1_J2,"J1 x60, J2 x53",44,40,-0.017986175517942037,-0.02420691759699091,0.03360596836446719,-0.11506569141198497,1.6,1.6066944817242137,0,,617.6701980045443,J1_J2,1.6246806572421557,0.08059448172421368,0.0985806572421557,0.07390000000000008,0.024680657242155624,pool-starved
5.1,117,100,1.518,632.4,51.14,638.1,51.5,J1_J2,"J1 x84, J2 x33",100,40,0.023839891399725387,0.005513605025819859,0.03428416180353378,-0.21158976808305055,1.5177,1.5248541590260491,73,631.3234653516505,632.460643283191,J1_J2,1.5010142676263238,0.006854159026049134,-0.016985732373676177,-0.00029999999999996696,-0.01668573237367621,model-right
5.1,121,95,1.5175,638.3,49.96,644.9,50.4,J1_J2,"J2 x73, J1 x48",100,40,0.009974300975960127,-0.010090764949096345,0.023756014659584358,-0.12297625009494141,1.4712,1.4881824085903064,271,645.2032731897908,646.050876398563,J1_J2,1.4782081076143463,-0.0293175914096937,-0.03929189238565378,-0.04630000000000001,0.007008107614346226,model-right
5.2,101,171,1.5115,581.6,54.47,586.4,54.9,K1_K2,"K1 x60, K2 x41",0,0,,,,,,,-1,,,,,,,,,not-in-mesh
5.2,105,154,1.5227,603.4,54.33,605.0,54.48,K1_K2,"K1 x80, K2 x25",0,0,,,,,,1.6769617258809184,0,,597.5724522204972,K1_K2,,0.15426172588091847,,,,pool-starved
5.2,109,53,1.5409,624.2,54.16,625.1,54.25,K5_K6,"K5 x64, K6 x45",0,0,,,,,,1.669133581034864,0,,614.6490242988326,K1_K2,,0.12823358103486404,,,,pool-starved
5.2,113,28,1.5442,634.4,53.12,637.7,53.37,K5_K6,"K5 x61, K6 x52",55,40,-0.0013163750142869911,-0.005684924382149587,0.02832947290434381,0.10137506147465378,1.6116,1.6083036872855971,0,,631.5590798557732,K1_K2,1.6096200622998842,0.06410368728559712,0.06542006229988417,0.0673999999999999,-0.0019799377001157303,pool-starved
5.2,117,392,1.5168,647.4,52.35,651.2,52.63,K1_K2,"K1 x61, K2 x56",100,40,0.02429274697602401,0.0016886817134102517,0.02462802038122861,-0.1019781388717854,1.5234,1.533562916542596,13,644.8211103263687,647.0001479001692,K1_K2,1.509270169566572,0.016762916542595985,-0.00752983043342792,0.006600000000000161,-0.014129830433428081,model-right
5.2,121,68,1.5231,656.1,51.36,659.3,51.58,K1_K2,"K2 x65, K1 x56",100,40,-0.008123836508720362,-0.015177807280615168,0.03220964236010706,-0.19598938046375453,1.4902,1.4913065300443156,316,657.0641384218587,663.6277903174645,K1_K2,1.499430366553036,-0.03179346995568433,-0.023669633446963934,-0.03289999999999993,0.009230366553035996,model-right
5.3,101,225,1.5137,592.5,55.47,595.4,55.75,L3_L4,"L3 x64, L4 x37",100,40,0.024846782346472595,0.00219792852575033,0.0460720594535611,0.04014508187619412,1.7515,,-1,,,,,,,0.2378,,not-in-mesh
5.3,105,411,1.5059,612.0,55.1,613.4,55.23,L5_L6,"L5 x80, L6 x25",48,40,0.005224319368081548,-0.03454763729353259,0.07102223801841301,0.0010722058402331907,1.8046,1.7486584162115648,0,,595.718721066902,L1_L2,1.7434340968434832,0.2427584162115648,0.23753409684348314,0.29869999999999997,-0.06116590315651682,pool-starved
5.3,109,120,1.5304,635.7,55.16,637.1,55.28,L3_L4,"L3 x60, L4 x49",100,40,0.025993057659347812,0.013679681860459205,0.04433218223717236,0.07031128257480646,1.6846,1.6314712974827996,0,,617.5260657260097,L1_L2,1.6054782398234517,0.10107129748279964,0.07507823982345174,0.15420000000000011,-0.07912176017654837,pool-starved
5.3,113,71,1.5394,646.8,54.13,649.3,54.35,L3_L4,"L3 x61, L4 x52",73,40,0.020528157666187024,-0.025923668405500803,0.055840055539753485,0.01278886039178877,1.7452,1.6868018545265278,0,,632.9361073583808,L1_L2,1.6662736968603407,0.14740185452652765,0.12687369686034056,0.20579999999999998,-0.07892630313965943,pool-starved
5.3,117,145,1.5315,649.2,42.44,661.3,53.47,L1_L2,"L2 x60, L1 x57",100,40,0.010922435873801544,0.01141201418164889,0.033018555502472416,-0.03654985691601951,1.5409,1.5462264495685694,2,642.6073599696017,649.6470178302255,L1_L2,1.5353040136947678,0.014726449568569278,0.003804013694767683,0.009399999999999853,-0.00559598630523217,model-right
5.3,121,99,1.5198,661.8,51.79,671.2,52.5,L1_L2,"L1 x61, L2 x60",100,40,0.003615347759015247,-0.01168377706961336,0.018949175289561023,0.09151476793246502,1.4911,1.4861944644559182,403,663.0178378481761,667.1621135296189,L1_L2,1.482579116696903,-0.033605535544081855,-0.03722088330309714,-0.028699999999999948,-0.008520883303097193,model-right
5.4,101,204,1.4958,603.7,56.55,610.7,57.18,N3_N4,"N3 x64, N4 x37",87,40,0.03328056426555439,-0.04088795114535555,0.07888991037007308,0.436795730507207,1.7471,,-1,,,,,,,0.2513000000000001,,not-in-mesh
5.4,105,242,1.5024,621.3,55.99,627.6,56.52,N1_N2,"N1 x64, N2 x41",52,40,0.005464340643382038,-0.0013470347422599106,0.0418444333676921,0.1485875894817901,1.7533,1.7031983005395674,0,,610.7612644629203,N1_N2,1.6977339598961854,0.2007983005395675,0.1953339598961854,0.2509000000000001,-0.05556604010381472,pool-starved
5.4,109,142,1.538,649.9,56.4,649.9,56.41,N3_N4,"N3 x60, N4 x49",100,40,0.0236652390526296,-0.007813812203603604,0.05134021775373096,0.09275656571747959,1.694,1.6603930096477086,0,,630.9559127603106,N1_N2,1.6367277705950791,0.1223930096477086,0.09872777059507909,0.15599999999999992,-0.05727222940492083,pool-starved
5.4,113,23,1.5374,659.7,55.24,660.8,55.35,N1_N2,"N1 x61, N2 x52",76,40,0.0291808922628978,-0.020098576075294115,0.058971734709725165,0.08193501100486114,1.7699,1.6931041498885688,0,,650.2277931918956,N1_N2,1.663923257625671,0.15570414988856873,0.12652325762567096,0.23249999999999993,-0.10597674237432897,pool-starved
5.4,117,80,1.5249,675.8,54.64,676.2,54.67,N3_N4,"N3 x60, N4 x57",100,40,0.002437794599115406,0.005109743318787394,0.037536451280537335,-0.1563895688566265,1.577,1.5625737683976904,0,,666.5666686837162,N1_N2,1.560135973798575,0.03767376839769043,0.035235973798575015,0.052100000000000035,-0.01686402620142502,pool-starved
5.4,121,78,1.5202,680.8,53.28,685.9,53.67,N1_N2,"N2 x61, N1 x60",100,40,0.014919306877796601,-0.0030989570692970345,0.029727221608259528,-0.10216793471235974,1.4932,1.4942991265770451,174,679.8446282840704,682.3453072047196,N1_N2,1.4793798196992485,-0.025900873422954884,-0.04082018030075152,-0.026999999999999913,-0.013820180300751606,model-right
5.5,101,180,1.5104,612.4,57.38,620.6,58.1,H3_H4,"H3 x60, H4 x41",100,40,0.030529781717436276,0.0007195808276172233,0.06034014076055782,0.4134560486939381,1.7488,,-1,,,,,,,0.23839999999999995,,not-in-mesh
5.5,105,190,1.511,630.0,56.7,639.6,57.59,H3_H4,"H3 x68, H4 x37",100,40,0.014269528650960688,-0.003671225687459778,0.04771217363663967,-0.11382023646297626,1.7361,1.6941981683950469,0,,627.8643313330631,G3_G4,1.6799286397440862,0.183198168395047,0.16892863974408634,0.22510000000000008,-0.05617136025591374,pool-starved
5.5,109,19,1.5449,661.6,57.41,662.1,57.46,G3_G4,"G3 x56, G4 x53",100,40,0.015268109225508687,0.00035456436338243913,0.043808916513307795,0.220617178259713,1.706,1.6561076746440375,0,,645.062909068241,G3_G4,1.6408395654185288,0.11120767464403758,0.09593956541852888,0.16110000000000002,-0.06516043458147114,pool-starved
5.5,113,16,1.545,665.3,55.72,676.1,56.58,H3_H4,"H4 x57, H3 x56",100,40,0.018013709699395093,0.004061652796936901,0.038585437089970205,0.09488323716041919,1.6454,1.624628617471516,0,,663.106064466302,G3_G4,1.606614907772121,0.07962861747151617,0.061614907772121086,0.10040000000000004,-0.03878509222787896,pool-starved
5.5,117,31,1.5346,677.7,54.84,683.2,55.25,H3_H4,"H4 x64, H3 x53",100,40,0.015101099784528938,-0.0022822370842219717,0.039235123964929265,-0.281651053718457,1.6121,1.6067170504088095,0,,685.9766253720804,G3_G4,1.5916159506242806,0.07211705040880956,0.057015950624280665,0.07750000000000012,-0.02048404937571946,pool-starved
5.5,121,70,1.5168,689.7,53.97,699.1,54.7,H3_H4,"H4 x61, H3 x60",100,40,0.028950713194539207,0.013113407087560624,0.03655676339987728,-0.3152322519407801,1.4972,1.5222505678616278,54,691.680848109851,700.764161457313,G3_G4,1.4932998546670886,0.005450567861627897,-0.023500145332911337,-0.01959999999999984,-0.0039001453329114977,model-right
