segment,feed,db_n,db_min_f_r,db_best_efpd,db_best_bu,db_max_efpd,db_max_bu,db_best_pair,db_best_split,bias_n,bias_n_tail,f_r_bias_tail,f_r_bias_all,f_r_mae,cyclen_bias,store_min_f_r_true,mesh_min_pred_f_r,mesh_n_feasible,mesh_pred_cyclen,mesh_ceiling_cyclen,mesh_pair,corrected_floor,gap_total,gap_pool,gap_data,gap_search,verdict
5.0,101,56,1.5295,565.1,52.8,565.7,52.85,E1_E2,"E1 x60, E2 x41",100,40,0.04044929607648366,0.009101575300208718,0.05696294319389561,0.008234102482234676,1.7536,,-1,,,,,,,0.22409999999999997,,not-in-mesh
5.0,105,90,1.5235,583.2,52.44,586.1,52.69,E1_E2,"E1 x56, E2 x49",40,40,-0.03195271069524713,-0.03195271069524713,0.06407329277842337,-0.09237508624589452,1.6878,1.7398870915172724,0,,575.5579871098826,E1_E2,1.7718398022125195,0.2163870915172723,0.2483398022125194,0.1642999999999999,0.0840398022125195,pool-starved
5.0,109,57,1.529,584.3,50.65,601.5,52.13,E5_E6,"E6 x65, E5 x44",100,40,0.03806977618397456,0.0036037561127641826,0.06290338518953614,0.2877062677451977,1.7011,1.5951457530764537,0,,590.9647637737546,E1_E2,1.5570759768924791,0.06614575307645376,0.028075976892479204,0.17210000000000014,-0.14402402310752094,pool-starved
5.0,113,88,1.5329,612.4,51.2,617.1,51.58,E1_E2,"E2 x69, E1 x44",100,40,0.021738971491329123,0.010434081540978619,0.0642273882939381,0.17638652062883695,1.6233,1.599208905694612,0,,609.3974423515538,E1_E2,1.5774699342032827,0.06630890569461201,0.04456993420328281,0.09040000000000004,-0.04583006579671722,pool-starved
5.0,117,74,1.5224,628.8,50.77,629.5,50.81,E1_E2,"E2 x65, E1 x52",100,40,0.040535542479803156,0.011896924885041111,0.050075434520872354,-0.5445219091610841,1.5368,1.528236279030867,3,623.7502106261685,629.6851612107752,E1_E2,1.487700736551064,0.005836279030867031,-0.034699263448936035,0.014399999999999968,-0.049099263448936004,model-right
5.0,121,96,1.4971,634.6,49.56,637.2,49.76,E3_E4,"E4 x81, E3 x40",100,40,0.02870504008905501,-0.0019836377777967804,0.031396255713774184,0.09825063405085074,1.4636,1.4948761613660753,388,639.8273875255527,642.1118275983797,E1_E2,1.4661711212770203,-0.002223838633924835,-0.03092887872297978,-0.033500000000000085,0.002571121277020305,model-right
5.1,101,435,1.5005,569.1,53.32,573.2,53.6,J1_J2,"J1 x68, J2 x33",100,40,0.027512646819791563,0.0006579127499178394,0.046750024314043445,0.5710468137382111,1.7101,,-1,,,,,,,0.2096,,not-in-mesh
5.1,105,88,1.5323,583.9,52.53,587.6,52.84,J7_J8,"J7 x72, J8 x33",21,21,-0.10201864546289,-0.10201864546289,0.10839315555942378,-0.5238947956427615,1.8366,1.6725759263783515,0,,586.2398051154493,J1_J2,1.7745945718412415,0.1402759263783515,0.24229457184124148,0.3043,-0.062005428158758535,pool-starved
5.1,109,89,1.5321,608.1,52.66,612.2,53.1,J7_J8,"J7 x60, J8 x49",100,40,0.032766594068072065,-0.0021133277028681464,0.05414914034164288,0.09064536598517861,1.6796,1.6553170197715878,0,,599.6568713461998,J1_J2,1.6225504257035157,0.12321701977158783,0.09045042570351569,0.14749999999999996,-0.05704957429648427,pool-starved
5.1,113,89,1.5261,620.6,51.95,623.0,52.08,J1_J2,"J1 x60, J2 x53",44,40,-0.014435914771100383,-0.01966215206139577,0.0318849220105227,0.10070974712891712,1.6,1.5978009484048092,0,,618.3890814382248,J1_J2,1.6122368631759096,0.07170094840480923,0.08613686317590963,0.07390000000000008,0.012236863175909551,pool-starved
5.1,117,100,1.518,632.4,51.14,638.1,51.5,J1_J2,"J1 x84, J2 x33",100,40,0.017392920772493305,0.004818598962778336,0.03311393252108635,-0.3067716836338207,1.5177,1.5233669441108697,113,632.0882028385686,632.8053414060885,J1_J2,1.5059740233383765,0.005366944110869687,-0.012025976661623528,-0.00029999999999996696,-0.01172597666162356,model-right
5.1,121,95,1.5175,638.3,49.96,644.9,50.4,J1_J2,"J2 x73, J1 x48",100,40,0.01152283518636325,-0.006871501983853827,0.02310314850173151,-0.09812322903438712,1.4712,1.4925951213912327,304,646.6705055178052,648.5744855481015,J1_J2,1.4810722862048695,-0.024904878608767334,-0.036427713795130545,-0.04630000000000001,0.009872286204869463,model-right
5.2,101,171,1.5115,581.6,54.47,586.4,54.9,K1_K2,"K1 x60, K2 x41",0,0,,,,,,,-1,,,,,,,,,not-in-mesh
5.2,105,154,1.5227,603.4,54.33,605.0,54.48,K1_K2,"K1 x80, K2 x25",0,0,,,,,,1.6987949075642812,0,,594.8674634841498,K1_K2,,0.17609490756428126,,,,pool-starved
5.2,109,53,1.5409,624.2,54.16,625.1,54.25,K5_K6,"K5 x64, K6 x45",100,40,0.03411602326246431,0.006904251672291108,0.06249914624211262,0.0026884213275786806,1.7254,1.6658650160673107,0,,609.4237916948102,K1_K2,1.6317489928048465,0.12496501606731081,0.0908489928048466,0.1845000000000001,-0.09365100719515351,pool-starved
5.2,113,28,1.5442,634.4,53.12,637.7,53.37,K5_K6,"K5 x61, K6 x52",55,40,0.0006078750107652908,-0.017132865190118855,0.03953962866936135,-0.00026227017993443784,1.6116,1.6204618416403975,0,,631.1860111566465,K1_K2,1.6198539666296323,0.07626184164039751,0.07565396662963231,0.0673999999999999,0.008253966629632403,pool-starved
5.2,117,392,1.5168,647.4,52.35,651.2,52.63,K1_K2,"K1 x61, K2 x56",100,40,0.02193430105524192,2.2678847408974523e-05,0.024631269510256536,-0.15526015003532392,1.5234,1.5271231783394796,46,646.3231067213015,647.1745796579042,K1_K2,1.5051888772842377,0.01032317833947971,-0.011611122715762257,0.006600000000000161,-0.018211122715762418,model-right
5.2,121,68,1.5231,656.1,51.36,659.3,51.58,K1_K2,"K2 x65, K1 x56",100,40,-0.006708052150173805,-0.0127394271105317,0.02991558775672007,-0.5086045056969601,1.4902,1.4965616224724694,287,657.3277216206272,659.7454417061832,K1_K2,1.5032696746226433,-0.02653837752753052,-0.019830325377356628,-0.03289999999999993,0.013069674622643301,model-right
5.3,101,225,1.5137,592.5,55.47,595.4,55.75,L3_L4,"L3 x64, L4 x37",100,40,0.03408841561343402,0.007948214510348248,0.051682210154600464,0.2023003894213207,1.7515,,-1,,,,,,,0.2378,,not-in-mesh
5.3,105,411,1.5059,612.0,55.1,613.4,55.23,L5_L6,"L5 x80, L6 x25",48,40,0.01421061805451918,-0.018629401414171534,0.06295937063619073,-0.1305020475528451,1.8046,1.757394362126364,0,,594.4593469809286,L1_L2,1.7431837440718447,0.2514943621263639,0.23728374407184472,0.29869999999999997,-0.06141625592815525,pool-starved
5.3,109,120,1.5304,635.7,55.16,637.1,55.28,L3_L4,"L3 x60, L4 x49",100,40,0.04285781744771235,0.016561123690911173,0.05326005788619719,-0.049635802411057736,1.6846,1.6702276858935128,0,,614.5930744829932,L1_L2,1.6273698684458004,0.1398276858935128,0.09696986844580047,0.15420000000000011,-0.05723013155419965,pool-starved
5.3,113,71,1.5394,646.8,54.13,649.3,54.35,L3_L4,"L3 x61, L4 x52",73,40,0.018058934803086617,-0.020453893174823507,0.05135934917604868,0.07678580072323188,1.7452,1.6709416441975298,0,,633.9860194958864,L1_L2,1.6528827093944432,0.13154164419752967,0.11348270939444305,0.20579999999999998,-0.09231729060555693,pool-starved
5.3,117,145,1.5315,649.2,42.44,661.3,53.47,L1_L2,"L2 x60, L1 x57",100,40,0.0147669027798148,0.009083335960739696,0.03603570512483374,-0.1964632756739593,1.5409,1.557521028901187,0,,649.2927137162369,L1_L2,1.5427541261213722,0.02602102890118685,0.01125412612137211,0.009399999999999853,0.001854126121372257,model-biased
5.3,121,99,1.5198,661.8,51.79,671.2,52.5,L1_L2,"L1 x61, L2 x60",100,40,0.004238400589728131,-0.00782326340475423,0.01567681689423786,0.1916617126885842,1.4911,1.49095263696997,302,663.4139842128,668.3141762955826,L1_L2,1.4867142363802417,-0.028847363030030104,-0.033085763619758346,-0.028699999999999948,-0.004385763619758398,model-right
5.4,101,204,1.4958,603.7,56.55,610.7,57.18,N3_N4,"N3 x64, N4 x37",87,40,0.015834559407426573,-0.011204780850719218,0.06268398283917663,0.12504163857524558,1.7471,,-1,,,,,,,0.2513000000000001,,not-in-mesh
5.4,105,242,1.5024,621.3,55.99,627.6,56.52,N1_N2,"N1 x64, N2 x41",52,40,0.0012411485085132234,-0.003006506274506066,0.03616218360998288,-0.28451527315269887,1.7533,1.7372342449589953,0,,611.8415299454621,N1_N2,1.735993096450482,0.2348342449589953,0.23359309645048199,0.2509000000000001,-0.017306903549518138,pool-starved
5.4,109,142,1.538,649.9,56.4,649.9,56.41,N3_N4,"N3 x60, N4 x49",100,40,0.028456521713634282,-0.009699350265997633,0.057701858891702026,-0.15459305093705553,1.694,1.6984116059064305,0,,633.8755339145389,N1_N2,1.6699550841927961,0.16041160590643044,0.1319550841927961,0.15599999999999992,-0.024044915807203804,pool-starved
5.4,113,23,1.5374,659.7,55.24,660.8,55.35,N1_N2,"N1 x61, N2 x52",100,40,0.026639464545357955,-0.006392992822999088,0.04884879984246884,-0.12374463548602761,1.7243,1.622631861309147,0,,651.532526915252,N1_N2,1.595992396763789,0.08523186130914695,0.05859239676378891,0.18689999999999984,-0.12830760323621093,pool-starved
