segment,feed,db_n,db_min_f_r,db_best_efpd,db_best_bu,db_max_efpd,db_max_bu,db_best_pair,db_best_split,bias_n,bias_n_tail,f_r_bias_tail,f_r_bias_all,f_r_mae,cyclen_bias,store_min_f_r_true,mesh_min_pred_f_r,mesh_n_feasible,mesh_pred_cyclen,mesh_ceiling_cyclen,mesh_pair,corrected_floor,gap_total,gap_pool,gap_data,gap_search,verdict
5.0,101,56,1.5295,565.1,52.8,565.7,52.85,E1_E2,"E1 x60, E2 x41",100,40,0.025404314427593916,0.00226644612814026,0.060204995605986744,-0.3469873317301233,1.7536,,-1,,,,,,,0.22409999999999997,,not-in-mesh
5.0,105,90,1.5235,583.2,52.44,586.1,52.69,E1_E2,"E1 x56, E2 x49",40,40,-0.03355123494645555,-0.03355123494645555,0.08017943910032536,0.05288062670695126,1.6878,1.7398870915172724,0,,575.5579871098826,E1_E2,1.773438326463728,0.2163870915172723,0.24993832646372782,0.1642999999999999,0.08563832646372793,pool-starved
5.0,109,57,1.529,584.3,50.65,601.5,52.13,E5_E6,"E6 x65, E5 x44",100,40,0.019617861835444384,-0.00807955135923252,0.061478873630719647,0.08255914512683603,1.7011,1.5951457530764537,0,,590.9647637737546,E1_E2,1.5755278912410093,0.06614575307645376,0.04652789124100942,0.17210000000000014,-0.12557210875899072,pool-starved
5.0,113,88,1.5329,612.4,51.2,617.1,51.58,E1_E2,"E2 x69, E1 x44",100,40,0.025879729943367673,0.01123942971650595,0.07239321561414247,0.2588523119611409,1.6233,1.599208905694612,0,,609.3974423515538,E1_E2,1.5733291757512442,0.06630890569461201,0.04042917575124427,0.09040000000000004,-0.04997082424875576,pool-starved
5.0,117,74,1.5224,628.8,50.77,629.5,50.81,E1_E2,"E2 x65, E1 x52",100,40,0.026699301189558315,0.009245735785069613,0.04629067276986458,-0.4036839935345381,1.5368,1.528236279030867,3,623.7502106261685,629.6851612107752,E1_E2,1.5015369778413088,0.005836279030867031,-0.02086302215869118,0.014399999999999968,-0.03526302215869115,model-right
5.0,121,96,1.4971,634.6,49.56,637.2,49.76,E3_E4,"E4 x81, E3 x40",100,40,0.027188736632695526,-0.00472445101060295,0.03202322015717931,-0.0773469947684589,1.4636,1.4948761613660753,388,639.8273875255527,642.1118275983797,E1_E2,1.4676874247333798,-0.002223838633924835,-0.029412575266620333,-0.033500000000000085,0.004087424733379752,model-right
5.1,101,435,1.5005,569.1,53.32,573.2,53.6,J1_J2,"J1 x68, J2 x33",100,40,0.023040444641740265,0.0014144795423449196,0.050694851412094157,0.4824244599439226,1.7101,,-1,,,,,,,0.2096,,not-in-mesh
5.1,105,88,1.5323,583.9,52.53,587.6,52.84,J7_J8,"J7 x72, J8 x33",21,21,-0.08956737800315,-0.08956737800315,0.11433905296543886,-0.848188464301004,1.8366,1.6725759263783515,0,,586.2398051154493,J1_J2,1.7621433043815016,0.1402759263783515,0.22984330438150158,0.3043,-0.07445669561849844,pool-starved
5.1,109,89,1.5321,608.1,52.66,612.2,53.1,J7_J8,"J7 x60, J8 x49",100,40,0.015864780051409726,-0.007590372047434113,0.04986013149081936,0.059552717928689845,1.6796,1.6553170197715878,0,,599.6568713461998,J1_J2,1.639452239720178,0.12321701977158783,0.10735223972017804,0.14749999999999996,-0.04014776027982192,pool-starved
5.1,113,89,1.5261,620.6,51.95,623.0,52.08,J1_J2,"J1 x60, J2 x53",44,40,-0.014353807731237145,-0.020400698948309502,0.032874355529486525,0.02165770051159267,1.6,1.5978009484048092,0,,618.3890814382248,J1_J2,1.6121547561360463,0.07170094840480923,0.0860547561360463,0.07390000000000008,0.012154756136046219,pool-starved
5.1,117,100,1.518,632.4,51.14,638.1,51.5,J1_J2,"J1 x84, J2 x33",100,40,0.017927123509584954,0.001739338372954551,0.03469436144718989,-0.10689612203000934,1.5177,1.5233669441108697,113,632.0882028385686,632.8053414060885,J1_J2,1.5054398206012847,0.005366944110869687,-0.012560179398715343,-0.00029999999999996696,-0.012260179398715376,model-right
