cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.0_f105,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.7333460496225033,576.5365123906702,576.5365123906702,2.1766530230329866,285,40,285,15,False,,,0,,,,,344.3
e5.0_f109,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.565374885957672,592.8294893251727,592.8294893251727,3.725286336144704,3934,489,1763,177,False,,,0,,,,,347.1
e5.0_f113,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,113,0.42337,102.031,1200,1200,1,606.8352794099685,1.11718771591621,1.5456686128521286,1.9273333822443648,1261.7708406738147,0.0427218893277156,77.80806818074034,23.68900811609301,50.52257483166739,1.5456686128521286,609.7196578123089,,,763,134,751,134,False,dfb3fb07ca892132642adb3f0663dee1de1b2aa8646e9f52b3791c4db5a285b9,elite,1,1.5456686128521286,606.8352794099685,0.0,0.0,349.3
e5.0_f117,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,117,0.42337,102.031,1200,1200,70,624.2856573627937,1.684292417311874,1.5332240534253292,1.9389687650273255,1309.471230071989,0.0394859713746808,76.08650355523636,24.370217925376508,50.19848307705759,1.5112959192884816,627.5767556464664,,,3587,796,2213,501,False,3720b88df81d3f3d41316c8dd7342bff4c3aa7237ee2a4a44981cdcda0518a6b,elite,5,1.5112959192884816,621.5505715858123,2.73508577698135,0.0219281341368475,352.2
e5.0_f121,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,121,0.42337,102.031,1200,1200,377,639.1590648023855,1.4880853916849943,1.5454371267431113,1.942861258642873,1330.5473027050923,0.0389377861936315,69.97775104013462,24.950830624580533,49.69545603738767,1.4943275732383727,641.082402255651,,,44292,1317,3450,1097,True,140cb9d0b746640ff44ea33c91d1c5ce7ac6cd4846e262e9e1ddfe07bcf189b4,elite,12,1.4943275732383727,636.6043608239768,2.5547039784087247,0.0511095535047385,358.6
e5.1_f105,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.663731935120014,585.2936292832526,585.2936292832526,1.7866361085485187,285,21,285,21,False,,,0,,,,,356.8
e5.1_f109,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6049914646076515,599.5590536055421,599.5590536055421,1.6485854305734375,3934,223,1763,223,False,,,0,,,,,346.0
e5.1_f113,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5965112641645465,617.2934352083286,617.2934352083286,1.62378604614613,763,44,751,44,False,,,0,,,,,352.7
e5.1_f117,5.1,5.1,1,ga80,J1_J2,5.1,0.0,5.1,117,0.42337,102.031,1200,1200,67,632.7417630156248,0.976466119833204,1.5424678494556678,1.9482116701884784,1300.5644441220688,0.0479479027818691,73.05072941208843,24.70031863348832,50.87843410829645,1.519090433479954,632.7916604392829,,,3587,364,2213,338,False,ca6640302b6ecfb2e74aee72dce0a9f1082789f8bf69dd3b1a9dbef6068290ba,elite,5,1.519090433479954,624.9102798171535,7.831483198471233,0.0233774159757138,347.0
e5.1_f121,5.1,5.1,1,ga80,J1_J2,5.1,0.0,5.1,121,0.42337,102.031,1200,1200,272,643.7186604206547,0.5223087063176828,1.5466450030229415,1.9382771564685397,1315.647017862934,0.0449729914491934,71.70605405158406,25.12882340330016,50.04997058012676,1.4937424277736882,646.2465229233296,,,44292,408,3450,150,True,85f685330b3d6dc246b843c77456cd1e40838e96dfbb6fcb7a11e7712e8c1e58,guided,8,1.4937424277736882,634.6685920076169,9.05006841303782,0.0529025752492533,355.0
e5.2_f105,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.697294946821014,592.8700071192666,592.8700071192666,2.1262272926485943,285,0,285,24,False,,,0,,,,,338.3
e5.2_f109,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.595708579863236,609.6745226551234,609.6745226551234,1.8947565993548936,3934,111,1763,135,False,,,0,,,,,352.5
e5.2_f113,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6163709863503706,631.290547499082,631.290547499082,1.6817308740022767,763,55,751,79,False,,,0,,,,,349.0
e5.2_f117,5.2,5.2,1,ga80,K1_K2,5.2,0.0,5.200000000000001,117,0.42337,102.031,1200,1200,44,645.2933751663645,0.55363721867292,1.5401263528189988,1.938857080269921,1306.926735282579,0.0492987796048264,73.69869848121951,25.190295489148436,51.88770267422883,1.5354037187978222,647.1433419650626,,,3587,179,2213,201,False,4add814d4e9d1b9cdfe56fe5b9f37bd9c9adfc25c764bc6c48a7669646bf15f8,elite,2,1.5354037187978222,644.8922063615838,0.4011688047806956,0.0047226340211765,360.4
e5.2_f121,5.2,5.2,1,ga80,K1_K2,5.2,0.0,5.2,121,0.42337,102.031,1200,1200,308,657.0254376751909,0.7793811231699768,1.5425571359842891,1.9538286056551948,1306.449636924074,0.0462898194788668,72.90276283630566,25.648279613374573,51.08458997374605,1.487100643633018,660.0569767386884,,,44292,437,3450,416,True,21a5c3a78d827e6009661f1c4ed74999d70c4a97420d049537f752c5d3d6d510,elite,14,1.487100643633018,648.7215107487613,8.303926926429654,0.0554564923512712,357.7
e5.3_f105,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.7244361943900477,593.8729942049213,593.8729942049213,1.9021971868744796,285,48,285,17,False,,,0,,,,,356.7
e5.3_f109,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.619675229731413,615.3017151998969,615.3017151998969,1.9810701047186488,3934,344,1763,107,False,,,0,,,,,361.6
e5.3_f113,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.598460143278712,635.1960740081138,635.1960740081138,1.8418528059424752,763,73,751,30,False,,,0,,,,,352.3
e5.3_f117,5.3,5.3,1,ga80,L1_L2,5.3,0.0,5.299999999999999,117,0.42337,102.031,1200,1200,11,638.7552254569679,0.7029003963451412,1.5447301632059471,1.9318850370752507,1339.462221279427,0.0401118220437316,81.63362017574326,24.93506596181983,51.36197347691093,1.5216610406061348,649.9561872614192,,,3587,330,2213,245,False,9db42bc39331560fc4d212a1dbdf4c5f1e6eae1f4a33ded0561a797f6e4604b1,guided,4,1.5216610406061348,636.2706700350478,2.4845554219200494,0.0230691225998123,352.4
e5.3_f121,5.3,5.3,1,ga80,L1_L2,5.3,0.0,5.3,121,0.42337,102.031,1200,1200,293,663.1287649732905,1.2796535295791542,1.5497241733575144,1.9460336018802555,1339.9181616235176,0.0479781062238948,73.63053044922275,25.88653499305591,51.55913168038409,1.4851835484969718,667.5020529544071,,,44292,117,3450,78,True,e8aa6b3ae4f0e140a6054ec4700c388f9674a269b547f3b4827b83511e51cbad,guided,14,1.4851835484969718,654.5357179068343,8.593047066456165,0.0645406248605426,344.8
e5.4_f105,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.601009045015913,611.0597185120914,611.0597185120914,2.088968767712064,285,52,285,17,False,,,0,,,,,344.6
e5.4_f109,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5779683098451622,629.2245323486393,629.2245323486393,1.8909752934005504,3934,122,1763,122,False,,,0,,,,,360.4
e5.4_f113,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,113,0.42337,102.031,1200,1200,255,643.7195382523198,1.3710630654711111,1.546290605881358,1.91523257806524,1411.0683958378588,0.0411769098587816,87.3917984017113,25.128857671184942,53.59340441376612,1.5145133409443945,647.6041693885232,,,763,270,751,226,False,34e5f73d1e6be6e3f68427cf18803862bc98760bf7eee9f46e8181e46fc4db60,elite,11,1.5145133409443945,638.422683354645,5.296854897674848,0.0317772649369634,344.8
