cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,seconds
e5.0_f105,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.770537486380905,576.7601912703519,576.7601912703519,1.8148737056501607,285,40,285,15,False,,,149.2
e5.0_f109,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6386541880393204,594.8096646696529,594.8096646696529,1.6771993708227848,3934,489,1763,177,False,,,165.9
e5.0_f113,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.630509918844968,610.1104417033384,610.1104417033384,1.6741565172549893,665,134,653,134,False,,,166.3
e5.1_f105,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.678556330378439,586.4339951932197,586.4339951932197,1.756930382252536,285,21,285,21,False,,,156.3
e5.1_f109,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.642002109957208,599.1124343437198,599.1124343437198,1.6583814578426752,3934,223,1763,223,False,,,164.1
e5.1_f113,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6071702065335776,617.9719856825027,617.9719856825027,1.622881117220374,665,44,653,44,False,,,162.1
e5.2_f105,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6990003819980637,596.6637596749272,596.6637596749272,2.028459155707145,285,0,285,24,False,,,161.8
e5.2_f109,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6813408687925415,610.6511896140041,610.6511896140041,1.88198664271844,3934,111,1763,135,False,,,162.2
e5.2_f113,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5962907293380677,632.0802891400258,632.0802891400258,1.674168560514531,665,55,653,79,False,,,158.4
e5.3_f105,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.7444927762663915,595.718721066902,595.718721066902,1.8758990207104809,285,48,285,17,False,,,165.4
e5.3_f109,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6510035791211486,615.9356658987124,615.9356658987124,2.0086593921220595,3934,344,1763,107,False,,,162.9
e5.3_f113,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6746835033594465,632.9361073583808,632.9361073583808,1.88587745086268,665,73,653,30,False,,,154.2
e5.4_f105,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.7062965577267029,613.0871207667949,613.0871207667949,2.3062961106167137,285,52,285,17,False,,,165.3
e5.4_f109,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6671579458400678,633.6856687847776,633.6856687847776,2.2367076447242216,3934,122,1763,122,False,,,170.6
e5.4_f113,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.685730051594588,650.0625669654645,650.0625669654645,1.9801118590762237,665,172,653,128,False,,,155.0
e5.5_f105,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.71079001498164,626.8624206030836,626.8624206030836,2.3595651538094664,285,100,285,31,False,,,164.3
e5.5_f109,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6563305235757249,645.3223245311779,645.3223245311779,1.7952602036466934,3934,450,1763,128,False,,,166.6
e5.5_f113,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6242534037700904,663.3487305641506,663.3487305641506,1.7535340785720883,665,151,653,67,False,,,155.4
