cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,seconds
e5.0_f105,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.756544537982637,578.4112624417837,578.4112624417837,1.9274477575742264,285,40,285,15,False,,,181.9
e5.0_f109,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6417162385456034,593.6187967510468,593.6187967510468,3.4388028477071546,3823,489,1652,177,False,,,540.7
e5.0_f113,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.624929014312649,612.0955191448211,612.0955191448211,2.100258553179801,471,36,459,36,False,,,198.0
e5.0_f117,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,117,0.42337,102.031,1200,1200,4,619.2372647419263,2.655144474912535,1.5484425064546383,1.9225448811579824,1286.119874689168,0.0396234472865495,79.47088906349457,24.17314399472892,49.79254446777495,1.5458736731451097,625.7492064239239,,,3587,796,2213,501,False,357c93f60e294e21b22b6a7b9d8f2b9d9c1969e4742add276994abc8dc7f76c6,elite,196.9
e5.0_f121,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,121,0.42337,102.031,1200,1200,448,640.366871660537,0.3191360312849178,1.544661777246647,1.9393235375710445,1356.9828822083591,0.0365619165545106,70.20536416541952,24.997979739729605,49.78936460557715,1.481846047887544,642.1769828417029,,,43619,1317,3450,1097,True,6c911fc177985a42ba7a1bc1b9710c6a8911e7c78ce43eab5d1882b19ca454a7,elite,229.4
e5.1_f105,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6734715147234285,584.6549677482478,584.6549677482478,1.7214149725380392,285,21,285,21,False,,,211.5
e5.1_f109,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.625676749064432,599.1124343437198,599.1124343437198,1.6583814578426752,3823,223,1652,223,False,,,184.2
e5.1_f113,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6066944817242137,617.6701980045443,617.6701980045443,1.6231367915842256,471,44,459,44,False,,,170.0
e5.1_f117,5.1,5.1,1,ga80,J1_J2,5.1,0.0,5.1,117,0.42337,102.031,1200,1200,73,631.3234653516505,0.6092505085204842,1.5498657352180052,1.9669144174546205,1304.8539504387124,0.0453566328331312,73.4152242734848,24.64495259592769,50.764389535201495,1.5248541590260491,632.460643283191,,,3587,364,2213,338,False,325d2562dc9a8723642f5766d78bff2cf8699a5a2d019d06dae82f0f9129bda6,elite,192.2
e5.1_f121,5.1,5.1,1,ga80,J1_J2,5.1,0.0,5.1,121,0.42337,102.031,1200,1200,271,645.2032731897908,0.6830538806871546,1.5480735137630393,1.9579511876735136,1318.5666045336018,0.045337199896957,71.40026926435452,25.18677818136039,50.16540117113929,1.4881824085903064,646.050876398563,,,43619,408,3450,150,True,6d9ff9ef4d72f92b89ca1424373e3923684673cbe18c722fd12e09ea606a1433,elite,160.0
e5.2_f105,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6769617258809184,597.5724522204972,597.5724522204972,1.810747069592083,285,0,285,24,False,,,105.9
e5.2_f109,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.669133581034864,614.6490242988326,614.6490242988326,1.8419038471358185,3823,0,1652,24,False,,,122.2
e5.2_f113,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6083036872855971,631.5590798557732,631.5590798557732,1.6378270487433184,471,55,459,79,False,,,144.2
e5.2_f117,5.2,5.2,1,ga80,K1_K2,5.2,0.0,5.2,117,0.42337,102.031,1200,1200,13,644.8211103263687,0.2135070749579421,1.5461945068457656,1.943834915206858,1308.4880365631138,0.0489624490228659,73.7358638688621,25.17185970268842,51.84972810553768,1.533562916542596,647.0001479001692,,,3587,179,2213,201,False,8d3f5ec3b67bb3aa67568991bf17a4c825a2ff1cb7ee6cea8a3f9a78c2357a18,elite,154.3
e5.2_f121,5.2,5.2,1,ga80,K1_K2,5.2,0.0,5.2,121,0.42337,102.031,1200,1200,316,657.0641384218587,0.4541077892954666,1.546925041380023,1.9413069689661624,1306.4556946442085,0.046556086053629,73.01666176812603,25.649790373102984,51.08759900758528,1.4913065300443156,663.6277903174645,,,43619,437,3450,416,True,635cf54e07ff9e15264873678a75bbffc69a69aa223f5bbaf4c409e57db439fb,elite,147.0
e5.3_f105,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.7486584162115648,595.718721066902,595.718721066902,1.8758990207104809,285,48,285,17,False,,,184.0
e5.3_f109,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6314712974827996,617.5260657260097,617.5260657260097,1.987811505143528,3823,344,1652,107,False,,,536.8
e5.3_f113,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6868018545265278,632.9361073583808,632.9361073583808,1.88587745086268,471,73,459,30,False,,,192.1
e5.3_f117,5.3,5.3,1,ga80,L1_L2,5.3,0.0,5.299999999999999,117,0.42337,102.031,1200,1200,2,642.6073599696017,0.4548997608169782,1.5462264495685694,1.9389693060714663,1343.2268544417918,0.0399909845286267,74.99165928457776,25.085441605475207,51.671721597602776,1.5462264495685694,649.6470178302255,,,3587,330,2213,245,False,84a24123954d97e8f4687db3ecbac64614e91df1e0711ca7644d71d1e2086c15,guided,193.2
e5.3_f121,5.3,5.3,1,ga80,L1_L2,5.3,0.0,5.3,121,0.42337,102.031,1200,1200,403,663.0178378481761,0.8805275309165487,1.5420542234072567,1.9316427647197656,1329.1506987761975,0.0480335078581317,73.1503735082699,25.882204734654184,51.55050695084015,1.4861944644559182,667.1621135296189,,,43619,117,3450,78,True,eb513b323234a8370499b119a98253280483248ceacfc0643574d466928409dd,elite,233.6
e5.4_f105,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.7031983005395674,610.7612644629203,610.7612644629203,1.7999681926247824,285,52,285,17,False,,,211.6
e5.4_f109,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6603930096477086,630.9559127603106,630.9559127603106,1.8307473545107928,3823,122,1652,122,False,,,183.9
e5.4_f113,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6931041498885688,650.2277931918956,650.2277931918956,1.9684044736917228,471,76,459,32,False,,,170.4
e5.4_f117,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,117,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5625737683976904,666.5666686837162,666.5666686837162,2.241054892119775,3587,217,2213,217,False,,,196.6
e5.4_f121,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,121,0.42337,102.031,1200,1200,174,679.8446282840704,0.5488771264011353,1.536395805870189,1.9201582575198863,1418.0497588118687,0.0493804277119344,74.16073994576631,26.53907157929655,52.858811988516266,1.4942991265770451,682.3453072047196,,,43619,30448,3450,230,True,ac5e30a2e10f6e4b30d24332a4d5895782b5bb09f8f235b23815bdd7c1f0b0e8,elite,161.4
e5.5_f105,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6941981683950469,627.8643313330631,627.8643313330631,1.9046840320744876,285,100,285,31,False,,,186.2
e5.5_f109,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6561076746440375,645.062909068241,645.062909068241,2.035798941879792,3823,450,1652,128,False,,,537.0
e5.5_f113,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.624628617471516,663.106064466302,663.106064466302,1.8185773133108096,471,151,459,67,False,,,186.9
e5.5_f117,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,117,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6067170504088095,685.9766253720804,685.9766253720804,1.842392302415383,3587,365,2213,144,False,,,189.8
e5.5_f121,5.5,5.5,1,ga80,G3_G4,5.5,0.0,5.5,121,0.42337,102.031,1200,1200,54,691.680848109851,0.8892781968488989,1.548168837453657,1.9233769159037333,1541.4164180210782,0.0410261470988196,74.35327911445634,27.001121689154047,53.77909361228203,1.5222505678616278,700.764161457313,,,43619,8928,3450,406,True,d4e1d59d78c9e6b85575082d2d9316c9a3285b9511ca1469e9da9890d6767968,elite,225.0
e5.6_f105,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,105,0.42216,101.74,1200,1200,0,,,,,,,,,,1.8170450809604477,644.1097928851417,644.1097928851417,1.952684459826416,285,0,0,0,False,,,207.3
e5.6_f109,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,109,0.42216,101.74,1200,1200,0,,,,,,,,,,1.8169827801717708,664.0610644391755,664.0610644391755,2.06831908529624,3823,0,2171,0,False,,,184.5
e5.6_f113,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,113,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7535478666238284,676.3462028828508,676.3462028828508,1.955304265486054,471,0,12,0,False,,,172.6
e5.6_f117,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,117,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7651974804793622,695.7081825365287,695.7081825365287,3.418989939070077,3587,0,1374,0,False,,,192.8
e5.6_f121,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,121,0.42216,101.74,1200,1200,0,,,,,,,,,,1.720775140739536,709.5193281047781,709.5193281047781,2.718533494808301,43619,631,1318,0,True,,,167.8
e5.7_f105,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,105,0.42375,102.123,1200,1124,0,,,,,,,,,,1.856049733791176,662.189950685134,662.189950685134,2.0834514083561877,285,0,0,0,False,,,184.9
e5.7_f109,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,109,0.42375,102.123,1200,1112,0,,,,,,,,,,1.7906198925500667,678.4648037676579,678.4648037676579,5.450083512874771,3823,0,2171,0,False,,,536.4
e5.7_f113,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,113,0.42375,102.123,1200,1118,0,,,,,,,,,,1.7743801027884003,698.4975478308899,698.4975478308899,1.830808216363777,471,0,12,0,False,,,186.0
e5.7_f117,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,117,0.42375,102.123,1200,1159,0,,,,,,,,,,1.759594774484502,715.165879733957,715.165879733957,1.8251252861496527,3587,0,1374,0,False,,,191.6
e5.7_f121,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,121,0.42375,102.123,1200,1140,0,,,,,,,,,,1.7469795248056053,731.9831096699536,731.9831096699536,3.0717491392004748,43619,0,1318,0,True,,,226.2
e5.8_f105,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,105,0.42293,101.925,1200,1200,0,,,,,,,,,,1.80811484167498,676.8818603058635,676.8818603058635,2.2588025428572225,285,0,0,0,False,,,212.9
e5.8_f109,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,109,0.42293,101.925,1200,1200,0,,,,,,,,,,1.7290394979941208,692.2946421969284,692.2946421969284,2.039229992179993,3823,321,2171,165,False,,,186.5
e5.8_f113,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,113,0.42293,101.925,1200,1200,0,,,,,,,,,,1.7926102176470646,712.9772942514168,712.9772942514168,2.040936320005979,471,0,12,0,False,,,172.7
e5.8_f117,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,117,0.42293,101.925,1200,1200,0,,,,,,,,,,1.8162580733912363,728.4810593242152,728.4810593242152,2.3437517961493506,3587,234,1374,22,False,,,195.2
e5.8_f121,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,121,0.42293,101.925,1200,1200,0,,,,,,,,,,1.7468832017668547,743.384279104857,743.384279104857,2.4058719852878623,43619,63,1318,34,True,,,163.6
e5.9_f105,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.1671841053106701,,105,0.42323,101.998,1200,876,0,,,,,,,,,,1.90499711786114,688.8447201893898,688.8447201893898,5.538314477663746,285,0,0,0,False,,,183.5
e5.9_f109,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.1671841053106701,,109,0.42323,101.998,1200,797,0,,,,,,,,,,1.7951995953311362,698.4919603107699,698.4919603107699,2.75411255593614,3823,324,2171,0,False,,,536.4
e5.9_f113,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.1671841053106701,,113,0.42323,101.998,1200,1021,0,,,,,,,,,,1.844288598649121,715.5033416885719,715.5033416885719,2.0509120889533263,471,12,12,0,False,,,186.2
e5.9_f117,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.1671841053106701,,117,0.42323,101.998,1200,686,0,,,,,,,,,,1.8268580184010303,735.9165347748981,735.9165347748981,2.175421552047325,3587,100,1374,0,False,,,189.0
e5.9_f121,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.1671841053106701,,121,0.42323,101.998,1200,738,0,,,,,,,,,,1.7820248360838746,749.2371407381304,749.2371407381304,2.1135930136819185,43619,82,1318,0,True,,,225.3
e6.0_f105,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,105,0.42408,102.203,1200,1128,0,,,,,,,,,,1.8898321032411676,727.0093614334316,727.0093614334316,5.722616532331695,285,0,0,0,False,,,210.9
e6.0_f109,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,109,0.42408,102.203,1200,1124,0,,,,,,,,,,1.820757164241093,743.4772970704487,743.4772970704487,5.187048937720979,3823,1,2171,0,False,,,182.8
e6.0_f113,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,113,0.42408,102.203,1200,1136,0,,,,,,,,,,1.806743957379382,767.2809295041825,767.2809295041825,5.171697000200767,471,0,12,0,False,,,172.0
e6.0_f117,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,117,0.42408,102.203,1200,1128,0,,,,,,,,,,1.7700549355106243,782.1405453990662,782.1405453990662,5.210636712130293,3587,0,1374,0,False,,,190.4
e6.0_f121,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,121,0.42408,102.203,1200,1128,0,,,,,,,,,,1.7658893366338682,796.3706102354346,796.3706102354346,2.0442340680604336,43619,0,1318,0,True,,,169.1
