cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.2_f105,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6987949075642812,594.8674634841498,594.8674634841498,2.0431127596151697,285,0,285,24,False,,,0,,,,,215.5
e5.2_f109,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6658650160673107,609.4237916948102,609.4237916948102,2.0009881766306608,3934,111,1763,135,False,,,0,,,,,214.4
e5.2_f113,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6204618416403975,631.1860111566465,631.1860111566465,1.6511221203171558,763,55,751,79,False,,,0,,,,,216.6
e5.2_f117,5.2,5.2,1,ga80,K1_K2,5.2,0.0,5.200000000000001,117,0.42337,102.031,1200,1200,46,646.3231067213015,1.131319261037894,1.548605859528811,1.9458976244360573,1314.1174434484738,0.05268759205192233,73.21436848500899,25.230493084756283,51.970502849797136,1.5271231783394796,647.1745796579042,,,3587,179,2213,201,False,77a1be57934ef32ffa474f1c475bc2eb3ddd8fcc3c516f984561751735254422,elite,7,1.5271231783394796,641.3602721719024,4.96283454939919,0.021482681189331387,220.4
e5.2_f121,5.2,5.2,1,ga80,K1_K2,5.2,0.0,5.2,121,0.42337,102.031,1200,1200,287,657.3277216206272,0.3694428772146018,1.5475299589095095,1.9506117514000048,1298.839912174476,0.04745099922598957,72.19900370823176,25.660079861448104,51.10809294718176,1.4965616224724694,659.7454417061832,,,44292,437,3450,416,True,21a5c3a78d827e6009661f1c4ed74999d70c4a97420d049537f752c5d3d6d510,elite,12,1.4965616224724694,648.9675107091389,8.360210911488366,0.05096833643704013,221.2
e5.3_f105,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.757394362126364,594.4593469809286,594.4593469809286,1.8983894884700767,285,48,285,17,False,,,0,,,,,215.4
e5.3_f109,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6702276858935128,614.5930744829932,614.5930744829932,1.9933616748551297,3934,344,1763,107,False,,,0,,,,,216.8
e5.3_f113,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6709416441975298,633.9860194958864,633.9860194958864,1.8336191700549425,763,73,751,30,False,,,0,,,,,212.7
e5.3_f117,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,117,0.42337,102.031,1200,1200,0,,,,,,,,,,1.557521028901187,649.2927137162369,649.2927137162369,1.9071392189206695,3587,330,2213,245,False,,,0,,,,,211.7
e5.3_f121,5.3,5.3,1,ga80,L1_L2,5.3,0.0,5.3,121,0.42337,102.031,1200,1200,302,663.4139842128,0.8811929941658073,1.5487103388704038,1.9343846094283268,1316.177743531082,0.051686727908018176,72.70973578328434,25.897669086785882,51.581307850540476,1.49095263696997,668.3141762955826,,,44292,117,3450,78,True,6b8ffff7e9f76d5e433ecb5dce816fed19a1311b6e69aa7f1523267b3ab2ffe0,elite,18,1.49095263696997,654.2100227376179,9.20396147518204,0.05775770190043383,212.1
