cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.4_f105,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6914769511258736,611.2047762439404,611.2047762439404,2.324999711118478,285,52,285,17,False,,,0,,,,,213.6
e5.4_f109,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6549141192264147,627.8438850459071,627.8438850459071,1.8673087889094921,3934,122,1763,122,False,,,0,,,,,220.1
e5.4_f113,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5926237362205273,645.5672500133884,645.5672500133884,2.1756427976174066,763,270,751,226,False,,,0,,,,,219.7
e5.4_f117,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,117,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5768386980144575,668.5134379420772,668.5134379420772,2.514327999609686,3587,217,2213,217,False,,,0,,,,,220.5
e5.4_f121,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,121,0.42337,102.031,1200,1200,110,680.5117212131031,1.3001901298634964,1.5330353267525398,1.9205077596428062,1412.0556100487502,0.04846270785671834,73.14165604861572,26.565112863226858,52.91067933915432,1.509445191494717,684.023605760262,,,44292,30448,3450,230,True,b0692011ec5b34b11c369cd2978625972fc1012b2faed30e62be9315f5f53d7e,elite,8,1.509445191494717,672.2589173802282,8.25280383287486,0.023590135257822942,225.1
e5.5_f105,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.733501167500227,626.0864273358977,626.0864273358977,2.379889839121991,285,100,285,31,False,,,0,,,,,208.1
e5.5_f109,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.7053491773910732,643.5822469102109,643.5822469102109,1.8476131091497385,3934,450,1763,128,False,,,0,,,,,209.2
e5.5_f113,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.626018521328892,663.9130920561074,663.9130920561074,3.0841898953503817,763,151,751,67,False,,,0,,,,,210.1
e5.5_f117,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,117,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6008396152998248,686.0557803564819,686.0557803564819,1.8028696721706587,3587,365,2213,144,False,,,0,,,,,216.3
e5.5_f121,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,121,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5525579328235977,702.1461046710651,702.1461046710651,2.835121658656094,44292,8928,3450,406,True,,,0,,,,,212.2
