cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.6_f105,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,105,0.42216,101.74,1200,1200,0,,,,,,,,,,1.8137656170902854,642.3651683816532,642.3651683816532,2.1242097097317973,285,0,0,0,False,,,0,,,,,222.1
e5.6_f109,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,109,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7824154898608757,658.0625143395158,658.0625143395158,1.992625510976761,3934,0,2171,0,False,,,0,,,,,218.2
e5.6_f113,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,113,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7596874821007553,673.421964617596,673.421964617596,2.4433840529996447,763,0,12,0,False,,,0,,,,,216.1
e5.6_f117,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,117,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7555536551691102,689.4955518068175,689.4955518068175,1.9836905934735776,3587,0,1374,0,False,,,0,,,,,220.5
e5.6_f121,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.008526782105889197,,121,0.42216,101.74,1200,1200,0,,,,,,,,,,1.727362278810079,708.3230473117127,708.3230473117127,3.0649468747015263,44292,631,1991,0,True,,,0,,,,,216.3
e5.7_f105,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,105,0.42375,102.123,1200,1097,0,,,,,,,,,,1.8749065368677234,657.7726776140029,657.7726776140029,1.9039972415036566,285,0,0,0,False,,,0,,,,,210.9
e5.7_f109,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,109,0.42375,102.123,1200,1142,0,,,,,,,,,,1.8367830838206203,679.9665172897124,679.9665172897124,1.92753442275933,3934,0,2171,0,False,,,0,,,,,212.0
e5.7_f113,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,113,0.42375,102.123,1200,1139,0,,,,,,,,,,1.8069422091955396,699.7902592833258,699.7902592833258,1.8916208967497237,763,0,12,0,False,,,0,,,,,211.8
e5.7_f117,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,117,0.42375,102.123,1200,1147,0,,,,,,,,,,1.757575043742251,713.1138319694389,713.1138319694389,1.7756051138114564,3587,0,1374,0,False,,,0,,,,,210.2
e5.7_f121,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,121,0.42375,102.123,1200,1138,0,,,,,,,,,,1.7325049131837673,730.6017943537194,730.6017943537194,2.4216695360468314,44292,0,1991,0,True,,,0,,,,,209.7
