cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.8_f105,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,105,0.42293,101.925,1200,1200,0,,,,,,,,,,1.8681537902734653,671.4512889925854,671.4512889925854,2.1812844597457532,285,0,0,0,False,,,0,,,,,222.0
e5.8_f109,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,109,0.42293,101.925,1200,1200,0,,,,,,,,,,1.8797765195736191,691.7962084949907,691.7962084949907,2.2306082420143256,3934,321,2171,165,False,,,0,,,,,216.3
e5.8_f113,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,113,0.42293,101.925,1200,1200,0,,,,,,,,,,1.8552524394663652,711.0694894201251,711.0694894201251,2.046769367138068,763,0,12,0,False,,,0,,,,,219.0
e5.8_f117,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,117,0.42293,101.925,1200,1200,0,,,,,,,,,,1.7777988140213161,731.5801418550982,731.5801418550982,2.0941328170528535,3587,234,1374,22,False,,,0,,,,,221.6
e5.8_f121,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.8055356364252235,0.03891636517616881,,121,0.42293,101.925,1200,1200,0,,,,,,,,,,1.798863442261283,745.1792508706134,745.1792508706134,2.442015043122596,44292,63,1991,34,True,,,0,,,,,219.8
e5.9_f105,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,105,0.42323,101.998,1200,846,0,,,,,,,,,,1.9248307440157941,676.176098720745,676.176098720745,2.055971124952655,285,0,0,0,False,,,0,,,,,211.8
e5.9_f109,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,109,0.42323,101.998,1200,826,0,,,,,,,,,,1.8715232632782723,699.5128382114535,699.5128382114535,2.886756338601159,3934,324,2171,0,False,,,0,,,,,207.0
e5.9_f113,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,113,0.42323,101.998,1200,1053,0,,,,,,,,,,1.8499682418676708,721.855864821767,721.855864821767,2.3074842035795395,763,12,12,0,False,,,0,,,,,210.9
e5.9_f117,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,117,0.42323,101.998,1200,716,0,,,,,,,,,,1.8147165837975314,738.4085879122546,738.4085879122546,2.4611689565267745,3587,100,1374,0,False,,,0,,,,,209.6
e5.9_f121,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.16718410531067018,,121,0.42323,101.998,1200,749,0,,,,,,,,,,1.808278658533127,753.3200652661614,753.3200652661614,4.097602106575779,44292,82,1991,0,True,,,0,,,,,209.6
