cell,e_target,feed,library_id,pair,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,M_HM_tU,cand_e_core,in_distribution,record_id,origin
e5.0_f117,5.0,117,ga80,E1_E2,0,min_f_r,623.7502106261685,1.895916983152507,1.528236279030867,1.9227442775437895,1299.715132787365,0.04086254753378349,70.66743907619848,24.34931570937156,50.15542808511577,102.031,5.0,False,c324c05d138021cc5174ca41c0314523493b4d7310b63a8128b35d65ea3a3706,elite
e5.0_f121,5.0,121,ga80,E1_E2,0,min_f_r,637.0256779914492,0.6102438632857372,1.4948761613660753,1.8863504711981625,1312.6280282559342,0.0406062260568174,68.72624223068804,24.867549676366423,49.529582413258744,102.031,5.0,True,46e4a09f43e3e0c8e6582139ce43ef755b7146120afbabb2b08453669b598e5a,elite
e5.0_f121,5.0,121,ga80,E1_E2,1,,637.4907471161366,1.1349047186026087,1.4961300942680427,1.8878841518884015,1320.014603929349,0.04004426779784617,68.8680219556812,24.88570456393324,49.56574214799926,102.031,5.0,True,d980ffe0b4ff553b48a6bb9ca61025630628a7bf3eb2efeb2b314f8bde9aa021,elite
e5.0_f121,5.0,121,ga80,E1_E2,2,,637.5211384030524,0.8468579855946157,1.4994881375895284,1.891036792204531,1322.483617666057,0.03959433329531146,68.92179659242088,24.88689094756457,49.56810511043852,102.031,5.0,True,d3390c2ac02a51dcc41b1bacd5347b91ca4077d4c3b6e67f0a3c84aa7c682869,elite
e5.0_f121,5.0,121,ga80,E1_E2,3,,637.555666691216,1.1664926192941794,1.49988821905583,1.891319771797999,1322.2823063100473,0.039644701811909856,68.85047867549574,24.888238827172586,49.57078973015366,102.031,5.0,True,735c5d0a688672f5b56e2f199e7d55e38620067a529e59f792d8f105dc286003,guided
e5.0_f121,5.0,121,ga80,E1_E2,4,,638.0216030715966,0.9552927359444378,1.5003886113982068,1.8896208938424164,1328.3156060437782,0.03956914535396643,68.94725963728297,24.906427569770333,49.6070168951624,102.031,5.0,True,446751fb8a068fe74b2daeb07f30459ad8e9c4c39a0fcdafa2cef6a0e7de5afd,guided
e5.0_f121,5.0,121,ga80,E1_E2,5,knee,638.8865372373666,1.2729896426705822,1.5047463595307506,1.906323390614483,1348.0612593510846,0.037583874435252206,69.3357083027948,24.940191975315006,49.674266661577825,102.031,5.0,True,1fb817fc7620d27884a33e8b3f9c9cd0112b7cda7cd00579980359b920654ef0,elite
e5.0_f121,5.0,121,ga80,E1_E2,6,,638.9901702444168,1.0396838174667462,1.5212615370031213,1.9207411178500409,1332.506606003487,0.038244042690278306,69.29009231734373,24.944237493478507,49.68232426387042,102.031,5.0,True,9e7d1f0a8b8f944e192318cc342905595964ea4841bb3b15647e050221299bb2,elite
e5.0_f121,5.0,121,ga80,E1_E2,7,,639.4053208164414,0.7684780675254211,1.525028089500834,1.9243880664368307,1345.8091765249437,0.03843403553353456,69.2725472817577,24.960443712206683,49.714602765634794,102.031,5.0,True,09b36e677795b6eb8fc9fc25294cb5816aa9b2b45cc55e464a0ebb943839273b,elite
e5.0_f121,5.0,121,ga80,E1_E2,8,,639.6447169296157,0.7510733056569506,1.537744905152515,1.9395561275037347,1313.1134813665822,0.04217251180881215,69.71662968779177,24.96978901011596,49.73321612758633,102.031,5.0,True,721e25241f62b38a16766db9dff3f84a0e268a1687a03366a19aec72a127b140,elite
